,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Thomas Aiken,70,"52' 9""",1160.5,22
1,2,2,Wes Roach,59,"51' 6""",875.9169999999999,17
2,3,3,Graeme McDowell,63,"50' 2""",1103.75,22
3,4,4,Willy Wilcox,67,"49' 2""",1130.583,23
4,T5,T5,Phil Mickelson,75,"48' 6""",1017.8330000000001,21
5,T5,T5,Jimmy Walker,85,"48' 6""",1600.9170000000001,33
6,7,7,Retief Goosen,55,"47' 11""",574.5830000000001,12
7,8,8,Jason Bohn,67,"47' 7""",951.8330000000001,20
8,9,9,Daniel Berger,92,"47' 4""",898.9169999999999,19
9,10,10,Jim Furyk,52,"47' 3""",850.4169999999999,18
10,11,11,Rod Pampling,54,"47' 0""",658.25,14
11,T12,T12,Jonas Blixt,79,"46' 9""",1355.6670000000001,29
12,T12,T12,Hunter Mahan,61,"46' 9""",934.5,20
13,T14,T14,Stewart Cink,61,"46' 8""",1541.0,33
14,T14,T14,Johnson Wagner,86,"46' 8""",1772.8329999999999,38
15,16,16,Patton Kizzire,93,"46' 7""",1491.75,32
16,17,17,Bronson Burgoon,83,"46' 6""",1533.25,33
17,18,18,Tony Finau,95,"46' 5""",1717.9170000000001,37
18,T19,T19,Paul Casey,77,"46' 3""",1247.75,27
19,T19,T19,John Huh,86,"46' 3""",1759.0,38
20,21,21,Kyle Reifers,115,"46' 2""",1984.5,43
21,22,22,Colt Knost,90,"46' 1""",1289.583,28
22,23,23,Matt Kuchar,100,"45' 11""",1240.25,27
23,24,24,Sergio Garcia,54,"45' 9""",686.3330000000001,15
24,25,25,Kevin Na,96,"45' 8""",1279.583,28
25,26,26,John Senden,88,"45' 7""",1595.25,35
26,T27,T27,J.J. Henry,68,"45' 6""",1411.0829999999999,31
27,T27,T27,Spencer Levin,104,"45' 6""",1366.0829999999999,30
28,T29,T29,Chad Collins,73,"45' 5""",1272.5,28
29,T29,T29,Kelly Kraft,63,"45' 5""",863.1669999999999,19
30,T29,T29,Steve Marino,72,"45' 5""",1497.75,33
31,T29,T29,Martin Piller,59,"45' 5""",862.9169999999999,19
32,33,33,Michael Kim,100,"45' 3""",2080.333,46
33,T34,T34,Roberto Castro,97,"45' 2""",1580.0829999999999,35
34,T34,T34,Emiliano Grillo,93,"45' 2""",1897.0,42
35,T34,T34,Cameron Smith,73,"45' 2""",1038.5,23
36,37,37,Peter Malnati,85,"45' 0""",1305.0,29
37,T38,T38,Bill Haas,86,"44' 11""",1481.6670000000001,33
38,T38,T38,William McGirt,98,"44' 11""",1570.75,35
39,T40,T40,Stuart Appleby,71,"44' 9""",1030.083,23
40,T40,T40,Martin Laird,82,"44' 9""",1790.75,40
41,42,42,Charles Howell III,91,"44' 8""",1652.5,37
42,T43,T43,Brendon de Jonge,83,"44' 4""",1064.083,24
43,T43,T43,Luke Donald,81,"44' 4""",886.8330000000001,20
44,T43,T43,Brendan Steele,88,"44' 4""",1419.5,32
45,T43,T43,Justin Thomas,99,"44' 4""",1685.0829999999999,38
46,T43,T43,Harold Varner III,92,"44' 4""",2882.5,65
47,T43,T43,Boo Weekley,83,"44' 4""",1772.8329999999999,40
48,T49,T49,James Hahn,85,"44' 2""",1544.4170000000001,35
49,T49,T49,Sung Kang,89,"44' 2""",1502.6670000000001,34
50,T49,T49,Michael Thompson,71,"44' 2""",1635.3329999999999,37
51,T52,T52,Chris Kirk,90,"44' 1""",1674.75,38
52,T52,T52,Dicky Pride,55,"44' 1""",1014.4169999999999,23
53,54,54,Scott Langley,65,"43' 11""",1096.917,25
54,55,55,Si Woo Kim,113,"43' 9""",1794.0829999999999,41
55,56,56,Kyle Stanley,92,"43' 8""",1660.25,38
56,57,57,Padraig Harrington,54,"43' 7""",958.3330000000001,22
57,T58,T58,Fabián Gómez,82,"43' 6""",1957.75,45
58,T58,T58,Hudson Swafford,104,"43' 6""",2086.167,48
59,60,60,Bubba Watson,72,"43' 5""",868.4169999999999,20
60,T61,T61,Ben Martin,92,"43' 4""",1992.75,46
61,T61,T61,Jordan Spieth,80,"43' 4""",736.1669999999999,17
62,63,63,Rhein Gibson,58,"43' 3""",1339.6670000000001,31
63,64,64,Nick Taylor,83,"43' 2""",1424.3329999999999,33
64,T65,T65,Jason Day,76,"43' 1""",731.8330000000001,17
65,T65,T65,Steve Wheatcroft,85,"43' 1""",1937.9170000000001,45
66,67,67,Robert Streb,87,"43' 0""",1804.5829999999999,42
67,T68,T68,Freddie Jacobson,86,"42' 11""",1374.0,32
68,T68,T68,Marc Leishman,89,"42' 11""",1115.25,26
69,T70,T70,Ernie Els,66,"42' 10""",943.0830000000001,22
70,T70,T70,Mark Hubbard,101,"42' 10""",1713.4170000000001,40
71,72,72,Patrick Rodgers,89,"42' 8""",1964.0829999999999,46
72,73,73,Chad Campbell,90,"42' 5""",1782.5,42
73,T74,T74,Derek Ernst,59,"42' 4""",1228.25,29
74,T74,T74,George McNeill,51,"42' 4""",1058.667,25
75,76,76,Tyrone Van Aswegen,105,"42' 3""",1986.25,47
76,T77,T77,Andres Gonzales,80,"42' 0""",1554.0,37
77,T77,T77,Jeff Overton,69,"42' 0""",1847.25,44
78,T77,T77,Scott Pinckney,87,"42' 0""",2353.25,56
79,T80,T80,Ryan Palmer,86,"41' 11""",2010.5829999999999,48
80,T80,T80,Kevin Streelman,82,"41' 11""",1342.4170000000001,32
81,82,82,Jason Gore,78,"41' 10""",1549.0829999999999,37
82,83,83,Dustin Johnson,87,"41' 9""",1084.583,26
83,84,84,Brian Harman,104,"41' 8""",1707.25,41
84,T85,T85,Keegan Bradley,82,"41' 7""",1373.1670000000001,33
85,T85,T85,Steve Stricker,53,"41' 7""",540.4169999999999,13
86,T87,T87,Adam Hadwin,93,"41' 6""",1245.667,30
87,T87,T87,Adam Scott,79,"41' 6""",1534.75,37
88,89,89,Smylie Kaufman,91,"41' 5""",1159.75,28
89,90,90,Russell Knox,92,"41' 2""",1645.9170000000001,40
90,T91,T91,Billy Horschel,73,"41' 1""",1272.583,31
91,T91,T91,Geoff Ogilvy,63,"41' 1""",1026.917,25
92,T93,T93,Jim Herman,93,"41' 0""",1723.0,42
93,T93,T93,Ryan Moore,86,"41' 0""",820.6669999999999,20
94,T93,T93,Brian Stuard,66,"41' 0""",1310.667,32
95,96,96,Lucas Glover,75,"40' 11""",1268.583,31
96,T97,T97,Morgan Hoffmann,71,"40' 10""",1347.4170000000001,33
97,T97,T97,Charl Schwartzel,73,"40' 10""",1307.75,32
