,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
123,T124,T124,Abraham Ancer,51,"41' 0""",8.366,17
124,T124,T124,Cameron Tringale,81,"41' 0""",18.699,38
125,126,126,Adam Scott,79,"40' 11""",16.688,34
126,127,127,Blayne Barber,84,"40' 10""",21.541,44
127,128,128,Sam Saunders,69,"40' 9""",11.245999999999999,23
128,T129,T129,Rickie Fowler,80,"40' 8""",8.775,18
129,T129,T129,J.B. Holmes,77,"40' 8""",19.019000000000002,39
130,T131,T131,Robert Allenby,51,"40' 6""",10.69,22
131,T131,T131,Andrew Loupe,75,"40' 6""",15.075999999999999,31
132,T133,T133,Zac Blair,99,"40' 5""",17.941,37
133,T133,T133,Ryan Moore,86,"40' 5""",8.726,18
134,T135,T135,Aaron Baddeley,93,"40' 4""",16.957,35
135,T135,T135,K.J. Choi,73,"40' 4""",11.617,24
136,T135,T135,Branden Grace,63,"40' 4""",7.746,16
137,138,138,David Hearn,95,"40' 2""",14.474,30
138,139,139,Brian Stuard,66,"40' 1""",13.946,29
139,T140,T140,Scott Piercy,87,"39' 11""",16.277,34
140,T140,T140,Patrick Reed,105,"39' 11""",12.443,26
141,T142,T142,Whee Kim,82,"39' 10""",12.9,27
142,T142,T142,D.A. Points,55,"39' 10""",10.993,23
143,144,144,Derek Fathauer,94,"39' 8""",12.387,26
144,145,145,Seung-Yul Noh,85,"39' 7""",16.162,34
145,146,146,D.H. Lee,61,"39' 6""",7.587999999999999,16
146,T147,T147,Brandt Snedeker,93,"39' 4""",14.149000000000001,30
147,T147,T147,Brendon Todd,66,"39' 4""",8.962,19
148,149,149,Scott Stallings,74,"39' 3""",14.127,30
149,T150,T150,Kevin Chappell,93,"39' 2""",20.199,43
150,T150,T150,Jason Dufner,105,"39' 2""",20.222,43
151,T150,T150,Justin Rose,65,"39' 2""",11.272,24
152,T153,T153,Jason Kokrak,89,"39' 0""",14.985,32
153,T153,T153,Carlos Ortiz,79,"39' 0""",13.567,29
154,T153,T153,Chez Reavie,90,"39' 0""",19.201,41
155,T156,T156,Luke Guthrie,57,"38' 10""",7.457999999999999,16
156,T156,T156,Matt Jones,83,"38' 10""",9.796,21
157,T156,T156,Shane Lowry,57,"38' 10""",8.856,19
158,T159,T159,Ángel Cabrera,62,"38' 9""",11.155,24
159,T159,T159,Will MacKenzie,84,"38' 9""",15.354000000000001,33
160,T159,T159,David Toms,62,"38' 9""",13.022,28
161,162,162,Vaughn Taylor,72,"38' 6""",10.62,23
162,163,163,Camilo Villegas,83,"38' 5""",14.280999999999999,31
163,T164,T164,Ben Crane,80,"38' 4""",12.422,27
164,T164,T164,Danny Lee,93,"38' 4""",17.95,39
165,T166,T166,Jerry Kelly,76,"38' 3""",11.477,25
166,T166,T166,Jhonattan Vegas,97,"38' 3""",16.99,37
167,168,168,David Lingmerth,84,"38' 2""",10.985999999999999,24
168,169,169,Alex Cejka,71,"37' 11""",7.734,17
169,170,170,Rob Oppenheim,67,"37' 9""",10.876,24
170,171,171,Russell Henley,76,"37' 6""",12.607999999999999,28
171,T172,T172,Hideki Matsuyama,76,"37' 5""",14.38,32
172,T172,T172,Louis Oosthuizen,63,"37' 5""",8.086,18
173,174,174,Webb Simpson,70,"37' 0""",15.081,34
174,175,175,Scott Brown,88,"36' 10""",9.28,21
175,176,176,Zach Johnson,90,"36' 4""",13.065,30
176,177,177,Rory McIlroy,69,"36' 3""",12.167,28
177,178,178,Tim Wilkinson,72,"36' 2""",9.541,22
178,179,179,Robert Garrigus,69,"36' 1""",13.411,31
179,180,180,Chesson Hadley,81,"35' 8""",13.71,32
180,181,181,Tom Hoge,81,"35' 0""",11.754000000000001,28
181,182,182,Rory Sabbatini,57,"34' 5""",11.158,27
182,183,183,Ken Duke,58,"34' 2""",11.886,29
183,184,184,Erik Compton,65,"31' 1""",4.474,12
