,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Rickie Fowler,78,0.852,53.705,63
1,2,2,Michael Thompson,60,0.84,36.94,44
2,3,3,Luke Donald,50,0.7040000000000001,30.285,43
3,4,4,Brian Harman,104,0.6,51.596000000000004,86
4,5,5,Brooks Koepka,88,0.581,38.933,67
5,6,6,Patrick Reed,107,0.5770000000000001,48.482,84
6,7,7,Brandt Snedeker,53,0.5720000000000001,24.043000000000003,42
7,8,8,Graeme McDowell,56,0.563,28.174,50
8,9,9,Jonas Blixt,74,0.536,31.627,59
9,10,10,Louis Oosthuizen,69,0.53,27.008000000000003,51
10,11,11,Mackenzie Hughes,106,0.49200000000000005,47.265,96
11,12,12,Gonzalo Fernandez-Castaño,63,0.489,21.522,44
12,13,13,David Lingmerth,79,0.484,33.406,69
13,T14,T14,Shane Lowry,52,0.479,18.183,38
14,T14,T14,Steve Wheatcroft,51,0.479,19.148,40
15,T16,T16,Rafa Cabrera Bello,63,0.473,21.756,46
16,T16,T16,Søren Kjeldsen,58,0.473,16.081,34
17,18,18,Cody Gribble,79,0.461,32.251,70
18,19,19,Ernie Els,52,0.45799999999999996,16.959,37
19,T20,T20,Brian Gay,82,0.451,31.105999999999998,69
20,T20,T20,Peter Malnati,91,0.451,32.905,73
21,22,22,Whee Kim,74,0.44299999999999995,27.484,62
22,23,23,Russell Henley,99,0.434,37.282,86
23,T24,T24,Zach Johnson,81,0.41700000000000004,28.326,68
24,T24,T24,Chez Reavie,98,0.41700000000000004,34.584,83
25,26,26,Adam Hadwin,98,0.409,32.297,79
26,T27,T27,Blayne Barber,77,0.402,26.929000000000002,67
27,T27,T27,Xander Schauffele,96,0.402,29.754,74
28,29,29,Camilo Villegas,76,0.4,24.802,62
29,30,30,Kevin Kisner,105,0.38799999999999996,29.846,77
30,31,31,Brian Campbell,55,0.385,15.773,41
31,32,32,Bryce Molder,74,0.38299999999999995,24.539,64
32,T33,T33,Harris English,84,0.374,26.956,72
33,T33,T33,Billy Hurley III,80,0.374,25.771,69
34,35,35,Sebastián Muñoz,51,0.358,13.952,39
35,36,36,Marc Leishman,94,0.35600000000000004,25.971999999999998,73
36,37,37,Jason Day,71,0.354,19.497,55
37,38,38,Pat Perez,93,0.34600000000000003,25.281,73
38,39,39,Wesley Bryan,95,0.34,26.142,77
39,40,40,Phil Mickelson,85,0.337,23.221999999999998,69
40,41,41,Nicholas Lindheim,58,0.336,14.796,44
41,42,42,Ryan Blaum,100,0.33399999999999996,27.369,82
42,T43,T43,Matt Kuchar,95,0.332,25.595,77
43,T43,T43,Justin Thomas,86,0.332,21.583000000000002,65
44,45,45,Greg Chalmers,75,0.316,21.515,68
45,46,46,Graham DeLaet,82,0.29100000000000004,20.639,71
46,47,47,Stewart Cink,93,0.28600000000000003,23.17,81
47,48,48,Jordan Spieth,85,0.278,18.896,68
48,49,49,Scott Brown,95,0.276,21.561999999999998,78
49,50,50,Hunter Mahan,73,0.268,15.83,59
50,51,51,Kevin Na,86,0.265,17.507,66
51,52,52,Kevin Tway,96,0.261,19.311,74
52,53,53,Ricky Barnes,100,0.26,19.991,77
53,54,54,Charl Schwartzel,63,0.257,12.345,48
54,55,55,Jon Rahm,90,0.256,16.906,66
55,56,56,Martin Laird,83,0.253,18.194000000000003,72
56,57,57,Danny Lee,93,0.247,18.754,76
57,58,58,Seung-Yul Noh,91,0.244,18.292,75
58,59,59,Martin Flores,88,0.242,16.203,67
59,60,60,Michael Kim,94,0.22899999999999998,19.248,84
60,61,61,Tag Ridings,67,0.203,10.128,50
61,62,62,Jim Furyk,54,0.187,8.211,44
62,63,63,K.J. Choi,72,0.17600000000000002,9.494,54
63,64,64,Seamus Power,86,0.174,11.845,68
64,T65,T65,Charles Howell III,86,0.172,11.728,68
65,T65,T65,Carl Pettersson,63,0.172,8.957,52
66,67,67,Matt Jones,64,0.17,8.67,51
67,68,68,Patrick Cantlay,52,0.159,7.3,46
68,69,69,Sung Kang,104,0.154,12.609000000000002,82
69,70,70,Daniel Berger,91,0.149,10.262,69
70,71,71,Vaughn Taylor,90,0.139,10.552999999999999,76
71,72,72,Sam Saunders,76,0.138,8.434,61
72,73,73,Jimmy Walker,68,0.135,6.747000000000001,50
73,74,74,Paul Casey,94,0.133,9.408,71
74,75,75,Cameron Tringale,89,0.125,8.101,65
75,76,76,John Huh,92,0.124,9.452,76
76,77,77,Johnson Wagner,71,0.12,6.821000000000001,57
77,78,78,Daniel Summerhays,100,0.11,9.021,82
78,79,79,Brandon Hagy,85,0.109,7.504,69
79,80,80,Sean O'Hair,84,0.107,7.507999999999999,70
80,81,81,Derek Fathauer,81,0.094,5.99,64
81,T82,T82,Billy Horschel,88,0.084,6.718999999999999,80
82,T82,T82,Cameron Smith,86,0.084,5.978,71
83,84,84,Chad Collins,66,0.079,4.292,54
84,T85,T85,Julián Etulain,68,0.078,3.9939999999999998,51
85,T85,T85,Morgan Hoffmann,92,0.078,6.4270000000000005,82
86,87,87,Bill Haas,92,0.055,3.9560000000000004,72
87,88,88,Webb Simpson,102,0.049,4.124,84
88,89,89,Aaron Baddeley,61,0.044000000000000004,2.004,46
89,90,90,Geoff Ogilvy,80,0.043,2.889,67
90,91,91,James Hahn,96,0.036000000000000004,2.947,81
91,92,92,Zac Blair,105,0.035,2.795,81
92,93,93,Spencer Levin,89,0.03,1.98,67
93,94,94,Ian Poulter,72,0.025,1.358,55
94,95,95,Andres Gonzales,73,0.023,1.324,57
95,T96,T96,Tom Hoge,54,0.019,0.7340000000000001,39
96,T96,T96,Dustin Johnson,77,0.019,1.125,59
97,98,98,Tim Wilkinson,64,0.009000000000000001,0.41600000000000004,46
98,99,99,Robert Streb,98,0.003,0.222,84
99,100,100,Richy Werenski,81,0.0,0.022000000000000002,61
100,101,101,Jason Dufner,89,-0.001,-0.055,72
101,102,102,Hudson Swafford,94,-0.005,-0.35100000000000003,76
102,103,103,Fabián Gómez,61,-0.006,-0.281,51
103,104,104,Charley Hoffman,112,-0.012,-1.072,93
104,T105,T105,C.T. Pan,88,-0.013000000000000001,-1.022,76
105,T105,T105,Brendan Steele,89,-0.013000000000000001,-0.92,71
106,107,107,Mark Anderson,54,-0.016,-0.665,42
107,T108,T108,Jamie Lovemark,98,-0.017,-1.339,80
108,T108,T108,Troy Merritt,82,-0.017,-1.156,70
