,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,1,,Luke Donald,50,"53' 10""",7.752000000000001,12
1,2,,Mark Hubbard,81,"53' 4""",16.648,26
2,3,,Charl Schwartzel,63,"52' 6""",9.448,15
3,4,,Mark Anderson,54,"50' 6""",12.716,21
4,T5,,Brandt Snedeker,53,"50' 3""",10.857999999999999,18
5,T5,,Jimmy Walker,68,"50' 3""",14.477,24
6,7,,Jordan Spieth,85,"50' 0""",8.999,15
7,8,,Patrick Cantlay,52,"49' 11""",8.986,15
8,T9,,Dustin Johnson,77,"49' 5""",13.046,22
9,T9,,Troy Merritt,82,"49' 5""",17.184,29
10,11,,Ken Duke,77,"49' 4""",14.204,24
11,T12,,Hunter Mahan,73,"49' 3""",20.093,34
12,T12,,Nick Taylor,97,"49' 3""",31.342,53
13,T14,,Rod Pampling,71,"49' 0""",25.284000000000002,43
14,T14,,Vaughn Taylor,90,"49' 0""",20.581999999999997,35
15,16,,Steven Bowditch,59,"48' 11""",11.739,20
16,17,,Patrick Rodgers,76,"48' 10""",25.776999999999997,44
17,18,,Brian Campbell,55,"48' 9""",8.187000000000001,14
18,19,,Brandon Hagy,85,"48' 8""",23.377,40
19,20,,J.B. Holmes,83,"48' 5""",16.275,28
20,21,,Chad Collins,66,"48' 4""",15.649000000000001,27
21,22,,Chad Campbell,97,"48' 3""",22.58,39
22,23,,Spencer Levin,89,"48' 2""",19.079,33
23,24,,Gonzalo Fernandez-Castaño,63,"48' 0""",9.787,17
24,T25,,Andrew Loupe,55,"47' 10""",13.213,23
25,T25,,Daniel Summerhays,100,"47' 10""",13.777000000000001,24
26,T27,,Tony Finau,106,"47' 9""",24.646,43
27,T27,,Russell Henley,99,"47' 9""",16.052,28
28,29,,James Hahn,96,"47' 8""",21.149,37
29,T30,,Morgan Hoffmann,92,"47' 7""",22.85,40
30,T30,,Kevin Tway,96,"47' 7""",17.121,30
31,32,,Robert Streb,98,"47' 6""",24.504,43
32,T33,,Brian Gay,82,"47' 5""",8.531,15
33,T33,,Ollie Schniederjans,92,"47' 5""",22.188000000000002,39
34,35,,Patrick Reed,107,"47' 3""",13.600999999999999,24
35,36,,Jason Day,71,"47' 2""",15.289000000000001,27
36,T37,,Julián Etulain,68,"47' 1""",15.815999999999999,28
37,T37,,Matt Every,76,"47' 1""",16.945,30
38,39,,Keegan Bradley,104,"46' 9""",26.935,48
39,40,,Jon Rahm,90,"46' 8""",22.956999999999997,41
40,41,,J.J. Henry,92,"46' 6""",22.311,40
41,42,,Cameron Percy,71,"46' 5""",19.496,35
42,43,,Derek Fathauer,81,"46' 4""",13.899000000000001,25
43,44,,Sung Kang,104,"46' 3""",22.205,40
44,45,,Ryan Moore,82,"46' 2""",17.18,31
45,T46,,Ricky Barnes,100,"46' 0""",11.589,21
