,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,,Luke Donald,50,"52' 9""",685.9169999999999,13
1,2,,Mark Hubbard,81,"51' 1""",1429.4170000000001,28
2,3,,Jordan Spieth,85,"49' 9""",795.75,16
3,4,,Hunter Mahan,73,"49' 7""",2032.8329999999999,41
4,5,,Charl Schwartzel,63,"49' 6""",791.5830000000001,16
5,T6,,Troy Merritt,82,"49' 2""",1523.4170000000001,31
6,T6,,Brandt Snedeker,53,"49' 2""",983.1669999999999,20
7,T8,,Brian Gay,82,"48' 5""",774.6669999999999,16
8,T8,,Rod Pampling,71,"48' 5""",2323.0,48
9,10,,Chad Collins,66,"48' 4""",1304.083,27
10,11,,Spencer Levin,89,"48' 2""",1589.9170000000001,33
11,12,,Jimmy Walker,68,"47' 7""",1332.25,28
12,13,,Kevin Tway,96,"47' 6""",1473.25,31
13,T14,,Patrick Reed,107,"47' 3""",1133.417,24
14,T14,,Robert Streb,98,"47' 3""",2079.583,44
15,T14,,Vaughn Taylor,90,"47' 3""",1793.9170000000001,38
16,17,,Brandon Hagy,85,"47' 2""",2074.833,44
17,18,,Julián Etulain,68,"47' 1""",1318.0,28
18,19,,Mark Anderson,54,"46' 9""",1075.75,23
19,T20,,Dustin Johnson,77,"46' 7""",1118.167,24
20,T20,,Ollie Schniederjans,92,"46' 7""",1864.75,40
21,22,,J.J. Henry,92,"46' 5""",2088.083,45
22,23,,Keegan Bradley,104,"46' 4""",2272.333,49
23,T24,,Patrick Cantlay,52,"46' 3""",786.25,17
24,T24,,Jason Day,71,"46' 3""",1387.4170000000001,30
25,T24,,Tony Finau,106,"46' 3""",2172.833,47
26,T27,,Andrew Loupe,55,"46' 0""",1333.9170000000001,29
27,T27,,Patrick Rodgers,76,"46' 0""",2208.083,48
28,T27,,Nick Taylor,97,"46' 0""",2714.167,59
29,30,,Chad Campbell,97,"45' 10""",1972.4170000000001,43
30,T31,,Gonzalo Fernandez-Castaño,63,"45' 8""",868.4169999999999,19
31,T31,,James Hahn,96,"45' 8""",1827.75,40
32,T31,,Michael Thompson,60,"45' 8""",822.5830000000001,18
33,34,,Ricky Barnes,100,"45' 7""",1003.4169999999999,22
34,35,,Kevin Kisner,105,"45' 6""",1411.0,31
35,T36,,J.B. Holmes,83,"45' 4""",1450.6670000000001,32
36,T36,,Michael Kim,94,"45' 4""",1814.6670000000001,40
37,T36,,Cameron Percy,71,"45' 4""",1676.8329999999999,37
38,39,,Dominic Bozzelli,69,"45' 1""",1397.4170000000001,31
39,40,,Trey Mullinax,88,"45' 0""",1350.4170000000001,30
40,T41,,Ryan Palmer,61,"44' 11""",1393.5829999999999,31
41,T41,,Brian Stuard,93,"44' 11""",988.75,22
42,43,,Ryan Moore,82,"44' 8""",1474.3329999999999,33
43,T44,,Matt Jones,64,"44' 7""",1069.75,24
44,T44,,Jon Rahm,90,"44' 7""",1960.0,44
45,T44,,Kyle Reifers,96,"44' 7""",1781.8329999999999,40
46,T47,,Marc Leishman,94,"44' 5""",1066.5,24
47,T47,,Seamus Power,86,"44' 5""",1644.5829999999999,37
48,T49,,Paul Casey,94,"44' 2""",1147.25,26
49,T49,,Kevin Chappell,95,"44' 2""",2121.167,48
50,T49,,Morgan Hoffmann,92,"44' 2""",2074.75,47
51,T52,,Ken Duke,77,"44' 1""",1278.583,29
52,T52,,John Huh,92,"44' 1""",1497.8329999999999,34
53,T54,,Chez Reavie,98,"44' 0""",1275.0,29
54,T54,,Daniel Summerhays,100,"44' 0""",1318.75,30
55,T56,,Steven Bowditch,59,"43' 10""",1007.4169999999999,23
56,T56,,Bill Haas,92,"43' 10""",1577.0829999999999,36
57,T56,,Russell Henley,99,"43' 10""",1490.3329999999999,34
58,T59,,Alex Cejka,85,"43' 9""",1575.3329999999999,36
59,T59,,Harris English,84,"43' 9""",1312.0,30
60,61,,Sergio Garcia,65,"43' 8""",1354.1670000000001,31
61,62,,Geoff Ogilvy,80,"43' 7""",1263.0,29
62,63,,Shawn Stefani,72,"43' 6""",1349.1670000000001,31
63,T64,,Martin Flores,88,"43' 5""",1389.75,32
64,T64,,Charles Howell III,86,"43' 5""",1172.0,27
65,T64,,Bubba Watson,71,"43' 5""",1347.0829999999999,31
66,67,,Charley Hoffman,112,"43' 4""",2165.833,50
67,68,,Aaron Baddeley,61,"43' 3""",779.0830000000001,18
68,T69,,Steven Alker,69,"43' 2""",1122.083,26
69,T69,,Bryce Molder,74,"43' 2""",1166.5,27
70,T71,,Derek Fathauer,81,"43' 1""",1249.417,29
71,T71,,Andres Gonzales,73,"43' 1""",1679.9170000000001,39
72,73,,Louis Oosthuizen,69,"43' 0""",989.75,23
73,T74,,Adam Scott,58,"42' 10""",770.25,18
74,T74,,Nick Watney,75,"42' 10""",1412.25,33
75,76,,Tyrone Van Aswegen,105,"42' 8""",1918.25,45
76,T77,,William McGirt,89,"42' 7""",1576.0829999999999,37
77,T77,,Pat Perez,93,"42' 7""",1531.75,36
78,79,,Adam Hadwin,98,"42' 6""",1487.25,35
79,T80,,Retief Goosen,52,"42' 5""",1061.167,25
80,T80,,Patton Kizzire,84,"42' 5""",1865.0829999999999,44
81,82,,Brendan Steele,89,"42' 4""",1609.9170000000001,38
82,T83,,Zach Johnson,81,"42' 3""",1183.083,28
83,T83,,Richy Werenski,81,"42' 3""",1351.3329999999999,32
84,85,,Brian Campbell,55,"42' 2""",758.8330000000001,18
85,86,,David Hearn,93,"42' 1""",1514.75,36
86,87,,Bud Cauley,92,"42' 0""",1594.5,38
87,T88,,Bryson DeChambeau,91,"41' 11""",1929.6670000000001,46
88,T88,,Sung Kang,104,"41' 11""",1968.5,47
89,T88,,Seung-Yul Noh,91,"41' 11""",1551.6670000000001,37
90,T91,,Ryan Armour,63,"41' 9""",917.75,22
91,T91,,Matt Every,76,"41' 9""",1585.4170000000001,38
92,T91,,C.T. Pan,88,"41' 9""",1795.4170000000001,43
93,T91,,Kevin Streelman,90,"41' 9""",2047.75,49
94,T95,,Byeong Hun An,77,"41' 8""",1290.5,31
95,T95,,Jason Bohn,75,"41' 8""",1084.083,26
