,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,,8,5306.789000000001
1,2,2,,8,2396.366
2,3,3,,8,2284.669
3,4,4,,8,1426.382
4,5,5,,7,1183.697
5,6,6,,8,952.4910000000001
6,7,7,,8,931.278
7,8,8,,8,733.466
8,9,9,,8,729.678
9,10,10,,5,664.425
10,11,11,,8,651.3330000000001
11,12,12,,7,633.148
12,13,13,,8,622.545
13,14,14,,8,599.581
14,15,15,,8,581.175
15,16,16,,8,573.0740000000001
16,17,17,,7,554.1990000000001
17,18,18,,8,541.8380000000001
18,19,19,,8,447.352
19,20,20,,8,423.209
20,21,21,,8,409.974
21,22,22,,2,399.935
22,23,23,,8,371.059
23,24,24,,8,369.115
24,25,25,,7,332.159
25,26,26,,8,278.851
26,27,27,,8,262.452
27,28,28,,8,253.83900000000003
28,29,29,,7,241.56
29,30,30,,5,235.99400000000003
30,31,31,,4,218.5
31,32,32,,8,213.208
32,33,33,,6,198.326
33,34,34,,2,185.4
34,35,35,,2,166.5
35,36,36,,5,165.0
36,37,37,,3,146.05700000000002
37,38,38,,6,135.946
38,39,39,,5,135.0
39,40,40,,2,114.915
40,T41,T41,,1,113.686
41,T41,T41,,1,113.686
42,43,43,,2,95.93799999999999
43,44,44,,2,93.75
44,45,45,,4,91.993
45,46,46,,3,67.09
46,T47,T47,,1,65.429
47,T47,T47,,1,65.429
48,T47,T47,,3,65.429
49,T47,T47,,2,65.429
50,51,51,,2,64.126
51,52,52,,7,61.141999999999996
52,53,53,,2,60.7
53,54,54,,5,58.563
54,55,55,,2,56.056999999999995
55,56,56,,3,53.663000000000004
56,57,57,,3,52.675
57,58,58,,1,47.854
58,T59,T59,,2,39.2
59,T59,T59,,2,39.2
60,61,61,,1,31.633000000000003
61,62,62,,2,29.9
62,63,63,,1,29.226999999999997
63,T64,T64,,1,29.063000000000002
64,T64,T64,,2,29.063000000000002
65,66,66,,2,25.75
66,T67,T67,,1,25.358
67,T67,T67,,1,25.358
68,69,69,,1,22.651999999999997
69,70,70,,1,22.0
70,T71,T71,,1,17.7
71,T71,T71,,2,17.7
72,73,73,,1,15.7
73,74,74,,1,11.84
74,75,75,,1,10.6
75,76,76,,1,10.3
76,77,77,,1,9.5
