,Putting_from_-__20_RANK THIS WEEK,Putting_from_-__20_RANK LAST WEEK,Putting_from_-__20_PLAYER NAME,Putting_from_-__20_ROUNDS,Putting_from_-__20_% MADE,Putting_from_-__20_ATTEMPTS,Putting_from_-__20_PUTTS MADE
0,1,1,Stewart Cink,33,12.86,140,18
1,2,999,Shane Lowry,30,12.69,134,17
2,3,2,Andrew Putnam,57,12.24,196,24
3,4,3,Jordan Spieth,57,12.2,254,31
4,5,4,Charl Schwartzel,34,11.84,76,9
5,6,5,Justin Harding,31,11.69,77,9
6,7,11,Cameron Tringale,52,10.99,191,21
7,8,6,Patrick Rodgers,44,10.92,229,25
8,T9,7,Curtis Luck,51,10.87,184,20
9,T9,999,Martin Piller,30,10.87,92,10
10,11,8,Tiger Woods,31,10.69,131,14
11,12,T9,Talor Gooch,37,10.55,199,21
12,13,T9,Peter Uihlein,65,10.44,249,26
13,14,13,Beau Hossler,66,10.27,292,30
14,15,15,Joel Dahmen,78,10.03,339,34
15,16,T16,Cameron Smith,55,10.0,180,18
16,17,18,Abraham Ancer,69,9.93,282,28
17,18,12,Dustin Johnson,47,9.84,193,19
18,19,21,Bryson DeChambeau,45,9.8,204,20
19,20,22,Kevin Na,54,9.71,175,17
20,21,19,Chris Stroud,54,9.57,230,22
21,22,T24,Martin Kaymer,38,9.43,212,20
22,23,T16,Sepp Straka,48,9.34,182,17
23,T24,26,Rory McIlroy,50,9.33,225,21
24,T24,23,Sebastián Muñoz,58,9.33,225,21
25,26,27,Phil Mickelson,41,9.32,161,15
26,27,20,Whee Kim,57,9.24,184,17
27,28,30,Lucas Glover,62,9.23,336,31
28,T29,14,Joey Garber,44,9.21,152,14
29,T29,31,"Ted Potter, Jr.",56,9.21,239,22
30,31,34,Brian Stuard,76,9.0,300,27
31,32,T24,Denny McCarthy,63,8.96,279,25
32,33,36,Charley Hoffman,58,8.89,180,16
33,34,28,Cameron Davis,54,8.85,192,17
34,35,29,Austin Cook,50,8.84,181,16
35,36,32,Anders Albertson,48,8.78,205,18
36,37,39,Rory Sabbatini,71,8.75,297,26
37,38,40,Rickie Fowler,54,8.73,275,24
38,T39,42,Matt Jones,67,8.65,266,23
39,T39,33,Nick Taylor,70,8.65,347,30
40,41,44,Branden Grace,62,8.6,186,16
41,42,T73,Graeme McDowell,61,8.57,245,21
42,43,37,Harold Varner III,62,8.54,316,27
43,44,46,Anirban Lahiri,54,8.53,211,18
44,45,47,Sam Ryder,52,8.41,214,18
45,T46,43,Corey Conners,62,8.37,251,21
46,T46,48,Ryan Moore,54,8.37,239,20
47,48,T49,Justin Rose,42,8.33,156,13
48,49,51,Jason Kokrak,68,8.31,313,26
49,50,54,Kelly Kraft,67,8.3,253,21
50,51,52,Vaughn Taylor,69,8.28,290,24
51,52,53,Gary Woodland,63,8.27,266,22
52,T53,T90,Hank Lebioda,55,8.26,242,20
53,T53,41,Shawn Stefani,57,8.26,242,20
54,T55,38,Nate Lashley,44,8.24,182,15
55,T55,35,Roger Sloan,62,8.24,279,23
56,T57,45,Scott Piercy,70,8.22,304,25
57,T57,55,Patrick Reed,53,8.22,219,18
58,59,56,Billy Horschel,73,8.19,293,24
59,60,57,John Senden,39,8.18,159,13
60,61,58,Jason Day,45,8.16,147,12
61,62,67,Ben Silverman,54,8.1,247,20
62,63,T112,Roberto Castro,54,8.04,224,18
63,64,63,Patrick Cantlay,49,7.98,163,13
64,65,64,Brendan Steele,50,7.95,239,19
65,66,T65,Michael Thompson,56,7.94,277,22
66,67,T73,Bud Cauley,61,7.93,290,23
67,T68,T68,Sam Burns,66,7.91,316,25
68,T68,T68,Chesson Hadley,58,7.91,215,17
69,T68,T68,Chez Reavie,67,7.91,215,17
70,71,62,John Chin,38,7.89,152,12
71,72,72,Si Woo Kim,65,7.88,203,16
72,T73,T73,Bronson Burgoon,37,7.83,166,13
73,T73,T73,J.T. Poston,76,7.83,383,30
74,75,T112,Brandt Snedeker,68,7.81,269,21
75,76,77,C.T. Pan,64,7.79,244,19
76,77,60,Mackenzie Hughes,58,7.78,257,20
77,78,78,Cameron Champ,58,7.76,335,26
78,79,101,Danny Lee,66,7.72,311,24
79,T80,T65,Brian Gay,79,7.67,339,26
80,T80,T84,Peter Malnati,64,7.67,287,22
81,82,59,Matt Every,38,7.64,144,11
82,83,83,Jon Rahm,51,7.61,197,15
83,84,T84,Aaron Baddeley,51,7.55,212,16
84,85,86,Tony Finau,61,7.54,252,19
