,3-Putt_Avoidance_-_Round_4_RANK THIS WEEK,3-Putt_Avoidance_-_Round_4_RANK LAST WEEK,3-Putt_Avoidance_-_Round_4_PLAYER NAME,3-Putt_Avoidance_-_Round_4_%,3-Putt_Avoidance_-_Round_4_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_4_TOTAL HOLES
0,1,1,Brian Stuard,0.37,1,270
1,2,2,Jonas Blixt,0.43,1,234
2,3,3,Andrew Putnam,0.51,1,198
3,4,T4,Sebastián Muñoz,0.56,1,180
4,T5,6,Louis Oosthuizen,0.69,1,144
5,T5,7,José de Jesús Rodríguez,0.69,1,144
6,T7,T8,Matt Every,0.93,1,108
7,T7,T8,James Hahn,0.93,1,108
8,T7,T8,Si Woo Kim,0.93,2,216
9,T7,T8,Chase Wright,0.93,1,108
10,11,12,Wyndham Clark,1.01,2,198
11,12,T13,Brian Gay,1.04,3,288
12,T13,T13,Aaron Baddeley,1.11,2,180
13,T13,T4,Daniel Berger,1.11,2,180
14,T13,T19,Joey Garber,1.11,1,90
15,T16,T19,Kelly Kraft,1.23,2,162
16,T16,T15,Justin Rose,1.23,2,162
17,T16,T15,Hudson Swafford,1.23,2,162
18,T19,T17,Rickie Fowler,1.28,3,234
19,T19,T17,Charles Howell III,1.28,3,234
20,T19,T19,J.J. Spaun,1.28,3,234
21,T22,T28,Jonathan Byrd,1.39,2,144
22,T22,T28,Mackenzie Hughes,1.39,2,144
23,T22,T28,Jim Knous,1.39,2,144
24,T22,T19,Xander Schauffele,1.39,3,216
25,T22,T19,Brady Schnell,1.39,1,72
26,T22,T26,Webb Simpson,1.39,3,216
27,T22,T19,Kyle Stanley,1.39,2,144
28,T29,T26,Ryan Armour,1.52,3,198
29,T29,T32,Peter Malnati,1.52,3,198
30,T31,T32,Patrick Cantlay,1.67,3,180
31,T31,T32,Denny McCarthy,1.67,3,180
32,T31,T32,Ian Poulter,1.67,3,180
33,T31,T32,Richy Werenski,1.67,3,180
34,35,38,Matt Jones,1.71,4,234
35,T36,T48,Ben Crane,1.85,2,108
36,T36,T39,Sergio Garcia,1.85,2,108
37,T36,T39,Luke List,1.85,3,162
38,T36,T39,Adam Long,1.85,2,108
39,T36,T39,Carlos Ortiz,1.85,3,162
40,T36,T39,D.A. Points,1.85,1,54
41,T36,46,Ben Silverman,1.85,3,162
42,T36,T48,D.J. Trahan,1.85,2,108
43,T44,45,Bud Cauley,2.02,4,198
44,T44,T32,Brian Harman,2.02,4,198
