,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
162,T149,T156,Satoshi Kodaira,16,46
163,T149,T156,Adam Long,19,46
164,T149,T156,Hideki Matsuyama,15,46
165,T149,T156,Joaquin Niemann,20,46
166,T149,T131,Carlos Ortiz,21,46
167,T149,T175,Seth Reeves,18,46
168,T149,T156,Brendan Steele,17,46
169,T149,T175,Henrik Stenson,12,46
170,T149,T131,Martin Trainer,19,46
171,T149,T131,Nick Watney,20,46
172,T149,T175,Danny Willett,15,46
173,T174,T175,Paul Casey,15,45
174,T174,T156,Alex Cejka,16,45
175,T174,T175,Tommy Fleetwood,11,45
176,T174,T175,Jim Furyk,16,45
177,T174,T175,Branden Grace,18,45
178,T174,T175,Russell Henley,18,45
179,T174,T188,Jim Herman,16,45
180,T174,T156,Tom Hoge,24,45
181,T174,T175,Chris Kirk,17,45
182,T174,T175,Andrew Landry,18,45
183,T174,T156,Alex Noren,14,45
184,T174,T156,Scott Stallings,20,45
185,T174,T197,Josh Teater,17,45
186,T174,T131,Chris Thompson,12,45
187,T174,T131,D.J. Trahan,11,45
188,T174,T175,Kevin Tway,19,45
189,T190,T188,Sergio Garcia,11,44
190,T190,T175,Brandon Harkins,21,44
191,T190,T188,Brian Harman,22,44
192,T190,T188,J.B. Holmes,18,44
193,T190,T188,Louis Oosthuizen,12,44
194,T190,T188,Sam Saunders,18,44
195,T190,T188,Kyle Stanley,18,44
196,T190,T188,Kevin Streelman,20,44
197,T198,T197,Bill Haas,18,43
198,T198,T197,Grayson Murray,14,43
199,T198,T188,Alex Prugh,18,43
200,T198,T197,Robert Streb,21,43
201,T198,T201,Bubba Watson,13,43
202,T203,T201,Byeong Hun An,15,42
203,T203,T201,Tyler Duncan,22,42
204,T203,T201,James Hahn,10,42
205,T203,206,J.J. Henry,15,42
206,T203,999,Tyrone Van Aswegen,11,42
207,208,T201,Keegan Bradley,18,41
208,209,207,Rod Pampling,16,40
