,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
158,T157,T137,Fabián Gómez,44,"22' 4""",6906.75,309
159,T157,T150,Zach Johnson,50,"22' 4""",8670.167,388
160,T157,T159,Chris Kirk,47,"22' 4""",8231.25,368
161,T157,T159,Ryan Moore,54,"22' 4""",9430.083,423
162,T157,T172,Roger Sloan,62,"22' 4""",10663.75,478
163,T157,T159,Brian Stuard,76,"22' 4""",11933.167,534
164,T157,T146,Adam Svensson,51,"22' 4""",8323.667,373
165,T157,T174,D.J. Trahan,33,"22' 4""",4754.917,213
166,T167,T166,Abraham Ancer,69,"22' 3""",10903.333,490
167,T167,T166,Joel Dahmen,78,"22' 3""",12781.333,575
168,T167,T166,J.B. Holmes,54,"22' 3""",6107.75,275
169,T167,T150,Jim Knous,55,"22' 3""",8559.833,385
170,T167,T166,Chez Reavie,67,"22' 3""",8806.25,396
171,T172,T159,Sergio Garcia,39,"22' 2""",6307.9169999999995,285
172,T172,T150,David Hearn,41,"22' 2""",5497.5,248
173,T172,T172,Kyoung-Hoon Lee,72,"22' 2""",10292.75,465
174,T175,T178,Keegan Bradley,65,"22' 1""",10588.75,479
175,T175,T159,Jonathan Byrd,43,"22' 1""",6015.8330000000005,272
176,T175,T174,Roberto Díaz,51,"22' 1""",7261.8330000000005,329
177,T175,T178,Matt Every,38,"22' 1""",5541.75,251
178,T175,T174,Emiliano Grillo,65,"22' 1""",9606.5,435
179,T175,T182,Whee Kim,57,"22' 1""",6953.8330000000005,315
180,T175,T166,Chris Stroud,54,"22' 1""",8805.917,399
181,T175,999,Tyrone Van Aswegen,30,"22' 1""",4218.833,191
182,T183,T178,Andrew Landry,56,"22' 0""",9720.167,442
183,T183,T178,Kevin Na,54,"22' 0""",7385.9169999999995,336
184,T185,T182,Bryson DeChambeau,45,"21' 11""",7877.5,360
185,T185,T182,Sam Ryder,52,"21' 11""",8351.417,381
186,T187,T186,Charley Hoffman,58,"21' 10""",7693.3330000000005,353
187,T187,T186,Vaughn Taylor,69,"21' 10""",11910.417,545
188,T187,T189,Justin Thomas,49,"21' 10""",7303.4169999999995,334
189,190,188,Paul Casey,51,"21' 9""",7057.1669999999995,324
190,191,T189,Satoshi Kodaira,51,"21' 8""",7790.1669999999995,360
191,T192,T192,Patrick Cantlay,49,"21' 7""",6962.1669999999995,322
192,T192,T195,Cameron Davis,54,"21' 7""",8049.3330000000005,373
193,T192,999,Martin Piller,30,"21' 7""",3523.333,163
194,195,194,Chesson Hadley,58,"21' 6""",9083.917,422
195,T196,T195,Phil Mickelson,41,"21' 5""",6544.3330000000005,305
196,T196,T195,Charl Schwartzel,34,"21' 5""",3000.917,140
197,T198,T198,Corey Conners,62,"21' 4""",9883.5,464
198,T198,T189,Austin Cook,50,"21' 4""",7429.25,348
199,T198,T198,Branden Grace,62,"21' 4""",7535.5830000000005,353
200,T198,200,Scott Stallings,63,"21' 4""",10422.5,488
201,202,T192,Tom Hoge,70,"21' 3""",10441.833,491
202,203,201,"Ted Potter, Jr.",56,"21' 1""",9322.917,442
203,T204,T202,Byeong Hun An,54,"20' 11""",8253.583,395
204,T204,T202,Louis Oosthuizen,43,"20' 11""",5057.417,242
205,206,204,Brandon Harkins,67,"20' 8""",9799.917,475
206,207,207,Rod Pampling,40,"20' 7""",6009.5,292
207,T208,206,Alex Cejka,41,"20' 6""",5661.5830000000005,276
208,T208,205,Joaquin Niemann,68,"20' 6""",11296.0,551
