,Putting_from_5_RANK THIS WEEK,Putting_from_5_RANK LAST WEEK,Putting_from_5_PLAYER NAME,Putting_from_5_ROUNDS,Putting_from_5_% MADE,Putting_from_5_ATTEMPTS,Putting_from_5_PUTTS MADE
0,1,1,Graeme McDowell,61,98.15,54,53
1,2,4,Julián Etulain,55,93.62,47,44
2,3,T2,Dominic Bozzelli,53,93.33,45,42
3,4,7,Scott Langley,60,92.54,67,62
4,T5,8,Rory McIlroy,50,92.5,40,37
5,T5,T2,José de Jesús Rodríguez,51,92.5,40,37
6,7,T5,Rickie Fowler,54,92.31,52,48
7,8,T5,Peter Malnati,64,91.55,71,65
8,9,18,Justin Thomas,49,90.48,42,38
9,10,T10,Denny McCarthy,63,90.32,62,56
10,11,999,Martin Piller,30,90.0,20,18
11,12,12,Beau Hossler,66,89.83,59,53
12,13,T20,Harris English,72,89.66,87,78
13,T14,15,Sebastián Muñoz,58,89.58,48,43
14,T14,9,Carlos Ortiz,60,89.58,48,43
15,16,T13,Justin Rose,42,89.47,38,34
16,17,T10,Brian Gay,79,89.33,75,67
17,18,16,Jon Rahm,51,89.13,46,41
18,19,22,Daniel Berger,48,89.06,64,57
19,20,17,Andrew Putnam,57,88.89,54,48
20,21,23,Adam Hadwin,66,88.71,62,55
21,22,24,Sergio Garcia,39,88.57,35,31
22,23,T20,Charl Schwartzel,34,88.46,26,23
23,24,31,Webb Simpson,53,88.41,69,61
24,25,T13,Seth Reeves,52,88.14,59,52
25,26,25,Ian Poulter,49,87.8,41,36
26,T27,T27,Pat Perez,52,87.5,40,35
27,T27,T27,Cameron Smith,55,87.5,40,35
28,T27,T33,Harold Varner III,62,87.5,72,63
29,30,19,Ollie Schniederjans,63,87.3,63,55
30,T31,29,Danny Lee,66,87.18,78,68
31,T31,30,Matt Wallace,31,87.18,39,34
32,33,32,John Huh,35,86.79,53,46
33,34,T33,Sam Burns,66,86.76,68,59
34,35,26,Sam Saunders,53,86.57,67,58
35,36,36,Kiradech Aphibarnrat,49,86.54,52,45
36,T37,35,Brian Harman,67,86.36,66,57
37,T37,37,Sung Kang,67,86.36,66,57
38,39,45,Curtis Luck,51,86.05,43,37
39,40,49,Matt Kuchar,65,85.96,57,49
40,T41,T40,Patrick Cantlay,49,85.71,35,30
41,T41,T40,Keith Mitchell,64,85.71,56,48
42,T41,T52,Chase Wright,53,85.71,49,42
43,T44,43,Anirban Lahiri,54,85.45,55,47
44,T44,T40,Ryan Palmer,56,85.45,55,47
45,46,44,Chris Kirk,47,85.42,48,41
46,47,46,Tiger Woods,31,85.29,34,29
47,48,51,Nick Taylor,70,85.19,81,69
48,T49,T47,James Hahn,34,85.0,20,17
49,T49,T47,Freddie Jacobson,37,85.0,40,34
50,51,T52,Satoshi Kodaira,51,84.78,46,39
51,T52,38,Anders Albertson,48,84.62,52,44
52,T52,999,Shane Lowry,30,84.62,26,22
53,54,T63,Talor Gooch,37,84.21,38,32
54,55,T57,Kevin Na,54,84.09,44,37
55,T56,T59,Bryson DeChambeau,45,84.0,50,42
56,T56,T59,Charles Howell III,64,84.0,50,42
57,T56,T70,Brooks Koepka,49,84.0,50,42
58,59,62,Adam Long,52,83.93,56,47
59,T60,T63,Ryan Blaum,67,83.87,62,52
60,T60,T93,Chris Thompson,34,83.87,31,26
61,62,65,Brian Stuard,76,83.78,74,62
62,63,T66,Hunter Mahan,45,83.72,43,36
63,64,83,Kyle Jones,49,83.67,49,41
64,65,68,Andrew Landry,56,83.64,55,46
65,66,69,Abraham Ancer,69,83.58,67,56
66,67,82,Roger Sloan,62,83.53,85,71
67,T68,56,Wyndham Clark,61,83.33,66,55
68,T68,T70,Jason Day,45,83.33,36,30
69,T68,T70,Justin Harding,31,83.33,18,15
70,T68,T70,Charley Hoffman,58,83.33,30,25
71,T68,T70,Kyle Stanley,53,83.33,36,30
72,73,76,Hudson Swafford,59,83.08,65,54
73,T74,T93,Zach Johnson,50,83.05,59,49
74,T74,77,Troy Merritt,42,83.05,59,49
75,76,78,Francesco Molinari,41,82.93,41,34
76,77,79,Kevin Kisner,65,82.86,70,58
77,78,T87,Roberto Castro,54,82.81,64,53
78,79,T80,Ernie Els,43,82.76,29,24
79,80,85,Shawn Stefani,57,82.69,52,43
80,81,99,Matt Every,38,82.5,40,33
81,82,84,Ryan Moore,54,82.46,57,47
82,83,86,Joel Dahmen,78,82.14,84,69
83,84,T80,Mackenzie Hughes,58,81.97,61,50
84,85,T91,Bud Cauley,61,81.82,77,63
85,86,T87,Sam Ryder,52,81.67,60,49
86,T87,T89,Jason Dufner,56,81.63,49,40
87,T87,95,Jim Furyk,53,81.63,49,40
88,T87,T89,Brendan Steele,50,81.63,49,40
89,90,T91,Tyrrell Hatton,46,81.58,38,31
90,91,96,Lucas Glover,62,81.33,75,61
91,T92,T100,Bill Haas,58,81.25,64,52
92,T92,T57,Alex Noren,49,81.25,48,39
93,T92,97,C.T. Pan,64,81.25,48,39
94,T95,105,Roberto Díaz,51,81.13,53,43
95,T95,55,Brice Garnett,63,81.13,53,43
96,T95,98,Michael Kim,51,81.13,53,43
97,98,50,Josh Teater,47,81.08,37,30
98,99,103,Scott Piercy,70,80.95,63,51
99,100,102,Tony Finau,61,80.77,52,42
100,101,104,Rory Sabbatini,71,80.52,77,62
101,102,132,David Hearn,41,80.49,41,33
102,T103,T106,Martin Kaymer,38,80.36,56,45
103,T103,T106,Si Woo Kim,65,80.36,56,45
104,T105,T109,Bronson Burgoon,37,80.0,35,28
105,T105,T109,Billy Horschel,73,80.0,75,60
106,T105,T109,Luke List,52,80.0,55,44
107,T105,T109,Chez Reavie,67,80.0,60,48
108,T105,T109,Patrick Reed,53,80.0,50,40
