,3-Putt_Avoidance_-_20-25_RANK THIS WEEK,3-Putt_Avoidance_-_20-25_RANK LAST WEEK,3-Putt_Avoidance_-_20-25_PLAYER NAME,3-Putt_Avoidance_-_20-25_ROUNDS,3-Putt_Avoidance_-_20-25_%,3-Putt_Avoidance_-_20-25_TOTAL 3 PUTTS,3-Putt_Avoidance_-_20-25_ATTEMPTS,3-Putt_Avoidance_-_20-25_2 PUTT OR BETTER %
0,T1,T1,Sangmoon Bae,42,0.0,,40,10.0
1,T1,T1,Daniel Berger,48,0.0,,56,10.0
2,T1,T1,Dominic Bozzelli,53,0.0,,50,10.0
3,T1,T1,Patrick Cantlay,49,0.0,,47,10.0
4,T1,T1,Ben Crane,41,0.0,,31,10.0
5,T1,T1,Harris English,72,0.0,,77,10.0
6,T1,T1,Tony Finau,61,0.0,,66,10.0
7,T1,T1,Tommy Fleetwood,43,0.0,,32,10.0
8,T1,T1,Dylan Frittelli,55,0.0,,73,10.0
9,T1,T1,Emiliano Grillo,65,0.0,,69,10.0
10,T1,T1,James Hahn,34,0.0,,26,10.0
11,T1,T1,Justin Harding,31,0.0,,25,10.0
12,T1,T1,Brandon Harkins,67,0.0,,62,10.0
13,T1,T1,Brian Harman,67,0.0,,70,10.0
14,T1,T1,Tyrrell Hatton,46,0.0,,40,10.0
15,T1,T1,David Hearn,41,0.0,,42,10.0
16,T1,T1,Russell Henley,56,0.0,,57,10.0
17,T1,T1,Charley Hoffman,58,0.0,,48,10.0
18,T1,T1,Mackenzie Hughes,58,0.0,,56,10.0
19,T1,T1,Zach Johnson,50,0.0,,46,10.0
20,T1,T1,Patton Kizzire,58,0.0,,58,10.0
21,T1,T1,Russell Knox,65,0.0,,64,10.0
22,T1,T1,Matt Kuchar,65,0.0,,69,10.0
23,T1,T1,Scott Langley,60,0.0,,73,10.0
24,T1,T1,Nate Lashley,44,0.0,,44,10.0
25,T1,T1,Haotong Li,32,0.0,,21,10.0
26,T1,T1,Peter Malnati,64,0.0,,78,10.0
27,T1,T1,Troy Merritt,42,0.0,,47,10.0
28,T1,T1,Joaquin Niemann,68,0.0,,81,10.0
29,T1,T1,Louis Oosthuizen,43,0.0,,28,10.0
30,T1,999,Martin Piller,30,0.0,,26,10.0
31,T1,T1,D.A. Points,33,0.0,,22,10.0
32,T1,T1,Ian Poulter,49,0.0,,52,10.0
33,T1,T1,Alex Prugh,54,0.0,,59,10.0
34,T1,T1,Andrew Putnam,57,0.0,,54,10.0
35,T1,T1,Jon Rahm,51,0.0,,53,10.0
36,T1,T1,Patrick Reed,53,0.0,,53,10.0
37,T1,T1,Patrick Rodgers,44,0.0,,62,10.0
38,T1,T1,Justin Rose,42,0.0,,36,10.0
39,T1,T1,Brady Schnell,38,0.0,,34,10.0
40,T1,T1,Ollie Schniederjans,63,0.0,,73,10.0
41,T1,T1,Charl Schwartzel,34,0.0,,22,10.0
42,T1,T1,Cameron Smith,55,0.0,,53,10.0
43,T1,T1,Scott Stallings,63,0.0,,76,10.0
44,T1,T1,Kevin Streelman,63,0.0,,77,10.0
45,T1,T1,Chris Stroud,54,0.0,,67,10.0
46,T1,T1,Hudson Swafford,59,0.0,,54,10.0
47,T1,T1,Vaughn Taylor,69,0.0,,71,10.0
48,T1,T1,Josh Teater,47,0.0,,48,10.0
49,T1,T1,Chris Thompson,34,0.0,,24,10.0
