,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
114,T113,T105,Daniel Berger,48,8,293,2.7
115,T113,T105,Keegan Bradley,65,8,286,2.8
116,T113,T105,Bronson Burgoon,37,8,193,4.1
117,T113,T105,Rafa Cabrera Bello,57,8,275,2.9
118,T113,T123,John Chin,38,8,133,6.0
119,T113,T105,Austin Cook,50,8,256,3.1
120,T113,T147,J.J. Henry,42,8,165,4.8
121,T113,T105,Kyle Jones,49,8,237,3.4
122,T113,T171,Graeme McDowell,61,8,311,2.6
123,T113,T105,Alex Noren,49,8,217,3.7
124,T113,T147,José de Jesús Rodríguez,51,8,286,2.8
125,T113,T105,Sam Saunders,53,8,340,2.4
126,T113,T105,Adam Scott,41,8,187,4.3
127,T113,T105,Hudson Swafford,59,8,312,2.6
128,T113,T147,Danny Willett,47,8,254,3.1
129,T113,T105,Aaron Wise,52,8,241,3.3
130,T131,T123,Byeong Hun An,54,7,281,2.5
131,T131,T123,Kiradech Aphibarnrat,49,7,249,2.8
132,T131,T147,Roberto Castro,54,7,283,2.5
133,T131,T123,Jason Day,45,7,184,3.8
134,T131,T123,Ernie Els,43,7,196,3.6
135,T131,T123,Julián Etulain,55,7,279,2.5
136,T131,T123,Matt Every,38,7,183,3.8
137,T131,T123,Matthew Fitzpatrick,42,7,197,3.6
138,T131,T123,Fabián Gómez,44,7,211,3.3
139,T131,T123,Emiliano Grillo,65,7,259,2.7
140,T131,T147,Bill Haas,58,7,309,2.3
141,T131,T123,Tom Hoge,70,7,335,2.1
142,T131,T123,Max Homa,61,7,336,2.1
143,T131,T123,John Huh,35,7,183,3.8
144,T131,T123,Sung Kang,67,7,381,1.8
145,T131,T123,Kevin Kisner,65,7,309,2.3
146,T131,T123,Satoshi Kodaira,51,7,238,2.9
147,T131,T123,Adam Long,52,7,292,2.4
148,T131,T123,Ryan Palmer,56,7,282,2.5
149,T131,T123,Alex Prugh,54,7,211,3.3
150,T131,T147,Johnson Wagner,45,7,220,3.2
151,T131,T123,Matt Wallace,31,7,167,4.2
152,T131,T123,Tiger Woods,31,7,147,4.8
153,T154,T147,Dominic Bozzelli,53,6,255,2.4
154,T154,T147,Patrick Cantlay,49,6,253,2.4
155,T154,T147,Alex Cejka,41,6,188,3.2
156,T154,T147,Bryson DeChambeau,45,6,289,2.1
157,T154,T147,Brandon Harkins,67,6,366,1.6
158,T154,T147,Russell Henley,56,6,293,2.0
159,T154,T147,Kramer Hickok,59,6,260,2.3
160,T154,T147,Charley Hoffman,58,6,258,2.3
161,T154,T147,Michael Kim,51,6,234,2.6
162,T154,T147,Chris Kirk,47,6,233,2.6
163,T154,T147,Haotong Li,32,6,149,4.0
164,T154,999,Shane Lowry,30,6,156,3.8
165,T154,T147,Francesco Molinari,41,6,189,3.2
166,T154,T186,Joaquin Niemann,68,6,351,1.7
167,T154,T147,Jon Rahm,51,6,231,2.6
168,T154,T147,Justin Rose,42,6,225,2.7
169,T154,T147,Charl Schwartzel,34,6,123,4.9
170,T154,T147,Scott Stallings,63,6,352,1.7
171,T154,T147,Nick Watney,67,6,340,1.8
172,T154,T171,Bubba Watson,47,6,249,2.4
173,T154,T147,Chase Wright,53,6,276,2.2
174,T175,T171,Lucas Bjerregaard,37,5,141,3.5
175,T175,T171,Paul Casey,51,5,210,2.4
176,T175,T171,Sergio Garcia,39,5,209,2.4
177,T175,T171,David Hearn,41,5,167,3.0
178,T175,T171,J.B. Holmes,54,5,201,2.5
179,T175,T171,Freddie Jacobson,37,5,181,2.8
180,T175,T171,Patton Kizzire,58,5,274,1.8
181,T175,T171,Brooks Koepka,49,5,212,2.4
182,T175,T171,Hunter Mahan,45,5,230,2.2
183,T175,T171,Ian Poulter,49,5,213,2.3
184,T175,T186,Wes Roach,45,5,200,2.5
185,T175,T171,Brady Schnell,38,5,188,2.7
186,T175,T171,Kyle Stanley,53,5,199,2.5
187,T175,T186,D.J. Trahan,33,5,114,4.4
188,T189,T186,Sangmoon Bae,42,4,178,2.2
189,T189,T186,Ben Crane,41,4,192,2.1
190,T189,T186,Tyler Duncan,66,4,294,1.4
191,T189,T186,Jim Furyk,53,4,288,1.4
192,T189,T186,Pat Perez,52,4,214,1.9
193,T189,T195,Josh Teater,47,4,199,2.0
194,T189,T186,Martin Trainer,51,4,309,1.3
195,T196,T203,Jonathan Byrd,43,3,208,1.4
196,T196,T195,Tommy Fleetwood,43,3,184,1.6
197,T196,T195,Justin Harding,31,3,86,3.5
198,T196,T203,Jim Herman,37,3,189,1.6
199,T196,T195,Troy Merritt,42,3,237,1.3
200,T196,T195,Louis Oosthuizen,43,3,171,1.8
201,T196,T195,Rod Pampling,40,3,167,1.8
202,T196,999,Martin Piller,30,3,129,2.3
203,T196,T195,D.A. Points,33,3,133,2.3
204,T196,T203,Seth Reeves,52,3,249,1.2
205,T196,T195,Chris Thompson,34,3,149,2.0
206,T196,999,Tyrone Van Aswegen,30,3,130,2.3
207,208,T203,Grayson Murray,36,2,171,1.2
208,209,207,James Hahn,34,1,91,1.1
