,3-Putt_Avoidance_-_Round_1_RANK THIS WEEK,3-Putt_Avoidance_-_Round_1_RANK LAST WEEK,3-Putt_Avoidance_-_Round_1_PLAYER NAME,3-Putt_Avoidance_-_Round_1_%,3-Putt_Avoidance_-_Round_1_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_1_TOTAL HOLES
0,1,2,Chris Stroud,0.62,2,324
1,2,3,Ollie Schniederjans,0.79,3,378
2,3,4,Tyrrell Hatton,0.93,2,216
3,4,8,Cody Gribble,0.98,3,306
4,5,T6,Martin Kaymer,1.01,2,198
5,T6,T9,Aaron Baddeley,1.11,3,270
6,T6,T9,Kevin Kisner,1.11,3,270
7,T6,12,Matt Kuchar,1.11,3,270
8,T6,T9,Vaughn Taylor,1.11,4,360
9,T10,T13,Tommy Fleetwood,1.23,2,162
10,T10,5,Sam Saunders,1.23,4,324
11,12,16,Billy Horschel,1.31,4,306
12,13,17,Joel Dahmen,1.32,5,378
13,T14,T18,Ryan Blaum,1.39,5,360
14,T14,T18,Anirban Lahiri,1.39,4,288
15,T14,T6,Rory McIlroy,1.39,3,216
16,17,T13,Scott Langley,1.46,5,342
17,18,T24,Graeme McDowell,1.48,4,270
18,T19,T26,Wyndham Clark,1.54,5,324
19,T19,23,Charles Howell III,1.54,5,324
20,T21,28,Jim Furyk,1.59,4,252
21,T21,T24,Kevin Na,1.59,4,252
22,T23,T18,Ben Crane,1.71,4,234
23,T23,T18,David Hearn,1.71,4,234
24,T23,T30,Alex Noren,1.71,4,234
25,26,T30,Jim Herman,1.74,5,288
26,27,29,Kevin Streelman,1.75,6,342
27,T28,T18,Sergio Garcia,1.85,3,162
28,T28,40,Nate Lashley,1.85,4,216
29,T28,T34,Peter Malnati,1.85,6,324
30,T28,T30,Francesco Molinari,1.85,3,162
31,T28,T26,Kevin Tway,1.85,6,324
32,T33,T42,Sebastián Muñoz,1.96,6,306
33,T33,T42,José de Jesús Rodríguez,1.96,6,306
34,T33,T42,Brandt Snedeker,1.96,6,306
35,T33,T34,Jhonattan Vegas,1.96,6,306
36,T37,T36,Bronson Burgoon,1.98,5,252
37,T37,T36,Rickie Fowler,1.98,5,252
38,T37,T46,Brady Schnell,1.98,5,252
39,T37,T36,Cameron Smith,1.98,5,252
40,41,1,Dustin Johnson,2.02,4,198
41,T42,T30,Denny McCarthy,2.05,7,342
42,T42,T49,Hudson Swafford,2.05,7,342
43,T42,T49,Nick Watney,2.05,7,342
44,T42,T13,Richy Werenski,2.05,7,342
45,46,T52,Brian Harman,2.12,8,378
46,T47,T46,John Huh,2.14,5,234
47,T47,T46,Patrick Reed,2.14,5,234
