,Total_3_Putts_-_20-25_RANK THIS WEEK,Total_3_Putts_-_20-25_RANK LAST WEEK,Total_3_Putts_-_20-25_PLAYER NAME,Total_3_Putts_-_20-25_ROUNDS,Total_3_Putts_-_20-25_TOTAL 3 PUTTS 20'-25',Total_3_Putts_-_20-25_TOTAL 3 PUTTS
0,T1,T1,Abraham Ancer,69,6,28
1,T1,T1,Lucas Glover,62,6,24
2,T3,T3,Keegan Bradley,65,4,37
3,T3,T3,Cameron Champ,58,4,40
4,T3,T3,Joel Dahmen,78,4,33
5,T3,T3,Jason Kokrak,68,4,27
6,T3,T3,"Ted Potter, Jr.",56,4,26
7,T8,T8,Ryan Armour,66,3,33
8,T8,T8,Ryan Blaum,67,3,26
9,T8,T8,Alex Cejka,41,3,14
10,T8,T8,Cameron Davis,54,3,20
11,T8,T8,Bryson DeChambeau,45,3,26
12,T8,T8,Julián Etulain,55,3,22
13,T8,T8,Fabián Gómez,44,3,17
14,T8,T8,Adam Hadwin,66,3,31
15,T8,T8,Sungjae Im,88,3,43
16,T8,T8,Kyoung-Hoon Lee,72,3,30
17,T8,T8,Graeme McDowell,61,3,18
18,T8,T8,Keith Mitchell,64,3,27
19,T8,T8,Ryan Moore,54,3,19
20,T8,T67,Rod Pampling,40,3,18
21,T8,T8,J.T. Poston,76,3,40
22,T8,T8,Sam Ryder,52,3,25
23,T8,T8,Xander Schauffele,55,3,18
24,T8,T8,John Senden,39,3,20
25,T8,T25,Adam Svensson,51,3,26
26,T8,T25,Nick Taylor,70,3,27
27,T8,999,Tyrone Van Aswegen,30,3,17
28,T29,T25,Byeong Hun An,54,2,18
29,T29,T25,Aaron Baddeley,51,2,16
30,T29,T25,Bronson Burgoon,37,2,21
31,T29,T25,Sam Burns,66,2,17
32,T29,T25,Rafa Cabrera Bello,57,2,21
33,T29,T25,Roberto Castro,54,2,25
34,T29,T25,Bud Cauley,61,2,26
35,T29,T25,Tyler Duncan,66,2,30
36,T29,T25,Ernie Els,43,2,10
37,T29,T25,Talor Gooch,37,2,19
38,T29,T25,Cody Gribble,52,2,16
39,T29,T67,Bill Haas,58,2,23
40,T29,T25,J.J. Henry,42,2,15
41,T29,T25,Jim Herman,37,2,15
42,T29,T25,J.B. Holmes,54,2,22
43,T29,T25,Max Homa,61,2,18
44,T29,T25,Billy Horschel,73,2,23
45,T29,T25,Matt Jones,67,2,17
46,T29,T25,Kyle Jones,49,2,18
47,T29,T25,Sung Kang,67,2,35
48,T29,T25,Jim Knous,55,2,24
49,T29,T25,Satoshi Kodaira,51,2,27
50,T29,T25,Kelly Kraft,67,2,27
51,T29,T25,Hank Lebioda,55,2,28
52,T29,T25,Danny Lee,66,2,39
53,T29,T25,Marc Leishman,52,2,27
54,T29,T25,Luke List,52,2,30
55,T29,T25,Adam Long,52,2,24
56,T29,T25,Hideki Matsuyama,59,2,30
57,T29,T25,Grayson Murray,36,2,21
58,T29,T25,C.T. Pan,64,2,17
59,T29,T25,Seamus Power,58,2,27
60,T29,T25,Rory Sabbatini,71,2,32
61,T29,T25,Sam Saunders,53,2,18
62,T29,T25,Roger Sloan,62,2,26
63,T29,T67,Shawn Stefani,57,2,29
64,T29,T25,Henrik Stenson,46,2,17
65,T29,T25,Michael Thompson,56,2,22
66,T29,T25,Jhonattan Vegas,60,2,26
67,T29,T25,Nick Watney,67,2,24
68,T29,T67,Bubba Watson,47,2,33
69,T29,T25,Richy Werenski,63,2,23
70,T29,T25,Gary Woodland,63,2,28
71,T72,T67,Anders Albertson,48,1,26
72,T72,T67,Kiradech Aphibarnrat,49,1,18
73,T72,,Lucas Bjerregaard,37,1,16
74,T72,T67,Jonas Blixt,66,1,19
75,T72,T67,Scott Brown,66,1,24
76,T72,T67,Jonathan Byrd,43,1,17
77,T72,T67,Paul Casey,51,1,18
78,T72,,John Chin,38,1,20
79,T72,T67,Stewart Cink,33,1,11
80,T72,T67,Wyndham Clark,61,1,12
81,T72,T67,Corey Conners,62,1,27
82,T72,T67,Austin Cook,50,1,17
83,T72,T67,Roberto Díaz,51,1,19
84,T72,T67,Jason Day,45,1,12
85,T72,T67,Jason Dufner,56,1,27
86,T72,,Matt Every,38,1,10
87,T72,T67,Matthew Fitzpatrick,42,1,15
88,T72,T67,Rickie Fowler,54,1,17
89,T72,T67,Jim Furyk,53,1,18
