,Putting_from_10_RANK THIS WEEK,Putting_from_10_RANK LAST WEEK,Putting_from_10_PLAYER NAME,Putting_from_10_ROUNDS,Putting_from_10_% MADE,Putting_from_10_ATTEMPTS,Putting_from_10_PUTTS MADE
0,1,1,Jim Furyk,53,73.91,23,17
1,2,T20,Ben Crane,41,64.71,17,11
2,3,4,Marc Leishman,52,63.64,22,14
3,4,3,Brandt Snedeker,68,63.33,30,19
4,5,5,Justin Harding,31,61.54,13,8
5,6,6,Louis Oosthuizen,43,61.11,18,11
6,7,7,Michael Thompson,56,60.0,30,18
7,T8,T8,Wyndham Clark,61,58.33,36,21
8,T8,999,Shane Lowry,30,58.33,12,7
9,T10,10,Harris English,72,57.89,38,22
10,T10,17,Whee Kim,57,57.89,19,11
11,T12,2,Lucas Bjerregaard,37,57.14,14,8
12,T12,T32,John Chin,38,57.14,21,12
13,T12,T11,John Senden,39,57.14,14,8
14,15,15,Haotong Li,32,56.52,23,13
15,16,T13,Joaquin Niemann,68,56.25,32,18
16,17,T8,J.J. Spaun,68,56.0,25,14
17,18,18,Joel Dahmen,78,55.26,38,21
18,19,T32,Webb Simpson,53,55.17,29,16
19,20,T13,Curtis Luck,51,54.55,33,18
20,21,19,Ian Poulter,49,54.17,24,13
21,22,T20,Scott Brown,66,53.57,28,15
22,23,T11,Sergio Garcia,39,53.33,15,8
23,24,23,Sangmoon Bae,42,52.94,17,9
24,25,T27,Hank Lebioda,55,51.85,27,14
25,26,29,Hideki Matsuyama,59,51.72,29,15
26,27,T30,Satoshi Kodaira,51,51.61,31,16
27,T28,24,Jim Herman,37,50.0,20,10
28,T28,T32,Charley Hoffman,58,50.0,30,15
29,T28,T32,Freddie Jacobson,37,50.0,12,6
30,T28,T27,Kyle Jones,49,50.0,28,14
31,T28,T32,Martin Kaymer,38,50.0,18,9
32,T28,25,Brooks Koepka,49,50.0,22,11
33,T28,T30,Martin Laird,60,50.0,34,17
34,T28,T32,Rory McIlroy,50,50.0,26,13
35,T28,T32,D.A. Points,33,50.0,16,8
36,T28,T32,Seamus Power,58,50.0,32,16
37,T28,T32,Justin Rose,42,50.0,16,8
38,T28,T32,Cameron Smith,55,50.0,20,10
39,T28,T32,Vaughn Taylor,69,50.0,40,20
40,T28,T32,D.J. Trahan,33,50.0,12,6
41,T28,999,Tyrone Van Aswegen,30,50.0,10,5
42,T28,16,Jimmy Walker,61,50.0,30,15
43,T28,T20,Chase Wright,53,50.0,28,14
44,45,T32,Roger Sloan,62,48.72,39,19
45,46,45,Jhonattan Vegas,60,48.65,37,18
46,47,46,Beau Hossler,66,48.48,33,16
47,48,T47,Adam Svensson,51,48.39,31,15
48,49,T47,Si Woo Kim,65,48.28,29,14
49,T50,T49,Branden Grace,62,48.15,27,13
50,T50,T49,Kevin Kisner,65,48.15,27,13
51,T52,T51,Ryan Armour,66,48.0,25,12
52,T52,T51,Ernie Els,43,48.0,25,12
53,T54,T53,Kiradech Aphibarnrat,49,47.83,23,11
54,T54,26,Scott Piercy,70,47.83,23,11
55,T54,T53,J.T. Poston,76,47.83,46,22
56,T54,T53,Jon Rahm,51,47.83,23,11
57,58,T114,Josh Teater,47,47.62,21,10
58,59,T109,Matt Kuchar,65,47.5,40,19
59,T60,T58,John Huh,35,47.06,17,8
60,T60,T58,Anirban Lahiri,54,47.06,34,16
61,T60,T58,Rory Sabbatini,71,47.06,34,16
62,T63,T61,Cameron Champ,58,46.67,30,14
63,T63,T61,Sam Saunders,53,46.67,30,14
64,65,72,Harold Varner III,62,46.51,43,20
65,66,T65,Matt Jones,67,46.15,26,12
66,T67,T67,Keegan Bradley,65,45.83,24,11
67,T67,T102,Graeme McDowell,61,45.83,24,11
68,T69,64,Jonas Blixt,66,45.45,44,20
69,T69,T67,Nate Lashley,44,45.45,22,10
70,T69,71,Trey Mullinax,67,45.45,33,15
71,T72,57,Tom Hoge,70,45.0,40,18
72,T72,56,Johnson Wagner,45,45.0,20,9
73,T74,T79,Jim Knous,55,44.44,18,8
74,T74,T73,Jason Kokrak,68,44.44,36,16
75,T74,T73,Kyoung-Hoon Lee,72,44.44,36,16
76,T74,T61,Brady Schnell,38,44.44,18,8
77,T74,T86,Nick Taylor,70,44.44,36,16
78,T79,T76,Matt Every,38,44.0,25,11
79,T79,T76,Kevin Na,54,44.0,25,11
80,T81,T79,Kelly Kraft,67,43.75,32,14
81,T81,T79,Pat Perez,52,43.75,16,7
82,T83,T67,Fabián Gómez,44,43.48,23,10
83,T83,T82,Michael Kim,51,43.48,23,10
84,85,84,Sam Ryder,52,43.33,30,13
85,86,85,Nick Watney,67,43.24,37,16
86,T87,T65,Brandon Harkins,67,42.86,42,18
87,T87,T86,Charles Howell III,64,42.86,35,15
88,89,T86,Adam Hadwin,66,42.42,33,14
89,T90,T94,Ryan Blaum,67,41.94,31,13
90,T90,T94,Max Homa,61,41.94,31,13
91,T92,100,Brian Gay,79,41.67,48,20
92,T92,T96,Lucas Glover,62,41.67,24,10
93,T92,T136,Mackenzie Hughes,58,41.67,24,10
94,T92,T82,Alex Prugh,54,41.67,24,10
95,T92,T96,Jordan Spieth,57,41.67,24,10
96,T97,98,Russell Knox,65,41.46,41,17
97,T97,92,Ollie Schniederjans,63,41.46,41,17
98,T99,99,Emiliano Grillo,65,41.38,29,12
99,T99,T86,Carlos Ortiz,60,41.38,29,12
100,T101,T102,Rafa Cabrera Bello,57,40.91,22,9
101,T101,T102,Paul Casey,51,40.91,22,9
102,T101,T102,Hunter Mahan,45,40.91,22,9
103,T104,T106,Patton Kizzire,58,40.74,27,11
104,T104,T106,Adam Long,52,40.74,27,11
105,T104,93,Denny McCarthy,63,40.74,27,11
106,T107,T106,Stephan Jaeger,59,40.63,32,13
107,T107,135,Adam Schenk,80,40.63,32,13
108,T109,129,Julián Etulain,55,40.54,37,15
109,T109,75,Scott Stallings,63,40.54,37,15
110,T111,101,Anders Albertson,48,40.0,20,8
111,T111,T152,Bill Haas,58,40.0,25,10
112,T111,T120,J.J. Henry,42,40.0,15,6
113,T111,T109,Andrew Landry,56,40.0,30,12
114,T111,T109,Chris Stroud,54,40.0,25,10
115,116,112,Sam Burns,66,39.39,33,13
116,T117,113,Aaron Baddeley,51,39.29,28,11
117,T117,T152,Zach Johnson,50,39.29,28,11
118,T117,T76,Robert Streb,60,39.29,28,11
119,120,T86,Cameron Davis,54,39.13,23,9
120,121,T132,Sungjae Im,88,39.02,41,16
121,T122,T114,Jason Day,45,38.89,18,7
122,T122,T114,Troy Merritt,42,38.89,18,7
123,T122,T114,Phil Mickelson,41,38.89,18,7
124,125,160,Danny Lee,66,38.71,31,12
125,T126,T120,Xander Schauffele,55,38.46,26,10
126,T126,T120,Chris Thompson,34,38.46,13,5
127,T128,T144,Scott Langley,60,38.24,34,13
128,T128,124,Ryan Moore,54,38.24,34,13
129,130,T150,Wes Roach,45,38.1,21,8
130,T131,126,Kyle Stanley,53,37.93,29,11
131,T131,T120,Cameron Tringale,52,37.93,29,11
132,T133,T185,Jonathan Byrd,43,37.5,16,6
133,T133,T127,Andrew Putnam,57,37.5,24,9
134,T133,T86,José de Jesús Rodríguez,51,37.5,24,9
135,T133,T127,Martin Trainer,51,37.5,24,9
136,T137,T140,Daniel Berger,48,37.04,27,10
137,T137,T130,Billy Horschel,73,37.04,27,10
138,T139,T132,Richy Werenski,63,36.84,19,7
139,T139,T132,Gary Woodland,63,36.84,38,14
140,T141,T136,Stewart Cink,33,36.36,11,4
141,T141,125,Roberto Díaz,51,36.36,22,8
142,T141,999,Rod Pampling,40,36.36,11,4
143,T141,T136,Matt Wallace,31,36.36,11,4
144,T141,T136,Tiger Woods,31,36.36,11,4
145,T146,T142,Dustin Johnson,47,35.71,14,5
146,T146,149,Ben Silverman,54,35.71,42,15
147,T146,T130,Justin Thomas,49,35.71,28,10
148,149,T144,Chesson Hadley,58,35.48,31,11
149,T150,T146,Patrick Cantlay,49,35.29,34,12
150,T150,119,Bud Cauley,61,35.29,34,12
151,T150,T146,Matthew Fitzpatrick,42,35.29,17,6
152,T153,T114,Dominic Bozzelli,53,35.0,20,7
153,T153,T150,Tony Finau,61,35.0,20,7
154,T153,T164,Kramer Hickok,59,35.0,20,7
155,T156,154,Keith Mitchell,64,34.38,32,11
156,T156,T169,Ryan Palmer,56,34.38,32,11
157,T158,159,Russell Henley,56,34.29,35,12
158,T158,T146,Peter Malnati,64,34.29,35,12
159,T160,T155,Rickie Fowler,54,33.33,30,10
160,T160,T155,Tyrrell Hatton,46,33.33,21,7
161,T160,T142,Sebastián Muñoz,58,33.33,15,5
162,163,158,Sung Kang,67,32.43,37,12
163,164,T140,Cody Gribble,52,32.14,28,9
164,165,161,C.T. Pan,64,32.0,25,8
165,T166,T162,Bronson Burgoon,37,31.82,22,7
166,T166,T162,J.B. Holmes,54,31.82,22,7
167,168,166,Bryson DeChambeau,45,31.43,35,11
168,T169,T167,Tommy Fleetwood,43,31.25,16,5
169,T169,T167,"Ted Potter, Jr.",56,31.25,32,10
170,T169,T187,Danny Willett,47,31.25,16,5
171,172,T169,Aaron Wise,52,30.77,13,4
172,173,T180,Dylan Frittelli,55,30.3,33,10
173,T174,T171,Byeong Hun An,54,30.0,30,9
174,T174,T164,Tyler Duncan,66,30.0,40,12
175,T174,T171,Patrick Reed,53,30.0,20,6
176,T174,T155,Henrik Stenson,46,30.0,20,6
177,178,182,Austin Cook,50,29.63,27,8
178,179,174,Chris Kirk,47,29.41,17,5
179,180,T175,Chez Reavie,67,29.17,24,7
180,181,177,Brian Stuard,76,29.03,31,9
181,T182,T178,Abraham Ancer,69,28.57,28,8
182,T182,173,Brian Harman,67,28.57,28,8
183,T182,T178,Adam Scott,41,28.57,14,4
184,T182,183,Bubba Watson,47,28.57,21,6
185,186,T180,Corey Conners,62,28.13,32,9
186,187,T193,Shawn Stefani,57,28.0,25,7
187,188,T187,Joey Garber,44,27.78,18,5
188,189,192,Brice Garnett,63,27.59,29,8
189,190,184,Kevin Streelman,63,27.5,40,11
190,T191,T185,David Hearn,41,27.27,11,3
191,T191,999,Martin Piller,30,27.27,11,3
