,Total_3_Putts_-_10-15_RANK THIS WEEK,Total_3_Putts_-_10-15_RANK LAST WEEK,Total_3_Putts_-_10-15_PLAYER NAME,Total_3_Putts_-_10-15_ROUNDS,Total_3_Putts_-_10-15_TOTAL 3 PUTTS 10'-15',Total_3_Putts_-_10-15_TOTAL 3 PUTTS
0,1,1,Rory Sabbatini,71,6,32
1,2,2,Grayson Murray,36,4,21
2,T3,T12,Ryan Armour,66,3,33
3,T3,T3,Scott Brown,66,3,24
4,T3,T3,Sung Kang,67,3,35
5,T3,T3,Matt Kuchar,65,3,29
6,T3,T3,Graeme McDowell,61,3,18
7,T3,T3,Keith Mitchell,64,3,27
8,T3,T3,Sam Ryder,52,3,25
9,T3,T3,Kevin Streelman,63,3,26
10,T3,T3,Chris Stroud,54,3,18
11,T3,T3,Cameron Tringale,52,3,15
12,T13,T12,Anders Albertson,48,2,26
13,T13,T12,Sangmoon Bae,42,2,24
14,T13,T12,Roberto Castro,54,2,25
15,T13,T12,Cameron Champ,58,2,40
16,T13,T12,Stewart Cink,33,2,11
17,T13,T48,Corey Conners,62,2,27
18,T13,T12,Harris English,72,2,21
19,T13,T12,Rickie Fowler,54,2,17
20,T13,T12,Dylan Frittelli,55,2,24
21,T13,T48,Talor Gooch,37,2,19
22,T13,T12,Branden Grace,62,2,20
23,T13,T12,Emiliano Grillo,65,2,29
24,T13,T12,Brandon Harkins,67,2,33
25,T13,T48,Kramer Hickok,59,2,28
26,T13,T12,J.B. Holmes,54,2,22
27,T13,T12,Beau Hossler,66,2,24
28,T13,T12,Kyle Jones,49,2,18
29,T13,T12,Chris Kirk,47,2,20
30,T13,T12,Kevin Kisner,65,2,18
31,T13,T12,Kyoung-Hoon Lee,72,2,30
32,T13,T12,Luke List,52,2,30
33,T13,T12,Rory McIlroy,50,2,13
34,T13,T12,Trey Mullinax,67,2,36
35,T13,T12,Carlos Ortiz,60,2,22
36,T13,T12,Scott Piercy,70,2,28
37,T13,T12,D.A. Points,33,2,10
38,T13,T12,J.T. Poston,76,2,40
39,T13,T12,"Ted Potter, Jr.",56,2,26
40,T13,T12,José de Jesús Rodríguez,51,2,17
41,T13,T12,Adam Schenk,80,2,27
42,T13,T12,Ben Silverman,54,2,25
43,T13,T12,Brendan Steele,50,2,21
44,T13,T48,Shawn Stefani,57,2,29
45,T13,T12,Adam Svensson,51,2,26
46,T13,T48,Chris Thompson,34,2,13
47,T13,T12,Martin Trainer,51,2,21
48,T13,T12,Harold Varner III,62,2,28
49,T13,T12,Jimmy Walker,61,2,27
50,T13,T12,Nick Watney,67,2,24
51,T13,T12,Danny Willett,47,2,27
52,T13,T48,Aaron Wise,52,2,23
53,T54,T48,Byeong Hun An,54,1,18
54,T54,T48,Abraham Ancer,69,1,28
55,T54,T48,Kiradech Aphibarnrat,49,1,18
56,T54,T48,Aaron Baddeley,51,1,16
57,T54,T48,Daniel Berger,48,1,16
58,T54,T48,Lucas Bjerregaard,37,1,16
59,T54,T48,Ryan Blaum,67,1,26
60,T54,T48,Dominic Bozzelli,53,1,9
61,T54,T48,Keegan Bradley,65,1,37
62,T54,T48,Bronson Burgoon,37,1,21
63,T54,T48,Jonathan Byrd,43,1,17
64,T54,T48,Rafa Cabrera Bello,57,1,21
65,T54,T48,John Chin,38,1,20
66,T54,T48,Austin Cook,50,1,17
67,T54,T48,Cameron Davis,54,1,20
68,T54,T48,Bryson DeChambeau,45,1,26
69,T54,T48,Tyler Duncan,66,1,30
70,T54,T48,Tony Finau,61,1,15
71,T54,T48,Matthew Fitzpatrick,42,1,15
72,T54,T48,Tommy Fleetwood,43,1,10
73,T54,T48,Lucas Glover,62,1,24
74,T54,T48,Fabián Gómez,44,1,17
75,T54,T48,Cody Gribble,52,1,16
76,T54,T48,Chesson Hadley,58,1,19
77,T54,T48,Adam Hadwin,66,1,31
78,T54,T48,David Hearn,41,1,11
79,T54,,Russell Henley,56,1,28
80,T54,T48,Jim Herman,37,1,15
81,T54,T48,Tom Hoge,70,1,24
82,T54,T48,Charles Howell III,64,1,21
83,T54,T48,Zach Johnson,50,1,22
84,T54,T48,Matt Jones,67,1,17
85,T54,T48,Martin Kaymer,38,1,14
86,T54,T48,Whee Kim,57,1,20
87,T54,T48,Si Woo Kim,65,1,17
88,T54,T48,Patton Kizzire,58,1,18
89,T54,T48,Satoshi Kodaira,51,1,27
90,T54,T48,Brooks Koepka,49,1,20
91,T54,T48,Andrew Landry,56,1,24
92,T54,T48,Scott Langley,60,1,15
93,T54,T48,Hank Lebioda,55,1,28
94,T54,T48,Danny Lee,66,1,39
95,T54,T48,Marc Leishman,52,1,27
96,T54,T48,Haotong Li,32,1,18
97,T54,T48,Hunter Mahan,45,1,12
98,T54,T48,Peter Malnati,64,1,16
99,T54,T48,Troy Merritt,42,1,18
100,T54,T48,Ryan Moore,54,1,19
101,T54,T48,Sebastián Muñoz,58,1,16
102,T54,T48,Seamus Power,58,1,27
103,T54,T48,Andrew Putnam,57,1,12
104,T54,T48,Jon Rahm,51,1,14
105,T54,T48,Patrick Reed,53,1,18
106,T54,T48,Xander Schauffele,55,1,18
107,T54,T48,Charl Schwartzel,34,1,6
108,T54,T48,Cameron Smith,55,1,12
109,T54,T48,Scott Stallings,63,1,30
110,T54,T48,Henrik Stenson,46,1,17
111,T54,T48,Sepp Straka,48,1,22
112,T54,T48,Robert Streb,60,1,17
113,T54,T48,Brian Stuard,76,1,24
114,T54,T48,Josh Teater,47,1,13
115,T54,T48,Justin Thomas,49,1,21
116,T54,T48,Michael Thompson,56,1,22
117,T54,T48,Kevin Tway,62,1,21
118,T54,T48,Peter Uihlein,65,1,24
119,T54,T48,Jhonattan Vegas,60,1,26
120,T54,T48,Johnson Wagner,45,1,18
121,T54,T48,Matt Wallace,31,1,13
122,T54,,Bubba Watson,47,1,33
123,T54,T48,Gary Woodland,63,1,28
124,T54,T48,Chase Wright,53,1,17
