,Total_1_Putts_-_15-20_RANK THIS WEEK,Total_1_Putts_-_15-20_RANK LAST WEEK,Total_1_Putts_-_15-20_PLAYER NAME,Total_1_Putts_-_15-20_ROUNDS,Total_1_Putts_-_15-20_TOTAL,Total_1_Putts_-_15-20_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_15-20_PCT OF ALL 1-PUTTS
198,T198,T197,J.J. Henry,42,5,165,3.0
199,T198,T197,John Huh,35,5,183,2.7
200,T198,T197,Martin Kaymer,38,5,251,2.0
201,T198,T197,Louis Oosthuizen,43,5,171,2.9
202,T198,999,Martin Piller,30,5,129,3.9
203,T198,207,Henrik Stenson,46,5,226,2.2
204,T205,206,Sergio Garcia,39,4,209,1.9
205,T205,T202,Justin Harding,31,4,86,4.7
206,T205,T202,Haotong Li,32,4,149,2.7
207,T205,T202,Grayson Murray,36,4,171,2.3
208,T205,999,Tyrone Van Aswegen,30,4,130,3.1
