,Putting_from_3_RANK THIS WEEK,Putting_from_3_RANK LAST WEEK,Putting_from_3_PLAYER NAME,Putting_from_3_ROUNDS,Putting_from_3_% MADE,Putting_from_3_ATTEMPTS,Putting_from_3_PUTTS MADE
0,T1,T1,Daniel Berger,48,100.0,452,452
1,T1,T1,Wyndham Clark,61,100.0,483,483
2,T1,T1,Ernie Els,43,100.0,311,311
3,T1,T1,Dylan Frittelli,55,100.0,511,511
4,T1,T1,Justin Harding,31,100.0,123,123
5,T1,T1,Tom Hoge,70,100.0,548,548
6,T1,T1,Beau Hossler,66,100.0,539,539
7,T1,T1,Dustin Johnson,47,100.0,372,372
8,T1,T1,Kevin Kisner,65,100.0,429,429
9,T1,T1,Nate Lashley,44,100.0,346,346
10,T1,T1,Kyoung-Hoon Lee,72,100.0,483,483
11,T1,T1,Haotong Li,32,100.0,213,213
12,T1,T1,Denny McCarthy,63,100.0,485,485
13,T1,T1,Ryan Palmer,56,100.0,433,433
14,T1,T1,Scott Piercy,70,100.0,551,551
15,T1,T1,Alex Prugh,54,100.0,419,419
16,T1,T1,Jon Rahm,51,100.0,365,365
17,T1,T1,Webb Simpson,53,100.0,473,473
18,T1,T1,Brandt Snedeker,68,100.0,506,506
19,T1,T1,Vaughn Taylor,69,100.0,618,618
20,T1,999,Tyrone Van Aswegen,30,100.0,225,225
21,T1,T1,Johnson Wagner,45,100.0,362,362
22,T1,T1,Jimmy Walker,61,100.0,495,495
23,24,T24,Nick Taylor,70,99.84,643,642
24,T25,T24,Ryan Blaum,67,99.83,585,584
25,T25,T26,Harold Varner III,62,99.83,584,583
26,T27,31,Tyler Duncan,66,99.82,556,555
27,T27,T26,Nick Watney,67,99.82,565,564
28,29,T26,Max Homa,61,99.81,524,523
29,T30,T35,Brice Garnett,63,99.79,477,476
30,T30,T32,Charles Howell III,64,99.79,481,480
31,T30,T32,Adam Long,52,99.79,487,486
32,T30,T35,Seamus Power,58,99.79,474,473
33,T30,T32,Jordan Spieth,57,99.79,471,470
34,35,37,Si Woo Kim,65,99.77,426,425
35,T36,T38,Anirban Lahiri,54,99.76,424,423
36,T36,T41,Rory McIlroy,50,99.76,421,420
37,T36,T38,Patrick Reed,53,99.76,419,418
38,T36,T41,Bubba Watson,47,99.76,421,420
39,40,40,Hunter Mahan,45,99.74,378,377
40,T41,T41,Paul Casey,51,99.73,364,363
41,T41,T41,Andrew Putnam,57,99.73,373,372
42,T41,T41,Xander Schauffele,55,99.73,377,376
43,T44,T46,Roberto Díaz,51,99.72,357,356
44,T44,T1,Talor Gooch,37,99.72,360,359
45,46,50,Fabián Gómez,44,99.71,346,345
46,T47,T46,Kiradech Aphibarnrat,49,99.7,328,327
47,T47,T52,Dominic Bozzelli,53,99.7,338,337
48,T47,T46,Matthew Fitzpatrick,42,99.7,330,329
49,T47,T46,Tyrrell Hatton,46,99.7,333,332
50,51,51,Pat Perez,52,99.68,308,307
51,T52,T54,Bud Cauley,61,99.67,600,598
52,T52,T54,Trey Mullinax,67,99.67,603,601
53,T54,T60,Jonas Blixt,66,99.66,580,578
54,T54,T52,Justin Rose,42,99.66,294,293
55,T56,T54,Sam Burns,66,99.65,569,567
56,T56,T68,Joey Garber,44,99.65,285,284
57,T56,T54,John Huh,35,99.65,289,288
58,T59,T26,Brian Harman,67,99.64,559,557
59,T59,59,Francesco Molinari,41,99.64,279,278
60,T61,T68,Matt Every,38,99.63,268,267
61,T61,T64,Matt Kuchar,65,99.63,543,541
62,T61,T64,Scott Langley,60,99.63,547,545
63,T61,T26,Scott Stallings,63,99.63,543,541
64,T61,T64,Hudson Swafford,59,99.63,535,533
65,T61,T60,Michael Thompson,56,99.63,546,544
66,T67,T72,Kelly Kraft,67,99.62,520,518
67,T67,T62,Louis Oosthuizen,43,99.62,263,262
68,69,T75,Robert Streb,60,99.61,514,512
69,T70,T68,Billy Horschel,73,99.59,484,482
70,T70,T68,Luke List,52,99.59,487,485
71,T70,T93,Chris Thompson,34,99.59,245,244
72,T73,T80,Zach Johnson,50,99.58,474,472
73,T73,T72,Ryan Moore,54,99.58,473,471
74,T75,T85,Jim Furyk,53,99.57,462,460
75,T75,T85,Cody Gribble,52,99.57,460,458
76,T75,T75,Chesson Hadley,58,99.57,461,459
77,T78,T90,Roberto Castro,54,99.56,450,448
78,T78,77,Emiliano Grillo,65,99.56,454,452
79,80,T78,Chez Reavie,67,99.55,445,443
80,T81,T85,Harris English,72,99.54,658,655
81,T81,T85,Martin Trainer,51,99.54,432,430
82,T83,T80,D.A. Points,33,99.53,211,210
83,T83,T93,Adam Schenk,80,99.53,639,636
84,T83,T98,Danny Willett,47,99.53,427,425
85,T86,T93,Brian Gay,79,99.52,628,625
86,T86,T83,Branden Grace,62,99.52,413,411
87,T86,T83,James Hahn,34,99.52,208,207
88,89,T98,Julián Etulain,55,99.51,406,404
89,T90,T90,Jason Kokrak,68,99.5,600,597
90,T90,T90,Sam Ryder,52,99.5,399,397
91,T92,T102,Anders Albertson,48,99.48,386,384
92,T92,T96,Rafa Cabrera Bello,57,99.48,387,385
93,T92,T104,Seth Reeves,52,99.48,385,383
94,T92,T96,Cameron Smith,55,99.48,384,382
95,T96,T104,Austin Cook,50,99.47,379,377
96,T96,T98,Michael Kim,51,99.47,380,378
97,T96,T98,Rory Sabbatini,71,99.47,563,560
98,T96,T110,Henrik Stenson,46,99.47,374,372
99,100,T102,Patrick Cantlay,49,99.45,364,362
100,T101,T110,Scott Brown,66,99.44,533,530
101,T101,T110,Martin Laird,60,99.44,532,529
102,T103,999,Martin Piller,30,99.43,174,173
103,T103,T114,J.J. Spaun,68,99.43,525,522
104,T103,119,Josh Teater,47,99.43,351,349
105,106,107,Troy Merritt,42,99.42,344,342
106,107,108,Matt Jones,67,99.41,510,507
107,108,109,Phil Mickelson,41,99.4,332,330
108,109,T110,Bronson Burgoon,37,99.39,326,324
109,T110,T114,Rickie Fowler,54,99.38,484,481
110,T110,T120,Sergio Garcia,39,99.38,325,323
111,T110,T128,Wes Roach,45,99.38,325,323
112,T113,T116,Tony Finau,61,99.37,479,476
113,T113,T116,Ian Poulter,49,99.37,316,314
114,T113,T116,Charl Schwartzel,34,99.37,159,158
115,T116,T78,Kramer Hickok,59,99.36,470,467
116,T116,T134,Brooks Koepka,49,99.36,313,311
117,T118,T125,Alex Cejka,41,99.35,310,308
118,T118,T123,J.J. Henry,42,99.35,309,307
119,T118,T54,J.B. Holmes,54,99.35,308,306
120,T118,T128,Stephan Jaeger,59,99.35,464,461
121,T122,T120,Joel Dahmen,78,99.34,602,598
122,T122,T131,Joaquin Niemann,68,99.34,609,605
123,T122,T125,Chris Stroud,54,99.34,452,449
124,T125,T64,Ben Crane,41,99.32,296,294
125,T125,122,J.T. Poston,76,99.32,731,726
126,T127,T125,Keith Mitchell,64,99.3,431,428
127,T127,T137,Chase Wright,53,99.3,427,424
128,T129,T141,Peter Malnati,64,99.29,566,562
129,T129,T128,Patrick Rodgers,44,99.29,424,421
130,T131,T131,Sung Kang,67,99.28,555,551
131,T131,T131,Patton Kizzire,58,99.28,419,416
132,T131,T62,Carlos Ortiz,60,99.28,558,554
133,134,T143,Jim Knous,55,99.27,412,409
134,T135,T134,Abraham Ancer,69,99.26,542,538
135,T135,T134,Chris Kirk,47,99.26,405,402
136,T135,T146,Graeme McDowell,61,99.26,404,401
137,T138,T137,Bryson DeChambeau,45,99.25,401,398
138,T138,T137,Freddie Jacobson,37,99.25,267,265
139,T138,T146,Kevin Tway,62,99.25,532,528
140,T141,140,Aaron Baddeley,51,99.24,397,394
141,T141,T72,David Hearn,41,99.24,262,260
142,T143,T149,Adam Hadwin,66,99.22,510,506
143,T143,151,Cameron Tringale,52,99.22,386,383
144,145,157,José de Jesús Rodríguez,51,99.19,369,366
145,T146,T143,C.T. Pan,64,99.18,488,484
146,T146,T143,Brian Stuard,76,99.18,607,602
147,T146,T123,Peter Uihlein,65,99.18,487,483
148,149,T80,John Chin,38,99.16,238,236
149,150,148,Kyle Stanley,53,99.15,353,350
150,T151,154,Whee Kim,57,99.14,350,347
151,T151,T149,Matt Wallace,31,99.14,233,231
152,153,T104,Richy Werenski,63,99.12,570,565
153,T154,T155,Brandon Harkins,67,99.11,562,557
154,T154,T152,Russell Knox,65,99.11,560,555
155,T154,T152,Brendan Steele,50,99.11,450,446
156,157,T172,Rod Pampling,40,99.09,328,325
157,158,T155,Stewart Cink,33,99.08,217,215
158,T159,T163,Jim Herman,37,99.06,319,316
159,T159,158,Jhonattan Vegas,60,99.06,532,527
160,161,T163,Ollie Schniederjans,63,99.04,520,515
161,162,T160,Cameron Champ,58,99.03,516,511
162,163,T172,Roger Sloan,62,99.02,510,505
163,164,162,Tommy Fleetwood,43,99.01,302,299
164,165,177,Mackenzie Hughes,58,99.0,500,495
165,T166,T163,Andrew Landry,56,98.99,496,491
166,T166,176,Brady Schnell,38,98.99,297,294
167,168,166,Satoshi Kodaira,51,98.98,394,390
168,169,167,Lucas Glover,62,98.97,582,576
169,T170,184,Sangmoon Bae,42,98.94,284,281
170,T170,T170,Marc Leishman,52,98.94,378,374
171,T170,T170,Gary Woodland,63,98.94,471,466
172,173,T174,Byeong Hun An,54,98.92,462,457
173,174,183,Ben Silverman,54,98.91,459,454
174,175,178,Martin Kaymer,38,98.89,361,357
175,176,159,Shawn Stefani,57,98.87,443,438
176,T177,T179,Jason Day,45,98.85,261,258
177,T177,T141,Sebastián Muñoz,58,98.85,436,431
178,T177,T179,Kevin Streelman,63,98.85,610,603
179,T177,T160,Aaron Wise,52,98.85,436,431
180,181,T168,Hank Lebioda,55,98.84,430,425
181,182,T168,Corey Conners,62,98.82,509,503
182,183,186,Sam Saunders,53,98.81,506,500
183,184,T174,Russell Henley,56,98.77,489,483
184,185,185,Hideki Matsuyama,59,98.76,485,479
185,186,181,Alex Noren,49,98.74,397,392
186,T187,192,Bill Haas,58,98.72,548,541
187,T187,182,Justin Thomas,49,98.72,391,386
188,189,999,Shane Lowry,30,98.71,232,229
189,190,T188,"Ted Potter, Jr.",56,98.7,462,456
190,191,190,Jason Dufner,56,98.69,458,452
191,T192,198,Jonathan Byrd,43,98.67,301,297
192,T192,195,Sungjae Im,88,98.67,753,743
193,T192,T193,Kyle Jones,49,98.67,376,371
194,195,191,Kevin Na,54,98.66,372,367
195,196,T193,Tiger Woods,31,98.6,214,211
196,197,196,John Senden,39,98.55,275,271
197,198,200,Keegan Bradley,65,98.53,545,537
198,199,197,Charley Hoffman,58,98.5,400,394
199,200,T188,Curtis Luck,51,98.47,327,322
200,T201,187,Danny Lee,66,98.45,580,571
201,T201,199,Adam Scott,41,98.45,258,254
202,203,201,Sepp Straka,48,98.32,358,352
