,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
175,176,175,Cameron Champ,29.64,326,11
176,T177,T182,Martin Laird,29.67,356,12
177,T177,T176,Gary Woodland,29.67,445,15
178,T177,T176,Chase Wright,29.67,267,9
179,T180,T180,Jim Knous,29.73,327,11
180,T180,T171,Ben Silverman,29.73,327,11
181,182,T178,Max Homa,29.75,357,12
182,183,T189,Joaquin Niemann,29.8,447,15
183,184,T182,Branden Grace,29.82,328,11
184,185,T171,Chris Thompson,29.83,179,6
185,186,186,Francesco Molinari,29.88,239,8
186,T187,187,Brice Garnett,29.91,329,11
187,T187,T180,Hank Lebioda,29.91,329,11
188,189,188,Trey Mullinax,29.92,389,13
189,190,T189,Emiliano Grillo,29.93,449,15
190,T191,T191,Michael Kim,30.0,150,5
191,T191,T191,Andrew Landry,30.0,270,9
192,T191,T191,Alex Prugh,30.0,270,9
193,194,195,Brian Harman,30.08,361,12
194,T195,194,Lucas Bjerregaard,30.17,181,6
195,T195,T182,Tyler Duncan,30.17,362,12
196,197,196,Charles Howell III,30.31,394,13
197,198,197,Tiger Woods,30.33,182,6
198,T199,198,Stewart Cink,30.4,152,5
199,T199,999,Tyrone Van Aswegen,30.4,152,5
200,201,200,Ryan Palmer,30.42,365,12
201,202,199,Fabián Gómez,30.44,274,9
202,203,201,Ernie Els,30.5,244,8
203,204,202,Jason Dufner,30.82,339,11
204,T205,204,Satoshi Kodaira,31.0,279,9
205,T205,203,Sepp Straka,31.0,279,9
206,207,206,Kevin Tway,31.36,345,11
207,208,205,John Senden,31.38,251,8
208,209,207,Jim Herman,31.67,95,3
