,3-Putt_Avoidance_-_10-15_RANK THIS WEEK,3-Putt_Avoidance_-_10-15_RANK LAST WEEK,3-Putt_Avoidance_-_10-15_PLAYER NAME,3-Putt_Avoidance_-_10-15_ROUNDS,3-Putt_Avoidance_-_10-15_%,3-Putt_Avoidance_-_10-15_TOTAL 3 PUTTS,3-Putt_Avoidance_-_10-15_ATTEMPTS,3-Putt_Avoidance_-_10-15_2 PUTT OR BETTER %
0,T1,T1,Jonas Blixt,66,0.0,,131,10.0
1,T1,T1,Sam Burns,66,0.0,,145,10.0
2,T1,T1,Patrick Cantlay,49,0.0,,82,10.0
3,T1,T1,Paul Casey,51,0.0,,77,10.0
4,T1,T1,Bud Cauley,61,0.0,,133,10.0
5,T1,T1,Alex Cejka,41,0.0,,66,10.0
6,T1,T1,Wyndham Clark,61,0.0,,114,10.0
7,T1,T1,Ben Crane,41,0.0,,79,10.0
8,T1,T1,Roberto Díaz,51,0.0,,93,10.0
9,T1,T1,Joel Dahmen,78,0.0,,157,10.0
10,T1,T1,Jason Day,45,0.0,,69,10.0
11,T1,T1,Jason Dufner,56,0.0,,103,10.0
12,T1,T1,Ernie Els,43,0.0,,53,10.0
13,T1,T1,Julián Etulain,55,0.0,,101,10.0
14,T1,T1,Matt Every,38,0.0,,60,10.0
15,T1,T1,Jim Furyk,53,0.0,,103,10.0
16,T1,T1,Joey Garber,44,0.0,,69,10.0
17,T1,T1,Sergio Garcia,39,0.0,,65,10.0
18,T1,T1,Brice Garnett,63,0.0,,120,10.0
19,T1,T1,Brian Gay,79,0.0,,134,10.0
20,T1,T1,Bill Haas,58,0.0,,109,10.0
21,T1,T1,James Hahn,34,0.0,,52,10.0
22,T1,T1,Justin Harding,31,0.0,,30,10.0
23,T1,T1,Brian Harman,67,0.0,,118,10.0
24,T1,T1,Tyrrell Hatton,46,0.0,,73,10.0
25,T1,T1,J.J. Henry,42,0.0,,62,10.0
26,T1,T1,Charley Hoffman,58,0.0,,88,10.0
27,T1,T1,Max Homa,61,0.0,,138,10.0
28,T1,T1,Billy Horschel,73,0.0,,114,10.0
29,T1,T1,Mackenzie Hughes,58,0.0,,95,10.0
30,T1,T1,John Huh,35,0.0,,78,10.0
31,T1,T1,Sungjae Im,88,0.0,,176,10.0
32,T1,T1,Freddie Jacobson,37,0.0,,64,10.0
33,T1,T1,Stephan Jaeger,59,0.0,,85,10.0
34,T1,T1,Dustin Johnson,47,0.0,,94,10.0
35,T1,T1,Michael Kim,51,0.0,,100,10.0
36,T1,T1,Jim Knous,55,0.0,,111,10.0
37,T1,T1,Russell Knox,65,0.0,,127,10.0
38,T1,T1,Jason Kokrak,68,0.0,,147,10.0
39,T1,T1,Kelly Kraft,67,0.0,,128,10.0
