,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
139,T139,T145,Cameron Davis,54,1.778,1115,627,31.63,T72
140,T139,T148,Brian Harman,67,1.778,1271,715,28.43,T203
141,T139,T126,Jim Herman,37,1.778,745,419,29.36,179
142,T139,T140,Whee Kim,57,1.778,1095,616,29.71,146
143,T139,T140,Grayson Murray,36,1.778,727,409,32.03,177
144,T145,T128,Jim Furyk,53,1.7790000000000001,1094,615,27.15,7
145,T145,T160,Ben Silverman,54,1.7790000000000001,1137,639,28.68,T111
146,T147,T148,Max Homa,61,1.78,1223,687,28.4,138
147,T147,T140,Trey Mullinax,67,1.78,1369,769,30.21,T56
148,T147,T148,Louis Oosthuizen,43,1.78,751,422,29.36,129
149,T147,T140,Shawn Stefani,57,1.78,1143,642,28.28,T68
150,T147,T148,Jhonattan Vegas,60,1.78,1280,719,30.26,T28
151,T152,T145,Corey Conners,62,1.781,1339,752,28.5,6
152,T152,T155,Brice Garnett,63,1.781,1332,748,28.51,45
153,T152,T155,Kramer Hickok,59,1.781,1261,708,28.94,T79
154,155,T135,Dylan Frittelli,55,1.7819999999999998,1144,642,27.9,T68
155,T156,T157,Stewart Cink,33,1.784,717,402,29.93,59
156,T156,153,Seth Reeves,52,1.784,1056,592,30.22,110
157,T158,T148,Roberto Castro,54,1.785,1064,596,27.39,94
158,T158,159,Satoshi Kodaira,51,1.785,953,534,29.96,191
159,T158,T160,Robert Streb,60,1.785,1164,652,27.38,T139
160,161,154,Carlos Ortiz,60,1.786,1261,706,27.74,61
161,T162,181,Joey Garber,44,1.787,813,455,26.43,176
162,T162,T162,James Hahn,34,1.787,795,445,27.48,2
163,T162,T174,Seamus Power,58,1.787,1033,578,29.09,209
164,165,T164,Andrew Landry,56,1.788,1103,617,28.2,103
165,T166,T157,Tyler Duncan,66,1.7890000000000001,1388,776,27.33,67
166,T166,T167,Ernie Els,43,1.7890000000000001,875,489,26.99,T92
167,T166,T167,Billy Horschel,73,1.7890000000000001,1442,806,27.67,T53
168,T166,T162,Kevin Tway,62,1.7890000000000001,1270,710,28.73,49
169,T170,T167,Tom Hoge,70,1.79,1371,766,27.68,T149
170,T170,171,Martin Kaymer,38,1.79,752,420,30.48,199
171,T172,T172,Tommy Fleetwood,43,1.791,781,436,28.11,70
172,T172,T167,Bill Haas,58,1.791,1080,603,27.74,187
173,T172,180,Jim Knous,55,1.791,1116,623,28.18,52
174,T172,T172,Joaquin Niemann,68,1.791,1404,784,26.85,101
175,T172,T164,Adam Svensson,51,1.791,1053,588,28.84,T79
176,177,T174,John Huh,35,1.7919999999999998,733,409,26.23,134
177,T178,T177,Emiliano Grillo,65,1.7930000000000001,1393,777,29.94,20
178,T178,T177,Alex Noren,49,1.7930000000000001,954,532,27.82,158
179,T178,T164,Josh Teater,47,1.7930000000000001,986,550,27.45,51
180,T181,T182,Alex Cejka,41,1.797,742,413,25.73,188
