,Putts_per_Round_-_Round_1_RANK THIS WEEK,Putts_per_Round_-_Round_1_RANK LAST WEEK,Putts_per_Round_-_Round_1_PLAYER NAME,Putts_per_Round_-_Round_1_AVG,Putts_per_Round_-_Round_1_TOTAL PUTTS,Putts_per_Round_-_Round_1_TOTAL ROUNDS
0,1,1,Jordan Spieth,27.4,411,15
1,2,2,Chris Stroud,27.61,497,18
2,3,4,Francesco Molinari,27.78,250,9
3,T4,5,Pat Perez,27.8,417,15
4,T4,999,Martin Piller,27.8,278,10
5,6,11,Dominic Bozzelli,27.81,445,16
6,7,6,Patrick Reed,27.85,362,13
7,T8,T7,Kevin Kisner,27.87,418,15
8,T8,T7,Andrew Putnam,27.87,418,15
9,10,T20,Graeme McDowell,27.93,419,15
10,11,3,Seth Reeves,27.94,475,17
11,12,12,Si Woo Kim,28.0,504,18
12,T13,13,Aaron Baddeley,28.07,421,15
13,T13,T20,Roberto Díaz,28.07,421,15
14,15,10,Ben Crane,28.08,365,13
15,T16,T14,Bud Cauley,28.11,534,19
16,T16,9,Stephan Jaeger,28.11,506,18
17,T16,T14,Rory Sabbatini,28.11,506,18
18,19,17,David Hearn,28.15,366,13
19,20,T18,Michael Thompson,28.18,479,17
20,21,T31,Danny Lee,28.21,536,19
21,22,T22,Abraham Ancer,28.22,508,18
22,T23,T24,Anirban Lahiri,28.25,452,16
23,T23,T18,Nate Lashley,28.25,339,12
24,25,T24,Ollie Schniederjans,28.29,594,21
25,26,T22,Scott Langley,28.32,538,19
26,27,T31,Sebastián Muñoz,28.35,482,17
27,28,26,Curtis Luck,28.38,454,16
28,29,T29,Rafa Cabrera Bello,28.43,398,14
29,T30,39,Sam Saunders,28.44,512,18
30,T30,16,D.J. Trahan,28.44,256,9
31,32,33,Vaughn Taylor,28.45,569,20
32,T33,T34,Bryson DeChambeau,28.5,342,12
33,T33,28,Fabián Gómez,28.5,399,14
34,T33,T34,Matt Wallace,28.5,228,8
35,T36,T29,Dylan Frittelli,28.53,428,15
36,T36,36,Sam Ryder,28.53,428,15
37,38,37,D.A. Points,28.54,371,13
38,39,38,Joel Dahmen,28.57,600,21
39,40,T40,Ryan Blaum,28.6,572,20
40,T41,T40,Jim Herman,28.63,458,16
41,T41,42,Haotong Li,28.63,229,8
42,43,T45,Kelly Kraft,28.64,630,22
43,44,T51,Cody Gribble,28.65,487,17
44,T45,T45,Patrick Cantlay,28.67,344,12
45,T45,65,Peter Malnati,28.67,516,18
46,T45,T45,Phil Mickelson,28.67,344,12
47,T45,T45,C.T. Pan,28.67,516,18
48,T45,T45,J.T. Poston,28.67,602,21
49,T45,T45,Charl Schwartzel,28.67,344,12
50,T51,57,Kevin Na,28.71,402,14
51,T51,T51,Brandt Snedeker,28.71,488,17
52,53,T61,Martin Kaymer,28.73,316,11
53,54,T61,Tom Hoge,28.74,661,23
54,T55,27,Julián Etulain,28.75,460,16
55,T55,T63,Lucas Glover,28.75,460,16
56,T55,T63,Jon Rahm,28.75,345,12
57,58,T67,Tommy Fleetwood,28.78,259,9
58,T59,T70,Kiradech Aphibarnrat,28.79,403,14
59,T59,T58,Denny McCarthy,28.79,547,19
60,T59,T67,Joaquin Niemann,28.79,547,19
61,T59,T51,Brady Schnell,28.79,403,14
62,T63,T84,Ryan Palmer,28.8,432,15
63,T63,72,Justin Rose,28.8,288,10
64,65,T73,Bill Haas,28.82,490,17
65,T66,T89,Wyndham Clark,28.83,519,18
66,T66,T75,Max Homa,28.83,519,18
67,T66,T75,Matt Jones,28.83,519,18
68,T66,66,Adam Schenk,28.83,663,23
69,70,77,Ernie Els,28.85,375,13
70,71,T54,Peter Uihlein,28.86,606,21
71,T72,43,Roberto Castro,28.87,433,15
72,T72,T70,Zach Johnson,28.87,433,15
73,74,T73,José de Jesús Rodríguez,28.88,491,17
74,T75,T67,Scott Stallings,28.89,549,19
75,T75,T58,Hudson Swafford,28.89,549,19
76,T75,44,Chase Wright,28.89,520,18
77,T78,T54,Brian Gay,28.9,607,21
78,T78,T80,Brian Stuard,28.9,607,21
79,80,T54,Matt Every,28.91,318,11
80,T81,T89,Jonathan Byrd,28.92,347,12
81,T81,83,Marc Leishman,28.92,376,13
82,T83,T86,Russell Knox,28.94,463,16
