,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
187,188,186,J.B. Holmes,54,1.6440000000000001,1391,846
188,T189,T182,Keegan Bradley,65,1.646,1718,1044
189,T189,192,Alex Noren,49,1.646,1363,828
190,191,191,Danny Willett,47,1.6469999999999998,1393,846
191,192,188,Charles Howell III,64,1.6480000000000001,1810,1098
192,193,T197,Bubba Watson,47,1.649,1187,720
193,194,190,Sepp Straka,48,1.651,1367,828
194,195,196,Chris Thompson,34,1.6540000000000001,1012,612
195,196,189,J.J. Henry,42,1.655,1132,684
196,T197,T193,Cameron Champ,58,1.6569999999999998,1670,1008
197,T197,T193,Brice Garnett,63,1.6569999999999998,1819,1098
198,199,T201,Rod Pampling,40,1.6580000000000001,1134,684
199,200,195,Emiliano Grillo,65,1.659,1852,1116
200,201,T197,Branden Grace,62,1.662,1615,972
201,202,199,Alex Prugh,54,1.663,1497,900
202,203,200,Corey Conners,62,1.669,1742,1044
203,204,203,James Hahn,34,1.673,1024,612
204,T205,T201,John Chin,38,1.6740000000000002,1145,684
205,T205,204,Brendan Steele,50,1.6740000000000002,1446,864
206,207,205,John Senden,39,1.6769999999999998,1117,666
207,208,206,Jason Dufner,56,1.681,1634,972
208,209,207,Lucas Bjerregaard,37,1.6869999999999998,911,540
