,Putting_from_6_RANK THIS WEEK,Putting_from_6_RANK LAST WEEK,Putting_from_6_PLAYER NAME,Putting_from_6_ROUNDS,Putting_from_6_% MADE,Putting_from_6_ATTEMPTS,Putting_from_6_PUTTS MADE
121,T120,129,Russell Henley,56,68.29,41,28
122,T120,T147,Matt Kuchar,65,68.29,41,28
123,T120,T116,Ollie Schniederjans,63,68.29,41,28
124,125,105,Harold Varner III,62,68.25,63,43
125,126,T84,J.J. Henry,42,68.18,22,15
126,127,T133,Nick Watney,67,68.0,50,34
127,128,128,Patton Kizzire,58,67.74,31,21
128,129,114,Dustin Johnson,47,67.57,37,25
129,T130,132,Chesson Hadley,58,67.39,46,31
130,T130,99,Adam Svensson,51,67.39,46,31
131,132,T106,Kelly Kraft,67,67.31,52,35
132,133,125,Adam Schenk,80,67.16,67,45
133,T134,140,Joaquin Niemann,68,66.67,66,44
134,T134,T133,Ian Poulter,49,66.67,33,22
135,T134,T133,Adam Scott,41,66.67,21,14
136,T134,T106,D.J. Trahan,33,66.67,27,18
137,T134,T133,Tiger Woods,31,66.67,18,12
138,139,141,Ryan Blaum,67,66.1,59,39
139,140,T143,Michael Thompson,56,66.0,50,33
140,141,145,Patrick Rodgers,44,65.96,47,31
141,T142,161,Hank Lebioda,55,65.91,44,29
142,T142,T158,Sebastián Muñoz,58,65.91,44,29
143,T142,T72,Ben Silverman,54,65.91,44,29
144,145,146,Emiliano Grillo,65,65.85,41,27
145,146,T162,Chris Stroud,54,65.71,35,23
146,147,150,Keith Mitchell,64,65.52,58,38
147,148,151,Scott Piercy,70,65.45,55,36
148,149,152,"Ted Potter, Jr.",56,65.22,46,30
149,150,153,Si Woo Kim,65,65.12,43,28
150,T151,T154,Russell Knox,65,65.0,60,39
151,T151,T154,D.A. Points,33,65.0,20,13
152,T153,142,Brandon Harkins,67,64.91,57,37
153,T153,167,Roger Sloan,62,64.91,57,37
154,155,149,Brice Garnett,63,64.86,37,24
155,156,156,Martin Laird,60,64.41,59,38
