,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Adam Scott,41,30.77,39,12
1,2,2,Ian Poulter,49,30.0,40,12
2,3,3,Aaron Baddeley,51,29.23,65,19
3,4,4,Stewart Cink,33,29.03,31,9
4,5,5,Curtis Luck,51,28.3,53,15
5,T6,T8,J.T. Poston,76,27.27,110,30
6,T6,T8,Vaughn Taylor,69,27.27,110,30
7,8,T8,Denny McCarthy,63,27.17,92,25
8,9,13,Max Homa,61,26.74,86,23
9,10,14,Matt Wallace,31,26.67,45,12
10,11,15,Adam Schenk,80,26.5,117,31
11,12,16,Ben Crane,41,26.09,69,18
12,13,17,Lucas Glover,62,26.04,96,25
13,14,6,Lucas Bjerregaard,37,26.0,50,13
14,15,18,Sung Kang,67,25.93,108,28
15,16,21,Brooks Koepka,49,25.86,58,15
16,17,12,Johnson Wagner,45,25.68,74,19
17,18,20,Kyoung-Hoon Lee,72,25.56,90,23
18,19,22,Michael Thompson,56,25.29,87,22
19,20,31,Jonas Blixt,66,25.23,111,28
20,T21,7,Austin Cook,50,25.0,68,17
21,T21,11,Sepp Straka,48,25.0,80,20
22,23,19,Ryan Palmer,56,24.68,77,19
23,24,25,Nate Lashley,44,24.59,61,15
24,25,26,Justin Rose,42,24.53,53,13
25,26,28,Hunter Mahan,45,24.19,62,15
26,27,30,Ryan Moore,54,24.05,79,19
27,T28,T32,Paul Casey,51,24.0,50,12
28,T28,T32,Charl Schwartzel,34,24.0,25,6
29,30,29,Ollie Schniederjans,63,23.86,88,21
30,31,35,D.A. Points,33,23.68,38,9
31,32,36,Kevin Na,54,23.61,72,17
32,33,41,Ryan Armour,66,23.47,98,23
33,T34,27,Matt Every,38,23.26,43,10
34,T34,39,Luke List,52,23.26,86,20
