,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
100,T100,T92,Keith Mitchell,64,144,286,50.3
101,T100,T112,Sebastián Muñoz,58,144,277,52.0
102,T100,T92,Andrew Putnam,57,144,284,50.7
103,T100,102,Hudson Swafford,59,144,312,46.2
104,T105,T96,Rafa Cabrera Bello,57,143,275,52.0
105,T105,T96,Branden Grace,62,143,251,57.0
106,T105,T96,Sam Ryder,52,143,305,46.9
107,T108,107,Corey Conners,62,142,276,51.4
108,T108,T100,Martin Kaymer,38,142,251,56.6
109,T108,T128,Danny Willett,47,142,254,55.9
110,T111,T109,Seth Reeves,52,141,249,56.6
111,T111,116,Ben Silverman,54,141,296,47.6
112,T113,T103,Patton Kizzire,58,140,274,51.1
113,T113,T125,Ryan Palmer,56,140,282,49.6
114,115,T105,Brendan Steele,50,139,236,58.9
115,116,T128,Rory McIlroy,50,138,258,53.5
116,117,T133,Jim Knous,55,137,247,55.5
117,T118,T119,Cameron Davis,54,136,267,50.9
118,T118,108,Jason Dufner,56,136,248,54.8
119,T118,T117,Kramer Hickok,59,136,260,52.3
120,T118,T139,Bubba Watson,47,136,249,54.6
121,T122,T109,Bryson DeChambeau,45,135,289,46.7
122,T122,T135,Dustin Johnson,47,135,256,52.7
123,T124,T119,Kyle Jones,49,134,237,56.5
124,T124,T125,Hank Lebioda,55,134,262,51.1
125,T124,T141,Justin Thomas,49,134,248,54.0
126,T127,T112,Patrick Cantlay,49,133,253,52.6
127,T127,147,Cameron Tringale,52,133,253,52.6
128,T127,T121,Chase Wright,53,133,276,48.2
129,130,115,Jon Rahm,51,131,231,56.7
130,131,T153,Alex Noren,49,130,217,59.9
131,132,T130,Adam Svensson,51,129,252,51.2
132,133,T135,Austin Cook,50,127,256,49.6
133,T134,T121,Chris Kirk,47,126,233,54.1
134,T134,T121,Patrick Rodgers,44,126,268,47.0
