,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
175,176,170,Martin Trainer,51,98.08,574,8,555
176,177,165,Aaron Wise,52,98.06,567,14,542
177,178,152,Alex Noren,49,98.04,509,13,486
178,179,187,Jim Herman,37,98.02,405,9,388
179,T180,181,Russell Henley,56,97.95,634,10,611
180,T180,178,Trey Mullinax,67,97.95,782,17,749
181,182,999,Tyrone Van Aswegen,30,97.92,289,4,279
182,183,174,Ryan Armour,66,97.9,713,18,680
183,184,189,Joaquin Niemann,68,97.88,755,14,725
184,T185,161,Ben Crane,41,97.87,376,6,362
185,T185,180,Marc Leishman,52,97.87,516,12,493
186,187,185,Bill Haas,58,97.84,695,13,667
187,188,167,Lucas Bjerregaard,37,97.82,321,9,305
188,189,182,Jhonattan Vegas,60,97.79,680,17,648
189,190,184,Russell Knox,65,97.76,713,16,681
190,191,196,Hank Lebioda,55,97.71,567,20,534
191,192,186,Adam Scott,41,97.67,343,10,325
192,193,188,Brandon Harkins,67,97.54,733,14,701
193,194,190,Emiliano Grillo,65,97.51,603,16,572
194,195,191,Satoshi Kodaira,51,97.46,511,10,488
195,196,192,Grayson Murray,36,97.44,390,10,370
196,T197,T197,Cameron Davis,54,97.39,537,17,506
197,T197,193,Louis Oosthuizen,43,97.39,345,4,332
198,199,T197,Sangmoon Bae,42,97.36,379,12,357
199,200,194,Hideki Matsuyama,59,97.34,638,15,606
200,201,195,Rafa Cabrera Bello,57,97.31,521,13,494
201,T202,199,Byeong Hun An,54,97.12,591,11,563
202,T202,206,D.J. Trahan,33,97.12,278,6,264
203,204,201,Branden Grace,62,96.97,528,16,496
204,205,202,Scott Stallings,63,96.81,721,10,688
205,206,203,J.B. Holmes,54,96.67,421,7,400
206,207,204,Rod Pampling,40,96.31,406,4,387
207,208,205,Keegan Bradley,65,96.24,692,10,656
208,209,207,Jonathan Byrd,43,95.12,410,5,385
