,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
128,T125,T121,Troy Merritt,42,7.0,266,38
129,T130,T126,Hunter Mahan,45,6.98,314,45
130,T130,T126,"Ted Potter, Jr.",56,6.98,377,54
131,T132,T144,Roberto Castro,54,6.96,348,50
132,T132,T130,Kyoung-Hoon Lee,72,6.96,473,68
133,T132,T130,Kevin Na,54,6.96,341,49
134,T132,T130,Shawn Stefani,57,6.96,369,53
135,T136,129,Ryan Armour,66,6.95,459,66
136,T136,135,Jon Rahm,51,6.95,306,44
137,138,T107,Jim Furyk,53,6.94,333,48
138,T139,T137,Tommy Fleetwood,43,6.92,249,36
139,T139,T116,Dylan Frittelli,55,6.92,367,53
140,T139,T137,Max Homa,61,6.92,408,59
141,T139,T142,Nick Watney,67,6.92,436,63
142,T143,T140,Stewart Cink,33,6.91,228,33
143,T143,T130,Bill Haas,58,6.91,373,54
144,T143,T156,J.B. Holmes,54,6.91,325,47
145,T146,164,Brooks Koepka,49,6.9,290,42
146,T146,T142,Ian Poulter,49,6.9,290,42
147,T148,T144,Kramer Hickok,59,6.88,406,59
148,T148,T147,Tom Hoge,70,6.88,454,66
149,T148,T147,Luke List,52,6.88,337,49
150,T148,172,Bubba Watson,47,6.88,275,40
151,152,T149,Keith Mitchell,64,6.87,419,61
152,T153,T144,Alex Cejka,41,6.86,254,37
153,T153,T158,Johnson Wagner,45,6.86,295,43
154,T153,T149,Aaron Wise,52,6.86,336,49
155,T156,T153,Billy Horschel,73,6.85,452,66
156,T156,T151,Harold Varner III,62,6.85,411,60
157,T156,T153,Tiger Woods,31,6.85,178,26
158,T159,T156,Scott Brown,66,6.84,424,62
159,T159,166,J.J. Spaun,68,6.84,438,64
160,T161,T158,Russell Knox,65,6.83,396,58
161,T161,T158,Grayson Murray,36,6.83,246,36
162,T161,T158,Louis Oosthuizen,43,6.83,246,36
163,T164,T140,Hudson Swafford,59,6.81,388,57
164,T164,T153,Kevin Tway,62,6.81,395,58
165,T166,T151,Anders Albertson,48,6.8,313,46
166,T166,165,Robert Streb,60,6.8,381,56
167,T168,T167,Cameron Champ,58,6.79,380,56
168,T168,170,Kyle Jones,49,6.79,319,47
169,T168,T167,Kevin Streelman,63,6.79,414,61
170,T171,179,Jim Herman,37,6.78,251,37
171,T171,T158,Seth Reeves,52,6.78,339,50
172,T171,T158,Adam Svensson,51,6.78,332,49
173,T174,169,Paul Casey,51,6.77,318,47
174,T174,T130,D.J. Trahan,33,6.77,210,31
175,176,T173,Sepp Straka,48,6.72,309,46
176,T177,T175,Russell Henley,56,6.71,349,52
177,T177,180,Hank Lebioda,55,6.71,342,51
178,T179,T175,Bronson Burgoon,37,6.7,248,37
179,T179,T182,Joaquin Niemann,68,6.7,442,66
180,T179,184,Danny Willett,47,6.7,315,47
181,T179,T175,Gary Woodland,63,6.7,402,60
182,T183,T173,Carlos Ortiz,60,6.67,387,58
183,T183,181,Jhonattan Vegas,60,6.67,387,58
184,185,T175,Tyler Duncan,66,6.66,426,64
185,186,T182,Josh Teater,47,6.62,298,45
186,T187,185,Michael Kim,51,6.61,324,49
187,T187,190,Jim Knous,55,6.61,337,51
188,T187,188,Alex Noren,49,6.61,304,46
189,T187,193,Henrik Stenson,46,6.61,251,38
190,T191,187,Keegan Bradley,65,6.6,383,58
191,T191,186,Adam Long,52,6.6,343,52
192,193,189,Charles Howell III,64,6.56,400,61
193,194,191,Kyle Stanley,53,6.54,314,48
194,195,192,Tyrrell Hatton,46,6.52,274,42
195,196,199,Chris Thompson,34,6.5,221,34
196,197,194,Branden Grace,62,6.44,348,54
197,198,196,John Senden,39,6.41,237,37
198,199,T197,Brendan Steele,50,6.38,306,48
199,200,195,J.J. Henry,42,6.37,242,38
200,201,T197,Corey Conners,62,6.31,366,58
201,202,203,Rod Pampling,40,6.29,239,38
202,203,201,Emiliano Grillo,65,6.23,386,62
203,204,202,Jason Dufner,56,6.22,336,54
204,205,200,John Chin,38,6.21,236,38
205,206,T204,Brice Garnett,63,6.2,378,61
206,207,T204,Alex Prugh,54,6.12,306,50
207,208,206,Lucas Bjerregaard,37,6.07,182,30
208,209,207,James Hahn,34,6.0,204,34
