,3-Putt_Avoidance_-_5-10_RANK THIS WEEK,3-Putt_Avoidance_-_5-10_RANK LAST WEEK,3-Putt_Avoidance_-_5-10_PLAYER NAME,3-Putt_Avoidance_-_5-10_ROUNDS,3-Putt_Avoidance_-_5-10_%,3-Putt_Avoidance_-_5-10_TOTAL 3 PUTTS,3-Putt_Avoidance_-_5-10_ATTEMPTS,3-Putt_Avoidance_-_5-10_2 PUTT OR BETTER %
0,T1,T1,Anders Albertson,48,0.0,,104,10.0
1,T1,T1,Abraham Ancer,69,0.0,,157,10.0
2,T1,T1,Kiradech Aphibarnrat,49,0.0,,109,10.0
3,T1,T1,Sangmoon Bae,42,0.0,,87,10.0
4,T1,T1,Daniel Berger,48,0.0,,142,10.0
5,T1,T1,Lucas Bjerregaard,37,0.0,,79,10.0
6,T1,T1,Ryan Blaum,67,0.0,,179,10.0
7,T1,T1,Jonas Blixt,66,0.0,,178,10.0
8,T1,T1,Keegan Bradley,65,0.0,,150,10.0
9,T1,T1,Scott Brown,66,0.0,,166,10.0
10,T1,T1,Jonathan Byrd,43,0.0,,112,10.0
11,T1,T1,Patrick Cantlay,49,0.0,,130,10.0
12,T1,T1,Paul Casey,51,0.0,,111,10.0
13,T1,T1,Alex Cejka,41,0.0,,97,10.0
14,T1,T1,John Chin,38,0.0,,60,10.0
15,T1,T1,Stewart Cink,33,0.0,,63,10.0
16,T1,T1,Wyndham Clark,61,0.0,,157,10.0
17,T1,T1,Ben Crane,41,0.0,,95,10.0
18,T1,T1,Roberto Díaz,51,0.0,,108,10.0
19,T1,T1,Cameron Davis,54,0.0,,142,10.0
20,T1,T1,Tyler Duncan,66,0.0,,172,10.0
21,T1,T1,Ernie Els,43,0.0,,89,10.0
22,T1,T1,Harris English,72,0.0,,167,10.0
23,T1,T1,Matt Every,38,0.0,,98,10.0
24,T1,T1,Matthew Fitzpatrick,42,0.0,,95,10.0
25,T1,T1,Rickie Fowler,54,0.0,,170,10.0
26,T1,T1,Dylan Frittelli,55,0.0,,144,10.0
27,T1,T1,Jim Furyk,53,0.0,,134,10.0
28,T1,T1,Sergio Garcia,39,0.0,,104,10.0
29,T1,T1,Lucas Glover,62,0.0,,154,10.0
30,T1,T1,Fabián Gómez,44,0.0,,93,10.0
31,T1,T1,Talor Gooch,37,0.0,,109,10.0
32,T1,T1,Branden Grace,62,0.0,,127,10.0
33,T1,T1,Cody Gribble,52,0.0,,144,10.0
34,T1,T1,Bill Haas,58,0.0,,144,10.0
35,T1,T1,Adam Hadwin,66,0.0,,169,10.0
36,T1,T1,James Hahn,34,0.0,,56,10.0
37,T1,T1,Justin Harding,31,0.0,,39,10.0
38,T1,T1,Brandon Harkins,67,0.0,,180,10.0
39,T1,T1,Brian Harman,67,0.0,,162,10.0
40,T1,T1,Russell Henley,56,0.0,,137,10.0
