,Putting_from_8_RANK THIS WEEK,Putting_from_8_RANK LAST WEEK,Putting_from_8_PLAYER NAME,Putting_from_8_ROUNDS,Putting_from_8_% MADE,Putting_from_8_ATTEMPTS,Putting_from_8_PUTTS MADE
0,1,1,Justin Harding,31,90.0,10,9
1,2,2,Pat Perez,52,85.0,20,17
2,3,3,Charl Schwartzel,34,78.57,14,11
3,4,4,Wyndham Clark,61,76.92,39,30
4,T5,6,Jonas Blixt,66,72.73,44,32
5,T5,7,Tiger Woods,31,72.73,11,8
6,7,8,D.A. Points,33,72.22,18,13
7,8,5,Chase Wright,53,70.83,24,17
8,9,10,Tommy Fleetwood,43,70.59,17,12
9,10,11,Aaron Baddeley,51,70.37,27,19
10,11,12,Kyle Stanley,53,69.57,23,16
11,12,13,Julián Etulain,55,68.42,19,13
12,13,T22,Rod Pampling,40,68.18,22,15
13,14,14,Vaughn Taylor,69,67.39,46,31
14,15,999,Tyrone Van Aswegen,30,66.67,15,10
15,16,19,Martin Kaymer,38,65.52,29,19
16,17,21,Brian Stuard,76,65.12,43,28
17,T18,T15,David Hearn,41,64.71,17,11
18,T18,T15,Kramer Hickok,59,64.71,34,22
19,T20,T24,Ryan Armour,66,64.29,28,18
20,T20,T15,Russell Henley,56,64.29,28,18
21,T20,20,José de Jesús Rodríguez,51,64.29,28,18
22,23,T31,Peter Uihlein,65,63.64,33,21
23,24,T27,Scott Piercy,70,63.41,41,26
24,25,T27,Charles Howell III,64,63.16,38,24
25,26,T39,Sebastián Muñoz,58,62.96,27,17
26,27,T42,Scott Brown,66,62.79,43,27
27,28,30,Jim Furyk,53,62.5,24,15
28,T29,T24,Alex Noren,49,62.07,29,18
29,T29,T31,Patrick Reed,53,62.07,29,18
30,T31,T22,Bud Cauley,61,61.9,42,26
31,T31,T33,Matt Jones,67,61.9,42,26
32,T31,T42,Johnson Wagner,45,61.9,21,13
33,34,T33,Brian Gay,79,61.7,47,29
34,35,35,Anirban Lahiri,54,61.54,39,24
35,36,29,Brice Garnett,63,61.36,44,27
36,T37,T36,Sung Kang,67,61.11,36,22
37,T37,9,Wes Roach,45,61.11,18,11
38,T37,T36,Matt Wallace,31,61.11,18,11
39,40,38,Kevin Kisner,65,60.98,41,25
40,41,T53,Anders Albertson,48,60.87,23,14
41,T42,51,Nate Lashley,44,60.71,28,17
42,T42,110,Josh Teater,47,60.71,28,17
43,T44,T62,Ben Silverman,54,60.61,33,20
44,T44,75,Martin Trainer,51,60.61,33,20
45,46,41,Jordan Spieth,57,60.47,43,26
46,T47,T42,Byeong Hun An,54,60.0,35,21
47,T47,T39,Austin Cook,50,60.0,25,15
48,T47,T55,Talor Gooch,37,60.0,20,12
49,T47,T42,Andrew Landry,56,60.0,25,15
50,T47,T42,Patrick Rodgers,44,60.0,30,18
51,52,50,Chez Reavie,67,59.38,32,19
52,53,26,Dominic Bozzelli,53,59.26,27,16
53,54,52,Trey Mullinax,67,59.18,49,29
54,T55,T53,Russell Knox,65,59.09,44,26
55,T55,999,Shane Lowry,30,59.09,22,13
56,T57,T42,Lucas Bjerregaard,37,58.82,17,10
57,T57,T55,Stewart Cink,33,58.82,17,10
