,GIR_Putting_-_15-20_RANK THIS WEEK,GIR_Putting_-_15-20_RANK LAST WEEK,GIR_Putting_-_15-20_PLAYER NAME,GIR_Putting_-_15-20_ROUNDS,GIR_Putting_-_15-20_%,GIR_Putting_-_15-20_ATTEMPTS,GIR_Putting_-_15-20_PUTTS MADE
0,1,4,Curtis Luck,51,30.0,40,12
1,2,3,Hunter Mahan,45,29.79,47,14
2,3,1,Brooks Koepka,49,29.55,44,13
3,T4,8,Ryan Palmer,56,28.57,56,16
4,T4,T6,Ian Poulter,49,28.57,35,10
5,6,9,Denny McCarthy,63,27.85,79,22
6,T7,5,Lucas Bjerregaard,37,27.78,36,10
7,T7,2,Austin Cook,50,27.78,54,15
8,9,10,J.T. Poston,76,27.38,84,23
9,10,11,Sung Kang,67,27.37,95,26
10,11,T6,Johnson Wagner,45,27.12,59,16
11,12,13,Michael Thompson,56,26.39,72,19
12,T13,16,Adam Schenk,80,26.09,92,24
13,T13,14,Vaughn Taylor,69,26.09,92,24
14,15,15,Aaron Baddeley,51,25.86,58,15
15,16,18,Kyoung-Hoon Lee,72,25.64,78,20
16,17,12,Danny Lee,66,25.61,82,21
17,T18,T20,Stewart Cink,33,25.0,24,6
18,T18,T20,Max Homa,61,25.0,64,16
19,T18,T20,Anirban Lahiri,54,25.0,56,14
20,T18,T20,Adam Scott,41,25.0,32,8
21,T18,19,Chris Stroud,54,25.0,64,16
22,23,17,Matt Every,38,24.32,37,9
23,24,25,Luke List,52,24.24,66,16
24,25,26,Andrew Putnam,57,24.14,58,14
25,26,27,Lucas Glover,62,24.05,79,19
26,27,24,Ollie Schniederjans,63,24.0,75,18
27,T28,T29,Beau Hossler,66,23.53,68,16
28,T28,T29,John Senden,39,23.53,34,8
29,30,31,Chesson Hadley,58,23.46,81,19
30,31,32,Pat Perez,52,23.4,47,11
31,T32,36,Ryan Armour,66,23.38,77,18
32,T32,28,Wyndham Clark,61,23.38,77,18
33,34,51,Hudson Swafford,59,23.08,78,18
34,35,33,Jordan Spieth,57,22.86,70,16
35,36,35,Jhonattan Vegas,60,22.78,79,18
36,37,T41,Jonas Blixt,66,22.73,88,20
37,38,37,Xander Schauffele,55,22.45,49,11
38,39,60,Cody Gribble,52,22.41,58,13
39,40,38,Matthew Fitzpatrick,42,22.22,36,8
40,41,40,Kiradech Aphibarnrat,49,22.0,50,11
41,42,66,Russell Henley,56,21.95,82,18
42,43,T43,Paul Casey,51,21.74,46,10
43,44,34,Aaron Wise,52,21.67,60,13
44,45,46,Ryan Moore,54,21.54,65,14
45,T46,85,Dominic Bozzelli,53,21.43,56,12
46,T46,T47,D.A. Points,33,21.43,28,6
47,48,T41,Rod Pampling,40,21.28,47,10
48,49,50,Patrick Rodgers,44,21.21,66,14
49,50,39,Sebastián Muñoz,58,21.13,71,15
50,51,T52,Brian Gay,79,21.0,100,21
51,52,T77,Scott Brown,66,20.88,91,19
52,T53,T57,Bryson DeChambeau,45,20.83,48,10
53,T53,T57,Charl Schwartzel,34,20.83,24,5
54,55,63,Nate Lashley,44,20.75,53,11
55,56,67,Richy Werenski,63,20.65,92,19
56,T57,75,Roberto Castro,54,20.63,63,13
57,T57,62,Charles Howell III,64,20.63,63,13
58,59,T43,Peter Uihlein,65,20.51,78,16
59,T60,T52,Roberto Díaz,51,20.34,59,12
60,T60,T64,Kevin Na,54,20.34,59,12
61,T62,56,Graeme McDowell,61,20.31,64,13
62,T62,T47,Ben Silverman,54,20.31,64,13
63,64,45,Peter Malnati,64,20.25,79,16
64,T65,73,Sungjae Im,88,20.0,105,21
65,T65,T68,Patton Kizzire,58,20.0,65,13
66,T65,T47,Hank Lebioda,55,20.0,65,13
67,T65,T68,Marc Leishman,52,20.0,40,8
68,T65,T52,Sepp Straka,48,20.0,65,13
69,70,74,Tony Finau,61,19.64,56,11
70,71,79,Billy Horschel,73,19.44,72,14
71,72,T52,Jim Furyk,53,19.35,62,12
72,T73,82,Ben Crane,41,19.3,57,11
73,T73,T88,Josh Teater,47,19.3,57,11
74,75,80,Rickie Fowler,54,19.23,78,15
75,76,76,Brady Schnell,38,19.15,47,9
76,77,999,Martin Piller,30,19.05,21,4
77,78,T88,Danny Willett,47,18.97,58,11
78,79,T113,J.J. Spaun,68,18.92,74,14
79,80,84,Joel Dahmen,78,18.82,85,16
80,T81,T68,Kramer Hickok,59,18.64,59,11
81,T81,86,Charley Hoffman,58,18.64,59,11
82,T81,T107,Jim Knous,55,18.64,59,11
83,T84,111,Martin Laird,60,18.52,81,15
84,T84,999,Shane Lowry,30,18.52,27,5
85,86,87,Emiliano Grillo,65,18.46,65,12
86,87,110,Nick Taylor,70,18.45,103,19
87,88,97,Carlos Ortiz,60,18.42,76,14
88,T89,T93,Tommy Fleetwood,43,18.18,44,8
89,T89,T93,Justin Harding,31,18.18,22,4
90,T89,T64,Scott Langley,60,18.18,66,12
91,T89,T93,Justin Rose,42,18.18,44,8
92,93,96,Chez Reavie,67,17.91,67,12
93,T94,T167,David Hearn,41,17.86,28,5
94,T94,T57,D.J. Trahan,33,17.86,28,5
95,96,83,Kelly Kraft,67,17.81,73,13
96,T97,61,John Chin,38,17.65,34,6
97,T97,T98,Tyrrell Hatton,46,17.65,51,9
98,T97,T98,Michael Kim,51,17.65,51,9
99,T97,T98,Chris Kirk,47,17.65,68,12
100,T97,T130,José de Jesús Rodríguez,51,17.65,51,9
101,T97,T98,Sam Ryder,52,17.65,68,12
102,103,103,"Ted Potter, Jr.",56,17.46,63,11
103,T104,T77,Joey Garber,44,17.39,46,8
104,T104,T104,Hideki Matsuyama,59,17.39,69,12
105,T106,T104,Stephan Jaeger,59,17.31,52,9
106,T106,128,Kyle Jones,49,17.31,52,9
107,108,T113,Jonathan Byrd,43,17.07,41,7
108,T109,T88,Anders Albertson,48,16.98,53,9
109,T109,T107,Whee Kim,57,16.98,53,9
110,111,112,Kevin Kisner,65,16.9,71,12
111,T112,T113,Ryan Blaum,67,16.67,72,12
112,T112,T88,Talor Gooch,37,16.67,54,9
113,T112,T98,Bill Haas,58,16.67,54,9
114,T112,92,Joaquin Niemann,68,16.67,102,17
115,T112,109,Scott Stallings,63,16.67,90,15
116,T112,81,Justin Thomas,49,16.67,54,9
117,T112,T68,Chris Thompson,34,16.67,42,7
118,T112,T113,Matt Wallace,31,16.67,36,6
119,120,118,Cameron Champ,58,16.44,73,12
120,121,119,Byeong Hun An,54,16.33,49,8
121,122,120,Brian Stuard,76,16.3,92,15
122,123,121,Rafa Cabrera Bello,57,16.28,43,7
123,124,T122,Cameron Smith,55,16.22,37,6
124,T125,T142,Brice Garnett,63,16.13,62,10
125,T125,T125,Freddie Jacobson,37,16.13,31,5
126,T125,T125,Si Woo Kim,65,16.13,62,10
127,128,T104,Dustin Johnson,47,16.0,50,8
128,129,T151,Sangmoon Bae,42,15.91,44,7
129,T130,T113,Cameron Davis,54,15.79,57,9
130,T130,T130,Jason Kokrak,68,15.79,76,12
131,132,T132,Jason Dufner,56,15.63,64,10
132,133,124,Matt Kuchar,65,15.58,77,12
133,T134,145,Bud Cauley,61,15.38,65,10
134,T134,T122,Jim Herman,37,15.38,39,6
135,T134,T134,Francesco Molinari,41,15.38,39,6
136,T134,T134,Gary Woodland,63,15.38,65,10
137,T134,T134,Tiger Woods,31,15.38,39,6
138,139,T157,Tyler Duncan,66,15.15,66,10
139,140,T138,Kyle Stanley,53,15.09,53,8
140,141,T142,Brendan Steele,50,15.0,60,9
141,142,T125,Chase Wright,53,14.93,67,10
142,T143,149,Tom Hoge,70,14.86,74,11
143,T143,T140,Shawn Stefani,57,14.86,74,11
144,145,144,Rory Sabbatini,71,14.77,88,13
145,T146,129,Brandt Snedeker,68,14.71,68,10
146,T146,147,Robert Streb,60,14.71,68,10
147,T148,146,Abraham Ancer,69,14.63,82,12
148,T148,T140,Keegan Bradley,65,14.63,82,12
149,150,148,Harris English,72,14.29,98,14
150,151,T132,Adam Hadwin,66,14.08,71,10
151,152,137,Martin Trainer,51,14.06,64,9
152,T153,150,Russell Knox,65,14.04,57,8
153,T153,T138,Seth Reeves,52,14.04,57,8
154,T155,T151,Sam Burns,66,13.89,72,10
155,T155,T151,Jason Day,45,13.89,36,5
