,Total_1_Putts_-_10-15_RANK THIS WEEK,Total_1_Putts_-_10-15_RANK LAST WEEK,Total_1_Putts_-_10-15_PLAYER NAME,Total_1_Putts_-_10-15_ROUNDS,Total_1_Putts_-_10-15_TOTAL,Total_1_Putts_-_10-15_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_10-15_PCT OF ALL 1-PUTTS
0,1,1,Vaughn Taylor,69,60,473,12.7
1,2,T2,Adam Schenk,80,57,427,13.3
2,3,T2,Sungjae Im,88,56,495,11.3
3,4,4,Rory Sabbatini,71,52,411,12.7
4,5,5,Ryan Blaum,67,51,384,13.3
5,6,T10,Harris English,72,50,423,11.8
6,T7,T6,Brian Gay,79,49,436,11.2
7,T7,T6,Jason Kokrak,68,49,387,12.7
8,T7,T6,J.T. Poston,76,49,474,10.3
9,T7,T6,Sam Ryder,52,49,305,16.1
10,T11,T10,Sam Burns,66,48,400,12.0
11,T11,T16,Danny Lee,66,48,405,11.9
12,T11,12,Richy Werenski,63,48,350,13.7
13,T14,15,Ryan Armour,66,47,358,13.1
14,T14,T13,Peter Malnati,64,47,421,11.2
15,T14,T13,Hudson Swafford,59,47,312,15.1
16,T14,T26,Nick Taylor,70,47,440,10.7
17,T14,T16,Chase Wright,53,47,276,17.0
18,19,T39,Brandt Snedeker,68,46,379,12.1
19,T20,T16,Beau Hossler,66,44,387,11.4
20,T20,T29,Matt Kuchar,65,44,342,12.9
21,T20,T16,Trey Mullinax,67,44,365,12.1
22,T20,T21,Carlos Ortiz,60,44,314,14.0
23,T20,T16,Michael Thompson,56,44,383,11.5
24,25,T21,Max Homa,61,43,336,12.8
25,T26,T23,Lucas Glover,62,42,376,11.2
26,T26,T36,Brandon Harkins,67,42,366,11.5
27,T26,T23,Sung Kang,67,42,381,11.0
28,T26,T39,Martin Laird,60,42,346,12.1
29,T26,T29,Scott Langley,60,42,363,11.6
30,T26,T43,Ben Silverman,54,42,296,14.2
31,T26,T23,Jordan Spieth,57,42,354,11.9
32,T33,T26,Cameron Champ,58,41,327,12.5
33,T33,T29,Denny McCarthy,63,41,352,11.6
34,T33,T29,Scott Piercy,70,41,353,11.6
35,T33,T36,Scott Stallings,63,41,352,11.6
36,T33,T26,Brian Stuard,76,41,414,9.9
37,T38,T39,Wyndham Clark,61,40,369,10.8
38,T38,T29,Chesson Hadley,58,40,308,13.0
39,T38,T29,Kevin Kisner,65,40,309,12.9
40,T38,T29,Russell Knox,65,40,334,12.0
41,T38,T43,Graeme McDowell,61,40,311,12.9
42,T43,T36,Patton Kizzire,58,39,274,14.2
43,T43,T53,Peter Uihlein,65,39,330,11.8
44,T45,T63,Jonas Blixt,66,38,375,10.1
45,T45,T47,Bud Cauley,61,38,416,9.1
46,T45,T39,Joel Dahmen,78,38,392,9.7
47,T45,T47,Julián Etulain,55,38,279,13.6
48,T45,T63,Adam Hadwin,66,38,337,11.3
49,T45,T43,Joaquin Niemann,68,38,351,10.8
50,T51,T43,Matt Jones,67,37,324,11.4
51,T51,T88,Webb Simpson,53,37,336,11.0
52,T53,T47,Rickie Fowler,54,36,330,10.9
53,T53,T57,Tom Hoge,70,36,335,10.7
54,T53,T47,Billy Horschel,73,36,320,11.3
55,T53,T96,Dustin Johnson,47,36,256,14.1
56,T53,T47,Andrew Putnam,57,36,284,12.7
57,T53,T47,Chez Reavie,67,36,291,12.4
58,T53,T76,Roger Sloan,62,36,354,10.2
59,T60,T53,Abraham Ancer,69,35,355,9.9
60,T60,T53,Aaron Baddeley,51,35,308,11.4
61,T60,T57,Dylan Frittelli,55,35,299,11.7
62,T60,T63,Curtis Luck,51,35,247,14.2
63,T60,T53,Jhonattan Vegas,60,35,309,11.3
64,T60,T57,Nick Watney,67,35,340,10.3
65,T66,T57,Kiradech Aphibarnrat,49,34,249,13.7
66,T66,T57,Bryson DeChambeau,45,34,289,11.8
67,T66,T63,Bill Haas,58,34,309,11.0
68,T66,T102,Zach Johnson,50,34,311,10.9
69,T66,T57,"Ted Potter, Jr.",56,34,299,11.4
70,T66,T102,José de Jesús Rodríguez,51,34,286,11.9
71,T72,T76,Kelly Kraft,67,33,331,10.0
72,T72,T63,Andrew Landry,56,33,298,11.1
73,T72,T63,Kyoung-Hoon Lee,72,33,326,10.1
74,T72,T76,Ryan Palmer,56,33,282,11.7
75,T72,T70,Ollie Schniederjans,63,33,345,9.6
76,T72,T76,J.J. Spaun,68,33,315,10.5
77,T72,T63,Kevin Streelman,63,33,363,9.1
78,T72,T88,Justin Thomas,49,33,248,13.3
79,T72,T70,Harold Varner III,62,33,350,9.4
80,T72,T70,Johnson Wagner,45,33,220,15.0
81,T82,T88,Dominic Bozzelli,53,32,255,12.5
82,T82,T110,Scott Brown,66,32,333,9.6
83,T82,T70,Corey Conners,62,32,276,11.6
84,T82,T70,Jason Day,45,32,184,17.4
85,T82,T96,Brice Garnett,63,32,252,12.7
86,T82,T70,Luke List,52,32,296,10.8
87,T82,T110,Seamus Power,58,32,320,10.0
88,T82,T76,Martin Trainer,51,32,309,10.4
89,T82,T76,Jimmy Walker,61,32,332,9.6
90,T91,T76,Charles Howell III,64,31,304,10.2
91,T91,T96,Mackenzie Hughes,58,31,316,9.8
92,T91,T76,Si Woo Kim,65,31,322,9.6
93,T91,T88,Jim Knous,55,31,247,12.6
94,T91,T76,Satoshi Kodaira,51,31,238,13.0
95,T91,T76,Troy Merritt,42,31,237,13.1
96,T91,T76,Keith Mitchell,64,31,286,10.8
97,T91,T76,Patrick Rodgers,44,31,268,11.6
98,T91,T110,Cameron Tringale,52,31,253,12.3
99,T91,T96,Kevin Tway,62,31,309,10.0
100,T101,T110,Keegan Bradley,65,30,286,10.5
101,T101,T88,Tony Finau,61,30,286,10.5
102,T101,T88,Kramer Hickok,59,30,260,11.5
103,T101,T88,Ryan Moore,54,30,320,9.4
104,T101,T88,Ian Poulter,49,30,213,14.1
105,T101,T96,Sam Saunders,53,30,340,8.8
106,T101,T102,Sepp Straka,48,30,221,13.6
107,T108,T102,Roberto Díaz,51,29,239,12.1
108,T108,T110,Cameron Davis,54,29,267,10.9
109,T108,T96,Russell Henley,56,29,293,9.9
110,T108,T125,Hank Lebioda,55,29,262,11.1
111,T108,T110,Danny Willett,47,29,254,11.4
112,T113,T143,Daniel Berger,48,28,293,9.6
113,T113,T102,Patrick Cantlay,49,28,253,11.1
114,T113,T125,Tyler Duncan,66,28,294,9.5
115,T113,T140,Brian Harman,67,28,349,8.0
116,T113,T102,Adam Long,52,28,292,9.6
117,T113,T153,Rory McIlroy,50,28,258,10.9
118,T113,T102,C.T. Pan,64,28,302,9.3
119,T113,T102,Seth Reeves,52,28,249,11.2
120,T121,T143,Austin Cook,50,27,256,10.5
121,T121,T110,Jason Dufner,56,27,248,10.9
122,T121,T132,Fabián Gómez,44,27,211,12.8
123,T121,T110,Charley Hoffman,58,27,258,10.5
124,T121,T110,Michael Kim,51,27,234,11.5
125,T121,T110,Hideki Matsuyama,59,27,314,8.6
126,T121,T110,Justin Rose,42,27,225,12.0
127,T121,T110,Xander Schauffele,55,27,246,11.0
128,T121,T110,Adam Scott,41,27,187,14.4
129,T121,T143,Henrik Stenson,46,27,226,11.9
130,T121,T110,Chris Stroud,54,27,291,9.3
131,T121,T110,Gary Woodland,63,27,293,9.2
132,T133,T125,Rafa Cabrera Bello,57,26,275,9.5
133,T133,T161,Ben Crane,41,26,192,13.5
134,T133,T125,Jim Furyk,53,26,288,9.0
135,T133,T132,Cody Gribble,52,26,277,9.4
136,T133,T125,Marc Leishman,52,26,253,10.3
137,T133,T125,Pat Perez,52,26,214,12.1
138,T133,T125,Jon Rahm,51,26,231,11.3
139,T140,T132,Anirban Lahiri,54,25,312,8.0
140,T140,T132,Hunter Mahan,45,25,230,10.9
141,T140,T132,Francesco Molinari,41,25,189,13.2
142,T140,T132,Patrick Reed,53,25,272,9.2
143,T140,T132,Cameron Smith,55,25,255,9.8
144,T140,T132,Brendan Steele,50,25,236,10.6
145,T140,T143,Robert Streb,60,25,292,8.6
146,T140,T153,Bubba Watson,47,25,249,10.0
147,T140,T143,Aaron Wise,52,25,241,10.4
148,T149,T153,Anders Albertson,48,24,233,10.3
149,T149,T140,Bronson Burgoon,37,24,193,12.4
150,T149,T140,Branden Grace,62,24,251,9.6
151,T149,T143,Alex Prugh,54,24,211,11.4
152,T149,T143,Shawn Stefani,57,24,257,9.3
153,T154,T143,Byeong Hun An,54,23,281,8.2
154,T154,T161,Roberto Castro,54,23,283,8.1
155,T154,T153,Alex Cejka,41,23,188,12.2
156,T154,T153,Nate Lashley,44,23,220,10.5
157,T154,T143,Kevin Na,54,23,236,9.7
158,T154,T143,Louis Oosthuizen,43,23,171,13.5
159,T154,T174,Wes Roach,45,23,200,11.5
160,T154,T153,Adam Svensson,51,23,252,9.1
161,T154,T161,Josh Teater,47,23,199,11.6
162,T163,T187,Sangmoon Bae,42,22,178,12.4
163,T163,T161,Jonathan Byrd,43,22,208,10.6
164,T163,T153,Paul Casey,51,22,210,10.5
165,T163,T167,Stephan Jaeger,59,22,296,7.4
166,T163,T153,Phil Mickelson,41,22,214,10.3
167,T163,T181,Sebastián Muñoz,58,22,277,7.9
168,T163,T174,Alex Noren,49,22,217,10.1
169,T170,T161,Freddie Jacobson,37,21,181,11.6
170,T170,T161,Martin Kaymer,38,21,251,8.4
171,T172,T181,Matt Every,38,20,183,10.9
172,T172,T167,Matthew Fitzpatrick,42,20,197,10.2
173,T172,T170,Talor Gooch,37,20,219,9.1
174,T172,T167,Emiliano Grillo,65,20,259,7.7
175,T172,T174,Kyle Jones,49,20,237,8.4
176,T172,999,Martin Piller,30,20,129,15.5
177,T178,T170,Tommy Fleetwood,43,19,184,10.3
178,T178,T187,Sergio Garcia,39,19,209,9.1
179,T178,T174,David Hearn,41,19,167,11.4
180,T178,T170,John Huh,35,19,183,10.4
181,T178,T187,Whee Kim,57,19,218,8.7
182,T178,T170,Chris Kirk,47,19,233,8.2
183,T184,T174,Ernie Els,43,18,196,9.2
184,T184,T181,Jim Herman,37,18,189,9.5
185,T184,T194,Brooks Koepka,49,18,212,8.5
186,T184,T174,Grayson Murray,36,18,171,10.5
187,T184,T196,Chris Thompson,34,18,149,12.1
188,T184,T174,Tiger Woods,31,18,147,12.2
189,T190,T181,Stewart Cink,33,17,154,11.0
190,T190,T196,Joey Garber,44,17,174,9.8
191,T190,T181,Tyrrell Hatton,46,17,192,8.9
192,T190,T196,J.B. Holmes,54,17,201,8.5
193,T190,T194,Brady Schnell,38,17,188,9.0
194,T190,T181,John Senden,39,17,153,11.1
195,T196,T187,Haotong Li,32,16,149,10.7
196,T196,T187,D.A. Points,33,16,133,12.0
197,T196,T187,Kyle Stanley,53,16,199,8.0
198,T196,T187,Matt Wallace,31,16,167,9.6
199,200,T201,D.J. Trahan,33,15,114,13.2
200,T201,T201,Lucas Bjerregaard,37,14,141,9.9
201,T201,T196,John Chin,38,14,133,10.5
202,203,999,Tyrone Van Aswegen,30,13,130,10.0
203,204,T203,J.J. Henry,42,12,165,7.3
204,205,T203,Justin Harding,31,11,86,12.8
205,T206,T206,Rod Pampling,40,10,167,6.0
206,T206,205,Charl Schwartzel,34,10,123,8.1
207,208,T206,James Hahn,34,9,91,9.9
208,209,999,Shane Lowry,30,7,156,4.5
