,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
191,T191,T188,Joaquin Niemann,68,0.19,54,1.0
192,T193,T188,Patrick Cantlay,49,0.0,30,
193,T193,T188,Alex Cejka,41,0.0,37,
194,T193,T188,Matthew Fitzpatrick,42,0.0,40,
195,T193,T188,Sergio Garcia,39,0.0,14,
196,T193,T188,Emiliano Grillo,65,0.0,33,
197,T193,T188,David Hearn,41,0.0,26,
198,T193,T188,Charley Hoffman,58,0.0,33,
199,T193,T188,Freddie Jacobson,37,0.0,19,
200,T193,T188,Sebastián Muñoz,58,0.0,41,
201,T193,T188,Rod Pampling,40,0.0,23,
202,T193,T188,D.A. Points,33,0.0,19,
203,T193,T188,Seth Reeves,52,0.0,29,
204,T193,T188,Martin Trainer,51,0.0,22,
205,T193,T188,Johnson Wagner,45,0.0,33,
206,T193,T188,Nick Watney,67,0.0,54,
