,Average_Putting_Distance_-_All_1_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_1_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_1_putts_PLAYER NAME,Average_Putting_Distance_-_All_1_putts_ROUNDS,Average_Putting_Distance_-_All_1_putts_AVG,Average_Putting_Distance_-_All_1_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_1_putts_TOTAL PUTTS
73,T70,T72,James Hahn,34,"7' 4""",670.0830000000001,91
74,T70,T72,Ryan Moore,54,"7' 4""",2349.417,320
75,T70,T94,Sebastián Muñoz,58,"7' 4""",2039.25,277
76,T70,T58,Carlos Ortiz,60,"7' 4""",2296.167,314
77,T70,T72,Xander Schauffele,55,"7' 4""",1798.9170000000001,246
78,T70,T58,Nick Taylor,70,"7' 4""",3225.417,440
79,T70,T72,Michael Thompson,56,"7' 4""",2803.917,383
80,T81,T72,Ryan Armour,66,"7' 3""",2597.417,358
81,T81,T72,Jonas Blixt,66,"7' 3""",2729.25,375
82,T81,T58,Dominic Bozzelli,53,"7' 3""",1855.75,255
83,T81,T87,Bronson Burgoon,37,"7' 3""",1401.75,193
84,T81,T72,Austin Cook,50,"7' 3""",1865.0,256
85,T81,T87,Jason Dufner,56,"7' 3""",1792.75,248
86,T81,T107,Sungjae Im,88,"7' 3""",3602.333,495
87,T81,T72,Matt Kuchar,65,"7' 3""",2473.75,342
88,T81,T87,Pat Perez,52,"7' 3""",1542.9170000000001,214
89,T81,T87,D.A. Points,33,"7' 3""",958.8330000000001,133
90,T81,T58,Roger Sloan,62,"7' 3""",2568.417,354
91,T81,T87,Adam Svensson,51,"7' 3""",1825.6670000000001,252
92,T81,T72,Harold Varner III,62,"7' 3""",2530.667,350
93,T81,T72,Aaron Wise,52,"7' 3""",1749.1670000000001,241
94,T95,T87,Anders Albertson,48,"7' 2""",1676.5,233
95,T95,T94,Abraham Ancer,69,"7' 2""",2537.5,355
96,T95,T94,Ryan Blaum,67,"7' 2""",2741.25,384
97,T95,T94,Max Homa,61,"7' 2""",2404.167,336
98,T95,T94,Jason Kokrak,68,"7' 2""",2777.5,387
99,T95,T94,Kyoung-Hoon Lee,72,"7' 2""",2345.583,326
100,T95,T94,Luke List,52,"7' 2""",2128.583,296
101,T95,T107,Rory McIlroy,50,"7' 2""",1851.3329999999999,258
102,T95,T94,Phil Mickelson,41,"7' 2""",1526.4170000000001,214
103,T95,T72,Ryan Palmer,56,"7' 2""",2028.0,282
104,T95,T94,Wes Roach,45,"7' 2""",1426.0829999999999,200
105,T95,T87,J.J. Spaun,68,"7' 2""",2256.75,315
106,T95,T94,Brendan Steele,50,"7' 2""",1695.1670000000001,236
107,T95,T94,Matt Wallace,31,"7' 2""",1197.917,167
108,T109,T118,Dylan Frittelli,55,"7' 1""",2112.667,299
109,T109,T107,Kevin Kisner,65,"7' 1""",2183.0,309
110,T109,T107,Patton Kizzire,58,"7' 1""",1942.0,274
111,T109,T107,Hunter Mahan,45,"7' 1""",1629.5829999999999,230
112,T109,T107,J.T. Poston,76,"7' 1""",3356.917,474
113,T109,T107,Ian Poulter,49,"7' 1""",1517.5829999999999,213
114,T109,T107,Cameron Smith,55,"7' 1""",1797.0,255
115,T116,T118,Aaron Baddeley,51,"7' 0""",2158.667,308
116,T116,T118,Tony Finau,61,"7' 0""",2002.5829999999999,286
117,T116,T118,David Hearn,41,"7' 0""",1169.917,167
118,T116,T118,Kramer Hickok,59,"7' 0""",1817.6670000000001,260
119,T116,T118,Kyle Jones,49,"7' 0""",1652.1670000000001,237
120,T116,T118,Russell Knox,65,"7' 0""",2340.25,334
121,T116,T118,Satoshi Kodaira,51,"7' 0""",1656.9170000000001,238
122,T116,T118,Haotong Li,32,"7' 0""",1037.0,149
123,T116,T118,Keith Mitchell,64,"7' 0""",1999.1670000000001,286
124,T116,T118,Patrick Reed,53,"7' 0""",1903.5,272
125,T116,T151,Ollie Schniederjans,63,"7' 0""",2413.667,345
126,T127,T107,Harris English,72,"6' 11""",2909.833,423
127,T127,T135,Matthew Fitzpatrick,42,"6' 11""",1357.8329999999999,197
128,T127,T118,Fabián Gómez,44,"6' 11""",1453.75,211
129,T127,T185,J.J. Henry,42,"6' 11""",1137.333,165
130,T127,T135,Michael Kim,51,"6' 11""",1617.5829999999999,234
131,T127,T107,Brooks Koepka,49,"6' 11""",1474.8329999999999,212
132,T127,T94,Alex Noren,49,"6' 11""",1503.4170000000001,217
133,T127,T118,Alex Prugh,54,"6' 11""",1454.3329999999999,211
134,T127,T135,Chez Reavie,67,"6' 11""",2019.3329999999999,291
135,T127,T118,Brady Schnell,38,"6' 11""",1302.25,188
136,T127,T107,Justin Thomas,49,"6' 11""",1707.5829999999999,248
137,T127,T118,Nick Watney,67,"6' 11""",2355.75,340
138,T139,T140,Patrick Cantlay,49,"6' 10""",1723.75,253
139,T139,T140,Paul Casey,51,"6' 10""",1428.5829999999999,210
140,T139,T175,Roberto Castro,54,"6' 10""",1932.9170000000001,283
141,T139,T140,Ernie Els,43,"6' 10""",1331.75,196
142,T139,T140,Julián Etulain,55,"6' 10""",1904.8329999999999,279
143,T139,T118,Adam Hadwin,66,"6' 10""",2303.167,337
144,T139,T140,Tom Hoge,70,"6' 10""",2293.417,335
145,T139,T135,Mackenzie Hughes,58,"6' 10""",2149.917,316
146,T139,T140,Chris Kirk,47,"6' 10""",1587.5,233
147,T139,T140,Anirban Lahiri,54,"6' 10""",2139.5,312
148,T139,T140,Peter Malnati,64,"6' 10""",2871.583,421
149,T139,T135,Trey Mullinax,67,"6' 10""",2500.167,365
150,T139,T165,Seamus Power,58,"6' 10""",2175.75,320
151,T139,T140,Jon Rahm,51,"6' 10""",1581.0829999999999,231
152,T139,T140,Webb Simpson,53,"6' 10""",2303.917,336
153,T139,T175,Brandt Snedeker,68,"6' 10""",2603.917,379
154,T139,T165,Henrik Stenson,46,"6' 10""",1540.3329999999999,226
155,T139,T140,Brian Stuard,76,"6' 10""",2826.833,414
156,T139,T165,Kevin Tway,62,"6' 10""",2105.25,309
157,T158,T118,Cody Gribble,52,"6' 9""",1869.9170000000001,277
158,T158,T151,John Huh,35,"6' 9""",1232.0,183
159,T158,T151,Freddie Jacobson,37,"6' 9""",1226.75,181
160,T158,T151,Martin Kaymer,38,"6' 9""",1692.0829999999999,251
161,T158,T151,Adam Long,52,"6' 9""",1959.25,292
162,T158,T151,Troy Merritt,42,"6' 9""",1599.75,237
163,T158,T151,Francesco Molinari,41,"6' 9""",1268.583,189
164,T158,T151,Joaquin Niemann,68,"6' 9""",2373.417,351
165,T158,T151,C.T. Pan,64,"6' 9""",2044.4170000000001,302
166,T158,T151,Danny Willett,47,"6' 9""",1721.25,254
167,T168,T165,Rafa Cabrera Bello,57,"6' 8""",1833.9170000000001,275
168,T168,T151,Wyndham Clark,61,"6' 8""",2461.583,369
169,T168,T165,Marc Leishman,52,"6' 8""",1682.5829999999999,253
170,T168,T189,Josh Teater,47,"6' 8""",1332.0,199
171,T172,T165,Daniel Berger,48,"6' 7""",1924.75,293
172,T172,T165,Keegan Bradley,65,"6' 7""",1893.25,286
173,T172,T165,Jim Furyk,53,"6' 7""",1907.0829999999999,288
174,T172,T175,Branden Grace,62,"6' 7""",1644.5,251
175,T172,T151,Stephan Jaeger,59,"6' 7""",1940.75,296
176,T172,T175,Si Woo Kim,65,"6' 7""",2110.667,322
177,T172,T165,Scott Langley,60,"6' 7""",2382.5,363
178,T172,T175,Hideki Matsuyama,59,"6' 7""",2074.667,314
179,T172,T175,Kyle Stanley,53,"6' 7""",1313.5829999999999,199
180,T172,T175,Kevin Streelman,63,"6' 7""",2382.833,363
181,T172,T151,Chris Thompson,34,"6' 7""",976.75,149
182,T183,T165,Alex Cejka,41,"6' 6""",1224.667,188
183,T183,T185,Tommy Fleetwood,43,"6' 6""",1198.167,184
184,T183,T189,Bill Haas,58,"6' 6""",2003.5,309
185,T183,T189,Russell Henley,56,"6' 6""",1911.25,293
186,T183,T185,Jim Herman,37,"6' 6""",1227.25,189
187,T183,T175,Zach Johnson,50,"6' 6""",2033.5829999999999,311
188,T183,T185,Andrew Landry,56,"6' 6""",1946.75,298
189,T183,T175,Scott Stallings,63,"6' 6""",2299.083,352
190,T183,T175,Jimmy Walker,61,"6' 6""",2159.917,332
191,T192,T189,Brandon Harkins,67,"6' 5""",2346.833,366
192,T192,T189,Grayson Murray,36,"6' 5""",1099.917,171
193,T192,T189,Robert Streb,60,"6' 5""",1866.3329999999999,292
194,T192,T197,Bubba Watson,47,"6' 5""",1592.25,249
195,T196,T189,Jonathan Byrd,43,"6' 4""",1312.0829999999999,208
196,T196,T197,Bud Cauley,61,"6' 4""",2627.333,416
197,T196,T189,Brian Harman,67,"6' 4""",2212.0,349
198,T196,T151,Rod Pampling,40,"6' 4""",1058.25,167
199,T196,T199,Seth Reeves,52,"6' 4""",1586.0829999999999,249
200,T201,T201,Tyler Duncan,66,"6' 3""",1843.4170000000001,294
201,T201,T201,Sergio Garcia,39,"6' 3""",1306.25,209
202,T201,T205,José de Jesús Rodríguez,51,"6' 3""",1782.75,286
203,T204,T201,Louis Oosthuizen,43,"6' 2""",1048.833,171
204,T204,999,Tyrone Van Aswegen,30,"6' 2""",798.0830000000001,130
205,T206,T205,Byeong Hun An,54,"6' 1""",1704.0,281
206,T206,T199,J.B. Holmes,54,"6' 1""",1230.25,201
207,T206,T201,Martin Trainer,51,"6' 1""",1878.75,309
208,209,207,Sam Saunders,53,"5' 11""",2016.8329999999999,340
