,Average_Putting_Distance_-_All_1_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_1_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_1_putts_PLAYER NAME,Average_Putting_Distance_-_All_1_putts_ROUNDS,Average_Putting_Distance_-_All_1_putts_AVG,Average_Putting_Distance_-_All_1_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_1_putts_TOTAL PUTTS
0,1,1,Stewart Cink,33,"8' 10""",1357.5829999999999,154
1,2,3,Justin Harding,31,"8' 8""",743.5,86
2,3,T4,John Senden,39,"8' 6""",1296.083,153
3,4,6,Jordan Spieth,57,"8' 5""",2968.5,354
4,5,2,Sepp Straka,48,"8' 4""",1847.75,221
5,T6,T4,Lucas Bjerregaard,37,"8' 3""",1165.5,141
6,T6,T8,John Chin,38,"8' 3""",1094.083,133
7,T6,T8,Curtis Luck,51,"8' 3""",2043.75,247
8,T9,T10,Cameron Champ,58,"8' 2""",2661.5,327
9,T9,T10,Patrick Rodgers,44,"8' 2""",2184.5,268
10,T9,7,Johnson Wagner,45,"8' 2""",1801.8329999999999,220
11,12,T12,Andrew Putnam,57,"8' 1""",2284.833,284
12,13,T14,Kevin Na,54,"8' 0""",1887.9170000000001,236
13,T14,T16,Denny McCarthy,63,"7' 11""",2783.833,352
14,T14,T12,Shawn Stefani,57,"7' 11""",2031.75,257
15,T16,T20,Joel Dahmen,78,"7' 10""",3082.417,392
16,T16,T20,Rickie Fowler,54,"7' 10""",2579.0,330
17,T16,T14,Talor Gooch,37,"7' 10""",1721.9170000000001,219
18,T16,999,Shane Lowry,30,"7' 10""",1215.75,156
19,T16,T20,Jhonattan Vegas,60,"7' 10""",2412.333,309
20,T21,T25,Jason Day,45,"7' 9""",1426.9170000000001,184
21,T21,T25,Lucas Glover,62,"7' 9""",2908.917,376
22,T21,T25,Chesson Hadley,58,"7' 9""",2385.75,308
23,T21,T20,Nate Lashley,44,"7' 9""",1696.1670000000001,220
24,T21,T45,Hank Lebioda,55,"7' 9""",2021.0829999999999,262
25,T21,T25,Peter Uihlein,65,"7' 9""",2570.833,330
26,T21,T25,Tiger Woods,31,"7' 9""",1144.333,147
27,T28,T58,Roberto Díaz,51,"7' 8""",1830.5,239
28,T28,T16,Whee Kim,57,"7' 8""",1680.1670000000001,218
29,T28,999,Martin Piller,30,"7' 8""",992.4169999999999,129
30,T28,T31,Sam Ryder,52,"7' 8""",2327.0,305
31,T28,T31,Ben Silverman,54,"7' 8""",2274.0,296
32,T33,T33,Sangmoon Bae,42,"7' 7""",1345.9170000000001,178
33,T33,T16,Joey Garber,44,"7' 7""",1326.25,174
34,T33,T33,Brice Garnett,63,"7' 7""",1915.0,252
35,T33,T33,Billy Horschel,73,"7' 7""",2421.167,320
36,T33,T58,Martin Laird,60,"7' 7""",2611.333,346
37,T33,T33,"Ted Potter, Jr.",56,"7' 7""",2261.917,299
38,T33,T33,Justin Rose,42,"7' 7""",1699.5,225
39,T33,T33,Adam Scott,41,"7' 7""",1414.0,187
40,T33,T25,Cameron Tringale,52,"7' 7""",1928.5,253
41,T42,T16,Ben Crane,41,"7' 6""",1445.8329999999999,192
42,T42,T45,Bryson DeChambeau,45,"7' 6""",2160.25,289
43,T42,T45,Emiliano Grillo,65,"7' 6""",1948.5829999999999,259
44,T42,T45,Charley Hoffman,58,"7' 6""",1929.6670000000001,258
45,T42,T45,Beau Hossler,66,"7' 6""",2890.083,387
46,T42,T45,Sung Kang,67,"7' 6""",2842.833,381
47,T42,T33,Kelly Kraft,67,"7' 6""",2482.25,331
48,T42,T33,Scott Piercy,70,"7' 6""",2634.417,353
49,T42,T45,Charl Schwartzel,34,"7' 6""",925.4169999999999,123
50,T42,T20,D.J. Trahan,33,"7' 6""",857.75,114
51,T42,T45,Richy Werenski,63,"7' 6""",2620.333,350
52,T42,T45,Gary Woodland,63,"7' 6""",2197.917,293
53,T42,T33,Chase Wright,53,"7' 6""",2073.0,276
54,T55,T58,Kiradech Aphibarnrat,49,"7' 5""",1840.75,249
55,T55,T58,Corey Conners,62,"7' 5""",2042.9170000000001,276
56,T55,T33,Matt Every,38,"7' 5""",1358.4170000000001,183
57,T55,T58,Tyrrell Hatton,46,"7' 5""",1416.5829999999999,192
58,T55,T58,Charles Howell III,64,"7' 5""",2266.25,304
59,T55,T33,Dustin Johnson,47,"7' 5""",1906.9170000000001,256
60,T55,T58,Matt Jones,67,"7' 5""",2399.0,324
61,T55,T45,Jim Knous,55,"7' 5""",1825.5,247
62,T55,T72,Danny Lee,66,"7' 5""",3002.083,405
63,T55,T72,Graeme McDowell,61,"7' 5""",2298.5,311
64,T55,T58,Rory Sabbatini,71,"7' 5""",3032.167,411
65,T55,T45,Adam Schenk,80,"7' 5""",3183.333,427
66,T55,T33,Chris Stroud,54,"7' 5""",2165.75,291
67,T55,T72,Hudson Swafford,59,"7' 5""",2305.917,312
68,T55,T58,Vaughn Taylor,69,"7' 5""",3524.667,473
69,T70,T94,Scott Brown,66,"7' 4""",2433.667,333
70,T70,T72,Sam Burns,66,"7' 4""",2949.667,400
71,T70,T45,Cameron Davis,54,"7' 4""",1961.6670000000001,267
72,T70,T58,Brian Gay,79,"7' 4""",3200.417,436
