,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
139,T140,T128,Corey Conners,62,0.25,79,2.0
140,T140,T141,Lucas Glover,62,0.25,119,3.0
141,T140,T141,Sung Kang,67,0.25,121,3.0
142,T140,T141,Anirban Lahiri,54,0.25,80,2.0
143,T140,T128,José de Jesús Rodríguez,51,0.25,80,2.0
144,T140,T141,Xander Schauffele,55,0.25,80,2.0
145,T146,T171,Roberto Castro,54,0.24,83,2.0
146,T146,T137,Julián Etulain,55,0.24,83,2.0
147,T146,T137,Alex Noren,49,0.24,82,2.0
148,T146,T178,Seth Reeves,52,0.24,84,2.0
149,T146,999,Tyrone Van Aswegen,30,0.24,41,1.0
150,T151,T145,Brian Gay,79,0.23,133,3.0
151,T151,T137,David Hearn,41,0.23,43,1.0
152,T151,T145,Kyle Jones,49,0.23,88,2.0
153,T151,T145,Ryan Palmer,56,0.23,88,2.0
154,T155,T152,Brice Garnett,63,0.22,91,2.0
155,T155,T150,Tom Hoge,70,0.22,89,2.0
156,T155,T145,Scott Stallings,63,0.22,90,2.0
157,T158,T154,Tony Finau,61,0.21,97,2.0
158,T158,T154,Keith Mitchell,64,0.21,95,2.0
159,T160,157,Bud Cauley,61,0.19,103,2.0
160,T160,T150,Joey Garber,44,0.19,53,1.0
161,T160,T145,Rod Pampling,40,0.19,54,1.0
162,T160,T158,Adam Scott,41,0.19,54,1.0
163,T160,T158,Brian Stuard,76,0.19,108,2.0
164,165,161,Luke List,52,0.18,110,2.0
165,166,T162,Jason Kokrak,68,0.17,120,2.0
166,T167,T165,Paul Casey,51,0.16,64,1.0
167,T167,T165,Branden Grace,62,0.16,63,1.0
168,T167,T162,Martin Laird,60,0.16,127,2.0
169,T167,T165,Grayson Murray,36,0.16,64,1.0
170,T167,T165,Jon Rahm,51,0.16,63,1.0
171,T167,T165,Kyle Stanley,53,0.16,61,1.0
172,T173,T162,Sangmoon Bae,42,0.15,68,1.0
173,T173,T165,J.B. Holmes,54,0.15,66,1.0
174,T175,T171,Kiradech Aphibarnrat,49,0.14,71,1.0
175,T175,T171,Tyrrell Hatton,46,0.14,70,1.0
176,T175,T171,Michael Kim,51,0.14,70,1.0
177,T175,T171,J.T. Poston,76,0.14,144,2.0
178,T175,T171,Ian Poulter,49,0.14,72,1.0
179,T175,T189,Henrik Stenson,46,0.14,74,1.0
180,T181,T171,Zach Johnson,50,0.13,77,1.0
181,T181,T178,Martin Trainer,51,0.13,78,1.0
182,183,T180,Marc Leishman,52,0.12,85,1.0
183,T184,T184,Wyndham Clark,61,0.11,95,1.0
184,T184,T180,Tyler Duncan,66,0.11,91,1.0
185,T184,T180,Graeme McDowell,61,0.11,90,1.0
186,T184,T180,Alex Prugh,54,0.11,93,1.0
187,T188,T189,Scott Brown,66,0.1,97,1.0
188,T188,T184,Jim Furyk,53,0.1,97,1.0
189,T188,186,Kevin Kisner,65,0.1,101,1.0
190,T191,T187,Hideki Matsuyama,59,0.09,106,1.0
191,T191,T187,Kevin Streelman,63,0.09,110,1.0
192,T193,T189,Aaron Baddeley,51,0.0,73,
193,T193,T189,Daniel Berger,48,0.0,95,
194,T193,T189,Jonathan Byrd,43,0.0,49,
195,T193,T189,Matthew Fitzpatrick,42,0.0,66,
196,T193,T189,Tommy Fleetwood,43,0.0,41,
197,T193,T189,Adam Hadwin,66,0.0,88,
198,T193,T189,James Hahn,34,0.0,42,
199,T193,T189,Patton Kizzire,58,0.0,98,
200,T193,T189,Hunter Mahan,45,0.0,75,
201,T193,T189,Troy Merritt,42,0.0,72,
202,T193,T189,Louis Oosthuizen,43,0.0,43,
203,T193,999,Martin Piller,30,0.0,28,
204,T193,T189,Sam Saunders,53,0.0,90,
205,T193,T189,Sepp Straka,48,0.0,61,
206,T193,T189,Robert Streb,60,0.0,107,
207,T193,T189,Josh Teater,47,0.0,63,
208,T193,T189,Chris Thompson,34,0.0,53,
