,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,1,1,Stewart Cink,33,"13' 4""",827.0,62
1,2,2,Justin Harding,31,"13' 3""",490.75,37
2,3,4,John Senden,39,"12' 9""",878.4169999999999,69
3,4,6,Chris Stroud,54,"12' 5""",1398.4170000000001,113
4,5,T8,Peter Uihlein,65,"12' 4""",1695.3329999999999,137
5,6,7,Charl Schwartzel,34,"12' 3""",552.9169999999999,45
6,T7,T8,Patrick Rodgers,44,"12' 2""",1532.9170000000001,126
7,T7,T8,Jordan Spieth,57,"12' 2""",2001.0,164
8,T7,12,Johnson Wagner,45,"12' 2""",1251.167,103
9,T10,5,Lucas Bjerregaard,37,"12' 0""",732.25,61
10,T10,T33,Roberto Díaz,51,"12' 0""",1233.0,103
11,T10,T15,Curtis Luck,51,"12' 0""",1246.5,104
12,T13,999,Shane Lowry,30,"11' 11""",786.75,66
13,T13,13,D.A. Points,33,"11' 11""",488.833,41
14,15,3,Joey Garber,44,"11' 9""",811.75,69
15,T16,T18,Rickie Fowler,54,"11' 8""",1765.0829999999999,151
16,T16,T18,Billy Horschel,73,"11' 8""",1509.5,129
17,T16,T18,Denny McCarthy,63,"11' 8""",1819.9170000000001,156
18,T16,T18,Andrew Putnam,57,"11' 8""",1629.9170000000001,140
19,T20,T18,Ryan Armour,66,"11' 7""",1598.25,138
20,T20,T24,Joel Dahmen,78,"11' 7""",2024.75,175
21,T20,T24,Beau Hossler,66,"11' 7""",1901.1670000000001,164
22,T20,T24,Kevin Na,54,"11' 7""",1272.083,110
23,T20,T8,Sepp Straka,48,"11' 7""",1205.833,104
24,T25,T15,Austin Cook,50,"11' 6""",1196.75,104
25,T25,T27,Lucas Glover,62,"11' 6""",1846.6670000000001,161
26,T25,T27,"Ted Potter, Jr.",56,"11' 6""",1493.8329999999999,130
27,T25,T15,Shawn Stefani,57,"11' 6""",1359.9170000000001,118
28,T25,T33,D.J. Trahan,33,"11' 6""",585.1669999999999,51
29,T30,T33,Ernie Els,43,"11' 5""",766.4169999999999,67
30,T30,T40,Kelly Kraft,67,"11' 5""",1435.9170000000001,126
31,T32,T27,Jonas Blixt,66,"11' 4""",1760.0,155
32,T32,T37,John Chin,38,"11' 4""",723.75,64
33,T32,T18,Talor Gooch,37,"11' 4""",1175.833,104
34,T32,T27,Whee Kim,57,"11' 4""",1111.583,98
35,T32,T27,Jim Knous,55,"11' 4""",1215.917,107
36,T32,T37,Pat Perez,52,"11' 4""",920.5,81
37,T32,T40,Ben Silverman,54,"11' 4""",1484.3329999999999,131
38,T32,T40,Richy Werenski,63,"11' 4""",1654.9170000000001,146
39,T40,T27,Sangmoon Bae,42,"11' 3""",819.5830000000001,73
40,T40,T40,Cameron Champ,58,"11' 3""",1840.4170000000001,163
41,T40,T40,Chesson Hadley,58,"11' 3""",1412.5,126
42,T40,T40,Charles Howell III,64,"11' 3""",1629.1670000000001,145
43,T44,T48,Brice Garnett,63,"11' 2""",1254.0,112
44,T44,T48,Charley Hoffman,58,"11' 2""",1343.5,120
45,T44,T48,Cameron Smith,55,"11' 2""",1179.583,106
46,T44,T48,Michael Thompson,56,"11' 2""",1858.25,167
47,T44,T37,Cameron Tringale,52,"11' 2""",1340.4170000000001,120
48,T44,T48,Jhonattan Vegas,60,"11' 2""",1632.0829999999999,146
49,T44,T48,Tiger Woods,31,"11' 2""",904.75,81
50,T51,T54,C.T. Pan,64,"11' 1""",1197.25,108
51,T51,T54,Xander Schauffele,55,"11' 1""",1229.167,111
52,T51,T33,Brady Schnell,38,"11' 1""",795.1669999999999,72
53,T51,T40,J.J. Spaun,68,"11' 1""",1539.9170000000001,139
54,T55,T57,Sam Burns,66,"11' 0""",1805.3329999999999,164
55,T55,T57,Freddie Jacobson,37,"11' 0""",747.0830000000001,68
56,T55,T62,Danny Lee,66,"11' 0""",1951.6670000000001,177
57,T55,T40,Graeme McDowell,61,"11' 0""",1324.9170000000001,120
58,T55,T57,Carlos Ortiz,60,"11' 0""",1411.3329999999999,128
59,T55,999,Martin Piller,30,"11' 0""",538.9169999999999,49
60,T55,T57,Harold Varner III,62,"11' 0""",1622.0829999999999,148
61,T62,14,Ben Crane,41,"10' 11""",839.3330000000001,77
62,T62,T62,Jason Dufner,56,"10' 11""",1200.417,110
63,T62,T62,Matt Jones,67,"10' 11""",1574.1670000000001,144
64,T62,T62,Scott Piercy,70,"10' 11""",1817.5829999999999,167
65,T62,T62,Matt Wallace,31,"10' 11""",688.5,63
66,T67,T57,Mackenzie Hughes,58,"10' 10""",1300.417,120
67,T67,T67,Sung Kang,67,"10' 10""",1794.4170000000001,166
68,T67,T67,Vaughn Taylor,69,"10' 10""",2262.25,209
69,T67,T67,Chase Wright,53,"10' 10""",1265.083,117
70,T71,T67,Dustin Johnson,47,"10' 9""",1397.5,130
71,T71,T72,Kevin Kisner,65,"10' 9""",1372.75,128
72,T71,T72,Kyoung-Hoon Lee,72,"10' 9""",1606.9170000000001,149
73,T71,T72,Brian Stuard,76,"10' 9""",1793.6670000000001,167
74,T75,T80,Tyrrell Hatton,46,"10' 8""",983.0,92
75,T75,T80,Phil Mickelson,41,"10' 8""",1043.083,98
76,T75,T110,Sebastián Muñoz,58,"10' 8""",1432.5829999999999,134
77,T75,T54,Alex Noren,49,"10' 8""",952.0830000000001,89
78,T75,T80,Sam Ryder,52,"10' 8""",1475.0829999999999,138
79,T75,T80,Rory Sabbatini,71,"10' 8""",1991.0,186
80,T75,T87,Nick Taylor,70,"10' 8""",2117.167,199
81,T82,T87,Abraham Ancer,69,"10' 7""",1652.75,156
82,T82,T126,Scott Brown,66,"10' 7""",1548.5,146
83,T82,T87,Bryson DeChambeau,45,"10' 7""",1474.3329999999999,139
84,T82,T80,Brian Gay,79,"10' 7""",1837.5,174
85,T82,T87,Emiliano Grillo,65,"10' 7""",1338.25,126
86,T82,T87,Michael Kim,51,"10' 7""",921.5830000000001,87
87,T82,T87,Hunter Mahan,45,"10' 7""",1054.75,100
88,T82,T87,J.T. Poston,76,"10' 7""",2077.833,196
89,T82,T87,Adam Scott,41,"10' 7""",900.6669999999999,85
90,T82,T87,Brendan Steele,50,"10' 7""",1029.083,97
91,T82,T80,Adam Svensson,51,"10' 7""",1248.5,118
92,T82,T110,Kevin Tway,62,"10' 7""",1385.0,131
93,T94,T100,Bronson Burgoon,37,"10' 6""",847.9169999999999,81
94,T94,T139,Roberto Castro,54,"10' 6""",1292.417,123
95,T94,T110,Dylan Frittelli,55,"10' 6""",1374.0829999999999,131
96,T94,T72,Cody Gribble,52,"10' 6""",1178.25,112
97,T94,T182,J.J. Henry,42,"10' 6""",610.25,58
98,T94,T87,Kramer Hickok,59,"10' 6""",1199.583,114
99,T94,T100,Max Homa,61,"10' 6""",1390.0,132
100,T94,T132,Sungjae Im,88,"10' 6""",2465.083,234
101,T94,T100,Nate Lashley,44,"10' 6""",1113.75,106
102,T94,T100,Haotong Li,32,"10' 6""",609.8330000000001,58
103,T94,T67,Roger Sloan,62,"10' 6""",1582.4170000000001,151
104,T94,T110,Hudson Swafford,59,"10' 6""",1507.25,144
105,T94,T100,Gary Woodland,63,"10' 6""",1529.9170000000001,146
106,T107,T87,Cameron Davis,54,"10' 5""",1233.583,118
107,T107,T105,Tony Finau,61,"10' 5""",1258.583,121
108,T107,T72,Fabián Gómez,44,"10' 5""",940.75,90
109,T107,T87,Kyle Jones,49,"10' 5""",929.75,89
110,T107,T105,Martin Kaymer,38,"10' 5""",998.4169999999999,96
111,T107,T72,Scott Langley,60,"10' 5""",1494.6670000000001,143
112,T107,T110,Joaquin Niemann,68,"10' 5""",1523.8329999999999,146
113,T114,T105,Anders Albertson,48,"10' 4""",1023.9169999999999,99
114,T114,T110,Ryan Blaum,67,"10' 4""",1703.1670000000001,165
115,T114,T80,Alex Cejka,41,"10' 4""",724.4169999999999,70
116,T114,T110,Jason Day,45,"10' 4""",937.4169999999999,91
117,T114,T87,Harris English,72,"10' 4""",1784.25,173
118,T114,T110,James Hahn,34,"10' 4""",434.5,42
119,T114,T72,Brian Harman,67,"10' 4""",1316.4170000000001,127
120,T114,T110,John Huh,35,"10' 4""",721.0830000000001,70
121,T114,T110,Patton Kizzire,58,"10' 4""",1167.917,113
122,T114,T110,Anirban Lahiri,54,"10' 4""",1215.833,118
123,T114,T110,Ryan Moore,54,"10' 4""",1565.6670000000001,152
124,T114,T146,Brandt Snedeker,68,"10' 4""",1691.9170000000001,164
125,T114,T132,Danny Willett,47,"10' 4""",1155.833,112
126,T127,T161,Hank Lebioda,55,"10' 3""",1396.5,136
127,T127,T123,Peter Malnati,64,"10' 3""",1788.25,175
128,T127,T123,Francesco Molinari,41,"10' 3""",790.4169999999999,77
129,T127,T105,Ryan Palmer,56,"10' 3""",1378.5829999999999,134
130,T127,T110,Adam Schenk,80,"10' 3""",2072.667,202
131,T127,T169,Ollie Schniederjans,63,"10' 3""",1501.3329999999999,147
132,T133,T126,Aaron Baddeley,51,"10' 2""",1311.0829999999999,129
133,T133,T126,Branden Grace,62,"10' 2""",1019.75,100
134,T133,T105,Stephan Jaeger,59,"10' 2""",1197.5,118
135,T133,T146,Martin Laird,60,"10' 2""",1571.3329999999999,155
136,T133,T126,Chez Reavie,67,"10' 2""",1304.333,128
137,T133,T123,Wes Roach,45,"10' 2""",854.6669999999999,84
138,T133,T126,Kyle Stanley,53,"10' 2""",831.8330000000001,82
139,T140,T132,Russell Knox,65,"10' 1""",1517.4170000000001,151
140,T140,T132,Luke List,52,"10' 1""",1377.4170000000001,137
141,T140,T132,Ian Poulter,49,"10' 1""",1065.5,106
142,T140,T146,Seamus Power,58,"10' 1""",1157.167,115
143,T140,T132,Justin Rose,42,"10' 1""",1052.417,104
144,T140,T126,Webb Simpson,53,"10' 1""",1540.8329999999999,153
145,T140,T72,Chris Thompson,34,"10' 1""",584.5,58
146,T140,999,Tyrone Van Aswegen,30,"10' 1""",424.25,42
147,T148,T139,Kiradech Aphibarnrat,49,"10' 0""",1101.25,110
148,T148,T139,Dominic Bozzelli,53,"10' 0""",1143.75,114
149,T148,T139,Paul Casey,51,"10' 0""",1012.8330000000001,101
150,T148,T132,Julián Etulain,55,"10' 0""",1113.417,111
151,T148,T139,Adam Long,52,"10' 0""",1099.583,110
152,T153,T146,Matthew Fitzpatrick,42,"9' 11""",843.0,85
153,T153,T169,Russell Henley,56,"9' 11""",1216.75,123
154,T153,T182,Jim Herman,37,"9' 11""",772.0,78
