,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Curtis Luck,51,21.75,331,72
1,2,999,Martin Piller,30,21.02,176,37
2,3,2,Andrew Putnam,57,20.54,370,76
3,4,3,Jordan Spieth,57,20.52,458,94
4,5,5,Sam Ryder,52,20.05,414,83
5,T6,T6,Jason Day,45,20.0,265,53
6,T6,T6,Adam Scott,41,20.0,245,49
7,8,8,Vaughn Taylor,69,19.59,582,114
8,9,9,Justin Rose,42,19.31,290,56
9,10,T10,Stewart Cink,33,19.21,229,44
10,11,T10,Peter Uihlein,65,19.06,446,85
11,12,12,Dustin Johnson,47,19.02,347,66
12,13,4,Sepp Straka,48,18.98,353,67
13,14,14,Aaron Baddeley,51,18.62,376,70
14,15,13,Johnson Wagner,45,18.31,366,67
15,16,T16,Justin Harding,31,18.12,138,25
16,17,18,Graeme McDowell,61,18.08,426,77
17,18,19,Ben Silverman,54,18.06,454,82
18,19,20,Patrick Rodgers,44,17.92,413,74
19,20,32,Cameron Tringale,52,17.87,347,62
20,21,23,Patton Kizzire,58,17.86,392,70
21,22,24,Chesson Hadley,58,17.82,449,80
22,23,15,Denny McCarthy,63,17.81,511,91
23,24,25,Chase Wright,53,17.67,430,76
24,25,31,Dominic Bozzelli,53,17.6,341,60
25,T26,28,Kiradech Aphibarnrat,49,17.48,349,61
26,T26,27,Austin Cook,50,17.48,349,61
27,28,21,Adam Schenk,80,17.41,649,113
28,29,30,Charl Schwartzel,34,17.36,144,25
29,30,22,Peter Malnati,64,17.28,515,89
30,31,33,Sung Kang,67,17.26,562,97
31,32,34,Matt Wallace,31,17.24,232,40
32,33,35,Rickie Fowler,54,17.23,470,81
33,34,36,Michael Thompson,56,17.21,523,90
34,35,37,Bryson DeChambeau,45,17.19,384,66
35,36,38,Lucas Glover,62,17.18,582,100
36,37,29,Richy Werenski,63,17.17,559,96
37,38,39,Si Woo Kim,65,17.13,362,62
38,39,40,Kevin Na,54,17.11,339,58
39,40,T43,Rory Sabbatini,71,17.03,552,94
40,41,26,Brian Gay,79,17.0,594,101
41,42,46,Beau Hossler,66,16.94,549,93
42,43,41,Ryan Armour,66,16.89,527,89
