,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,1,1,Wyndham Clark,61,"57' 8""",6.917999999999999,10
1,2,2,Patrick Cantlay,49,"56' 1""",7.404,11
2,3,3,Ryan Palmer,56,"54' 4""",14.338,22
3,4,4,Phil Mickelson,41,"54' 2""",7.794,12
4,5,5,Haotong Li,32,"53' 5""",11.529000000000002,18
5,6,8,Scott Langley,60,"53' 0""",7.627000000000001,12
6,7,999,Chris Thompson,34,"52' 11""",7.619,12
7,8,T9,Hudson Swafford,59,"52' 1""",7.499,12
8,9,T6,Harold Varner III,62,"52' 0""",14.359000000000002,23
9,10,T6,Denny McCarthy,63,"51' 10""",9.948,16
10,11,11,Roberto Díaz,51,"51' 5""",11.097000000000001,18
11,12,T13,Jonas Blixt,66,"51' 2""",11.048,18
12,13,T21,Jonathan Byrd,43,"50' 11""",9.171,15
13,14,12,Kiradech Aphibarnrat,49,"50' 10""",8.54,14
14,15,T13,Charles Howell III,64,"50' 7""",10.921,18
15,T16,T15,Rafa Cabrera Bello,57,"50' 6""",9.702,16
16,T16,T15,Jordan Spieth,57,"50' 6""",10.915999999999999,18
17,18,17,Adam Long,52,"50' 5""",13.308,22
18,19,31,Robert Streb,60,"50' 1""",9.623,16
19,20,19,Justin Thomas,49,"50' 0""",10.208,17
20,21,20,J.J. Henry,42,"49' 11""",8.987,15
21,22,T9,Aaron Wise,52,"49' 10""",10.162,17
22,23,T21,Andrew Putnam,57,"49' 9""",5.973,10
23,24,23,Johnson Wagner,45,"49' 7""",9.513,16
24,T25,T24,Byeong Hun An,54,"49' 6""",8.912,15
25,T25,T24,Matthew Fitzpatrick,42,"49' 6""",8.314,14
26,T27,T26,Stephan Jaeger,59,"49' 5""",12.462,21
27,T27,T26,Alex Prugh,54,"49' 5""",8.896,15
28,T29,28,Tyrrell Hatton,46,"49' 4""",7.108,12
29,T29,29,Brooks Koepka,49,"49' 4""",11.252,19
30,T31,30,Anirban Lahiri,54,"48' 11""",11.154000000000002,19
