,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
116,T115,T65,D.J. Trahan,39.68,50,126
117,T118,116,Tommy Fleetwood,39.51,64,162
118,T118,T143,José de Jesús Rodríguez,39.51,64,162
119,T118,115,Danny Willett,39.51,64,162
120,121,T117,Russell Henley,39.44,71,180
121,122,T103,Stephan Jaeger,39.39,78,198
122,T123,T120,Byeong Hun An,39.35,85,216
123,T123,T120,Ryan Blaum,39.35,85,216
124,T123,T120,Kevin Kisner,39.35,85,216
125,126,124,Richy Werenski,39.32,92,234
126,T127,T125,Austin Cook,38.89,56,144
127,T127,119,Dylan Frittelli,38.89,84,216
128,T127,T125,Justin Harding,38.89,35,90
129,T127,T125,Tom Hoge,38.89,77,198
130,T127,T125,Charl Schwartzel,38.89,35,90
131,T127,T125,Shawn Stefani,38.89,63,162
132,T127,T125,Chris Stroud,38.89,56,144
133,T127,T125,Michael Thompson,38.89,77,198
134,T127,T117,Harold Varner III,38.89,77,198
135,136,T125,Sungjae Im,38.58,125,324
136,137,137,Jhonattan Vegas,38.43,83,216
137,T138,139,Rory McIlroy,38.38,76,198
138,T138,138,"Ted Potter, Jr.",38.38,76,198
139,T140,T140,J.B. Holmes,38.27,62,162
140,T140,T140,Johnson Wagner,38.27,62,162
141,T142,T143,James Hahn,38.19,55,144
142,T142,T143,Adam Svensson,38.19,55,144
143,T144,T146,Anders Albertson,38.1,48,126
144,T144,T146,Beau Hossler,38.1,96,252
145,T144,T146,Kyle Jones,38.1,48,126
146,T147,T149,Marc Leishman,37.88,75,198
147,T147,T149,Pat Perez,37.88,75,198
148,149,151,Billy Horschel,37.85,109,288
149,T150,T88,Kelly Kraft,37.78,68,180
150,T150,189,Rod Pampling,37.78,34,90
151,T150,T152,D.A. Points,37.78,34,90
152,T150,T152,Sam Saunders,37.78,68,180
153,T150,999,Tyrone Van Aswegen,37.78,34,90
154,T155,T155,Satoshi Kodaira,37.65,61,162
155,T155,T155,Carlos Ortiz,37.65,61,162
156,157,157,Lucas Glover,37.61,88,234
157,158,158,Louis Oosthuizen,37.5,54,144
158,T159,T159,Cameron Champ,37.37,74,198
159,T159,T159,Ryan Moore,37.37,74,198
160,T159,T152,Ben Silverman,37.37,74,198
161,T162,167,Graeme McDowell,37.3,94,252
162,T162,161,Phil Mickelson,37.3,47,126
163,T164,T182,Brooks Koepka,37.22,67,180
164,T164,162,Jon Rahm,37.22,67,180
165,166,T171,Jonas Blixt,37.18,87,234
166,167,136,Adam Schenk,37.15,107,288
167,T168,T163,J.J. Henry,37.04,40,108
168,T168,T163,Kevin Streelman,37.04,80,216
169,T168,T168,Chris Thompson,37.04,40,108
170,T171,166,Branden Grace,36.87,73,198
171,T171,T168,Justin Thomas,36.87,73,198
172,173,T168,Stewart Cink,36.67,33,90
173,174,T171,Max Homa,36.57,79,216
174,T175,T163,Cody Gribble,36.51,46,126
175,T175,T125,Josh Teater,36.51,46,126
176,177,173,Seth Reeves,36.42,59,162
177,178,174,Sam Ryder,36.36,72,198
178,179,175,Charles Howell III,36.32,85,234
179,T180,T176,Abraham Ancer,36.11,91,252
180,T180,T176,Lucas Bjerregaard,36.11,39,108
181,T180,181,Sebastián Muñoz,36.11,78,216
182,T180,T176,Ollie Schniederjans,36.11,65,180
183,184,180,Gary Woodland,35.93,97,270
184,T185,T182,Andrew Landry,35.8,58,162
185,T185,T182,Chase Wright,35.8,58,162
186,187,185,Francesco Molinari,35.42,51,144
187,188,T186,Brice Garnett,35.35,70,198
188,T189,190,Brian Harman,35.19,76,216
189,T189,T186,Ryan Palmer,35.19,76,216
190,T189,T198,Henrik Stenson,35.19,57,162
191,192,188,Emiliano Grillo,34.81,94,270
192,193,T176,Sepp Straka,34.57,56,162
193,194,197,Joaquin Niemann,34.44,93,270
194,T195,T191,Matt Every,34.26,37,108
195,T195,T191,Tiger Woods,34.26,37,108
196,197,T193,Luke List,33.89,61,180
197,T198,T195,Jason Dufner,33.84,67,198
198,T198,T193,Jim Knous,33.84,67,198
199,T198,201,Hank Lebioda,33.84,67,198
200,201,T195,Martin Laird,33.8,73,216
201,202,T198,Michael Kim,33.33,30,90
202,203,202,Fabián Gómez,32.72,53,162
203,204,203,Alex Prugh,32.1,52,162
204,T205,T198,Tyler Duncan,31.94,69,216
205,T205,204,Ernie Els,31.94,46,144
206,207,205,Jim Herman,31.48,17,54
207,208,206,John Senden,30.56,44,144
208,209,207,Kevin Tway,27.27,54,198
