,GIR_Putting_-_20-25_RANK THIS WEEK,GIR_Putting_-_20-25_RANK LAST WEEK,GIR_Putting_-_20-25_PLAYER NAME,GIR_Putting_-_20-25_ROUNDS,GIR_Putting_-_20-25_%,GIR_Putting_-_20-25_ATTEMPTS,GIR_Putting_-_20-25_PUTTS MADE
103,T104,119,Dylan Frittelli,55,11.76,68,8.0
104,T104,T127,Joey Garber,44,11.76,34,4.0
105,T104,T104,Tyrrell Hatton,46,11.76,34,4.0
106,T104,T82,Henrik Stenson,46,11.76,34,4.0
107,108,T80,Danny Lee,66,11.67,60,7.0
108,T109,T69,Cody Gribble,52,11.63,43,5.0
109,T109,T108,Patrick Reed,53,11.63,43,5.0
110,T111,79,John Chin,38,11.54,26,3.0
111,T111,110,C.T. Pan,64,11.54,52,6.0
112,T113,134,Jonas Blixt,66,11.48,61,7.0
113,T113,103,Harris English,72,11.48,61,7.0
114,T113,111,Chris Kirk,47,11.48,61,7.0
115,116,T112,John Senden,39,11.43,35,4.0
116,117,T114,Rafa Cabrera Bello,57,11.36,44,5.0
117,118,118,Sam Ryder,52,11.32,53,6.0
118,119,T106,Ollie Schniederjans,63,11.29,62,7.0
119,T120,T120,Michael Kim,51,11.11,45,5.0
120,T120,T112,Shawn Stefani,57,11.11,36,4.0
121,T120,T114,Aaron Wise,52,11.11,45,5.0
122,T120,T108,Chase Wright,53,11.11,45,5.0
123,124,123,Michael Thompson,56,10.96,73,8.0
124,125,T90,Roger Sloan,62,10.94,64,7.0
125,T126,T135,Ryan Palmer,56,10.87,46,5.0
126,T126,124,Kyle Stanley,53,10.87,46,5.0
127,T126,T114,Adam Svensson,51,10.87,46,5.0
128,129,96,Jim Furyk,53,10.77,65,7.0
129,130,176,Kelly Kraft,67,10.64,47,5.0
130,131,T129,Kevin Tway,62,10.61,66,7.0
131,T132,T125,David Hearn,41,10.53,38,4.0
132,T132,T127,Tom Hoge,70,10.53,57,6.0
133,T132,153,Brooks Koepka,49,10.53,38,4.0
134,T132,T129,Nate Lashley,44,10.53,38,4.0
135,136,144,Brian Gay,79,10.39,77,8.0
136,T137,T114,Mackenzie Hughes,58,10.2,49,5.0
137,T137,T120,Jim Knous,55,10.2,49,5.0
138,T139,T129,Ryan Armour,66,10.17,59,6.0
139,T139,T129,Corey Conners,62,10.17,59,6.0
140,T139,T151,Bubba Watson,47,10.17,59,6.0
141,T142,T135,John Huh,35,10.0,30,3.0
142,T142,T135,Si Woo Kim,65,10.0,50,5.0
143,T142,T135,Grayson Murray,36,10.0,40,4.0
144,T142,T135,Brady Schnell,38,10.0,30,3.0
145,T142,T125,Sepp Straka,48,10.0,40,4.0
146,147,T161,Seth Reeves,52,9.76,41,4.0
147,148,T135,Adam Hadwin,66,9.68,62,6.0
148,T149,T135,Joaquin Niemann,68,9.59,73,7.0
149,T149,145,Rory Sabbatini,71,9.59,73,7.0
150,151,143,Bill Haas,58,9.43,53,5.0
151,T152,T147,Ernie Els,43,9.38,32,3.0
152,T152,T147,Phil Mickelson,41,9.38,32,3.0
153,154,168,Kramer Hickok,59,9.23,65,6.0
154,T155,154,Tyler Duncan,66,9.09,66,6.0
155,T155,T151,Adam Long,52,9.09,55,5.0
156,T157,195,Talor Gooch,37,8.77,57,5.0
157,T157,146,Robert Streb,60,8.77,57,5.0
158,T159,T135,Ben Crane,41,8.7,23,2.0
159,T159,T172,Roberto Díaz,51,8.7,46,4.0
160,T159,T155,Matthew Fitzpatrick,42,8.7,46,4.0
161,162,157,Cameron Champ,58,8.62,58,5.0
162,163,159,Max Homa,61,8.47,59,5.0
163,T164,160,Kyoung-Hoon Lee,72,8.45,71,6.0
164,T164,T155,Richy Werenski,63,8.45,71,6.0
165,166,T149,Scott Langley,60,8.33,60,5.0
166,167,T149,Stephan Jaeger,59,8.2,61,5.0
167,168,T161,Matt Every,38,8.11,37,3.0
168,169,164,Rickie Fowler,54,8.06,62,5.0
169,T170,T165,Ryan Blaum,67,7.89,76,6.0
170,T170,T165,Jason Day,45,7.89,38,3.0
171,172,163,Matt Kuchar,65,7.81,64,5.0
172,173,158,Hudson Swafford,59,7.69,52,4.0
173,T174,170,Byeong Hun An,54,7.55,53,4.0
174,T174,167,Wyndham Clark,61,7.55,53,4.0
175,176,171,Satoshi Kodaira,51,7.32,41,3.0
176,177,185,Danny Willett,47,7.02,57,4.0
177,178,177,Adam Scott,41,6.9,29,2.0
178,179,T172,Kyle Jones,49,6.82,44,3.0
179,T180,169,J.B. Holmes,54,6.67,45,3.0
180,T180,179,Francesco Molinari,41,6.67,30,2.0
181,T180,175,Carlos Ortiz,60,6.67,60,4.0
182,183,191,Seamus Power,58,6.45,62,4.0
183,T184,T172,Jonathan Byrd,43,6.25,32,2.0
184,T184,T180,Haotong Li,32,6.25,16,1.0
185,T184,T180,Chez Reavie,67,6.25,48,3.0
186,T184,T180,Martin Trainer,51,6.25,48,3.0
187,188,184,Trey Mullinax,67,5.88,68,4.0
188,T189,T187,Andrew Landry,56,5.77,52,3.0
189,T189,T187,Marc Leishman,52,5.77,52,3.0
190,T191,186,Alex Prugh,54,5.56,54,3.0
191,T191,T180,Jimmy Walker,61,5.56,54,3.0
192,T193,T189,Russell Knox,65,5.26,57,3.0
193,T193,T189,D.A. Points,33,5.26,19,1.0
194,T195,T196,Keegan Bradley,65,5.08,59,3.0
195,T195,198,Sam Saunders,53,5.08,59,3.0
196,T197,192,Scott Stallings,63,4.76,63,3.0
197,T197,194,Matt Wallace,31,4.76,21,1.0
198,199,193,Fabián Gómez,44,4.44,45,2.0
199,200,203,Russell Henley,56,4.0,50,2.0
200,201,999,Tyrone Van Aswegen,30,3.45,29,1.0
201,T202,199,J.J. Henry,42,3.03,33,1.0
202,T202,T204,D.J. Trahan,33,3.03,33,1.0
203,204,200,Justin Thomas,49,2.7,37,1.0
204,205,T201,José de Jesús Rodríguez,51,2.56,39,1.0
205,206,T201,Alex Cejka,41,2.38,42,1.0
206,207,T204,Josh Teater,47,2.22,45,1.0
207,T208,T204,Louis Oosthuizen,43,0.0,23,
208,T208,T204,Rod Pampling,40,0.0,33,
