,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Patrick Cantlay,49,"54' 5""",653.1669999999999,12
1,2,2,Haotong Li,32,"53' 5""",960.75,18
2,3,3,Ryan Palmer,56,"53' 0""",1219.917,23
3,4,5,Wyndham Clark,61,"52' 5""",628.5,12
4,5,7,Ernie Els,43,"51' 11""",518.75,10
5,6,8,Hudson Swafford,59,"51' 7""",722.0830000000001,14
6,7,9,Jonas Blixt,66,"51' 2""",920.6669999999999,18
7,8,4,Aaron Wise,52,"50' 10""",1068.333,21
8,9,10,Phil Mickelson,41,"50' 5""",655.0830000000001,13
9,10,12,J.J. Henry,42,"49' 11""",748.9169999999999,15
10,11,T13,Roberto Díaz,51,"49' 9""",945.0,19
11,12,T13,Johnson Wagner,45,"49' 8""",893.25,18
12,13,6,Chris Thompson,34,"49' 7""",645.0,13
13,14,15,Matthew Fitzpatrick,42,"49' 6""",692.8330000000001,14
14,T15,23,Carlos Ortiz,60,"48' 11""",1026.833,21
15,T15,16,Alex Prugh,54,"48' 11""",782.5,16
16,T15,T17,Justin Thomas,49,"48' 11""",929.4169999999999,19
17,18,T17,Jordan Spieth,57,"48' 10""",1074.667,22
18,19,11,Ollie Schniederjans,63,"48' 9""",634.0830000000001,13
19,20,19,Peter Malnati,64,"48' 7""",777.0,16
20,21,29,Jonathan Byrd,43,"48' 6""",775.4169999999999,16
21,22,21,Scott Langley,60,"48' 4""",725.1669999999999,15
22,23,20,Charles Howell III,64,"48' 2""",963.3330000000001,20
23,24,T35,Robert Streb,60,"47' 10""",813.25,17
24,T25,27,Brooks Koepka,49,"47' 7""",951.0830000000001,20
25,T25,22,Harold Varner III,62,"47' 7""",1333.3329999999999,28
26,27,T25,Stephan Jaeger,59,"47' 6""",1044.083,22
27,28,T25,Adam Long,52,"47' 4""",1136.917,24
28,29,39,Wes Roach,45,"47' 1""",658.75,14
29,30,28,Dylan Frittelli,55,"47' 0""",1081.5,23
