,Total_3_Putts_-_15-20_RANK THIS WEEK,Total_3_Putts_-_15-20_RANK LAST WEEK,Total_3_Putts_-_15-20_PLAYER NAME,Total_3_Putts_-_15-20_ROUNDS,Total_3_Putts_-_15-20_TOTAL 3 PUTTS 15'-20',Total_3_Putts_-_15-20_TOTAL 3 PUTTS
0,1,1,Cameron Davis,54,6,20
1,2,2,Jason Dufner,56,5,27
2,T3,T3,Abraham Ancer,69,4,28
3,T3,T3,Ryan Armour,66,4,33
4,T3,T3,Roberto Díaz,51,4,19
5,T3,T3,Bryson DeChambeau,45,4,26
6,T3,T3,Lucas Glover,62,4,24
7,T3,T9,Kramer Hickok,59,4,28
8,T3,T3,Curtis Luck,51,4,22
9,T10,T9,Alex Cejka,41,3,14
10,T10,T9,Charley Hoffman,58,3,13
11,T10,T9,Kelly Kraft,67,3,27
12,T10,T9,Hideki Matsuyama,59,3,30
13,T10,T9,Sebastián Muñoz,58,3,16
14,T10,T9,Trey Mullinax,67,3,36
15,T10,T9,J.T. Poston,76,3,40
16,T10,T9,Seamus Power,58,3,27
17,T10,T9,Seth Reeves,52,3,27
18,T10,T9,Sam Ryder,52,3,25
19,T10,T9,Rory Sabbatini,71,3,32
20,T10,T23,J.J. Spaun,68,3,24
21,T10,T9,Vaughn Taylor,69,3,20
22,T10,T9,Michael Thompson,56,3,22
23,T10,T23,Danny Willett,47,3,27
24,T25,T23,Sangmoon Bae,42,2,24
25,T25,T23,Bronson Burgoon,37,2,21
26,T25,T23,Emiliano Grillo,65,2,29
27,T25,T23,Brandon Harkins,67,2,33
28,T25,T23,Brian Harman,67,2,18
29,T25,T23,Tom Hoge,70,2,24
30,T25,T23,Max Homa,61,2,18
31,T25,T23,Beau Hossler,66,2,24
32,T25,T23,Charles Howell III,64,2,21
33,T25,T23,Mackenzie Hughes,58,2,23
34,T25,T23,John Huh,35,2,15
35,T25,T23,Sungjae Im,88,2,43
36,T25,T23,Si Woo Kim,65,2,17
37,T25,T23,Patton Kizzire,58,2,18
38,T25,T23,Jim Knous,55,2,24
39,T25,T23,Russell Knox,65,2,30
40,T25,T23,Anirban Lahiri,54,2,21
41,T25,T23,Danny Lee,66,2,39
42,T25,T23,Joaquin Niemann,68,2,21
43,T25,T23,Alex Noren,49,2,18
44,T25,T23,Wes Roach,45,2,14
