,Putting_from_-_10-15_RANK THIS WEEK,Putting_from_-_10-15_RANK LAST WEEK,Putting_from_-_10-15_PLAYER NAME,Putting_from_-_10-15_ROUNDS,Putting_from_-_10-15_% MADE,Putting_from_-_10-15_ATTEMPTS,Putting_from_-_10-15_PUTTS MADE
0,1,1,Jason Day,45,47.89,71,34
1,2,3,Chase Wright,53,42.24,116,49
2,3,2,Sam Ryder,52,41.46,123,51
3,T4,5,Si Woo Kim,65,40.0,80,32
4,T4,999,Martin Piller,30,40.0,55,22
5,6,21,José de Jesús Rodríguez,51,39.77,88,35
6,7,4,Curtis Luck,51,39.36,94,37
7,8,6,Graeme McDowell,61,39.05,105,41
8,9,8,Patton Kizzire,58,39.0,100,39
9,10,26,Dustin Johnson,47,38.95,95,37
10,11,12,Justin Harding,31,38.71,31,12
11,12,13,Kiradech Aphibarnrat,49,38.64,88,34
12,13,14,Adam Scott,41,38.57,70,27
13,14,15,Rickie Fowler,54,38.38,99,38
14,15,11,Dominic Bozzelli,53,38.37,86,33
15,16,16,Jordan Spieth,57,38.14,118,45
16,17,7,Cameron Tringale,52,37.65,85,32
17,18,20,Ryan Blaum,67,37.32,142,53
18,19,9,Brian Gay,79,37.23,137,51
19,20,18,Martin Laird,60,37.17,113,42
20,T21,10,Julián Etulain,55,37.04,108,40
21,T21,22,Justin Rose,42,37.04,81,30
22,23,19,Richy Werenski,63,36.96,138,51
23,24,25,Rory Sabbatini,71,36.73,147,54
24,25,17,Johnson Wagner,45,36.67,90,33
25,26,27,Francesco Molinari,41,36.49,74,27
26,27,31,Peter Uihlein,65,36.36,110,40
27,28,23,Harris English,72,36.3,146,53
28,29,24,Peter Malnati,64,35.61,132,47
29,30,38,Wyndham Clark,61,35.59,118,42
30,31,42,Brandt Snedeker,68,35.38,130,46
31,32,32,Aaron Baddeley,51,35.35,99,35
32,33,T28,Alex Cejka,41,35.29,68,24
33,34,33,Pat Perez,52,35.14,74,26
34,35,36,Patrick Cantlay,49,34.94,83,29
35,36,37,Matt Jones,67,34.82,112,39
36,37,T28,Jonathan Byrd,43,34.78,69,24
37,38,35,Scott Langley,60,34.65,127,44
38,39,39,Andrew Putnam,57,34.62,104,36
39,40,40,Ben Silverman,54,34.38,128,44
40,41,41,Matt Every,38,33.87,62,21
41,42,43,Freddie Jacobson,37,33.82,68,23
42,43,61,Josh Teater,47,33.78,74,25
43,T44,T45,Cameron Champ,58,33.61,122,41
44,T44,T45,Kevin Kisner,65,33.61,122,41
45,46,47,Sam Burns,66,33.55,152,51
46,T47,T48,Matthew Fitzpatrick,42,33.33,63,21
47,T47,T48,Troy Merritt,42,33.33,93,31
48,T47,T48,Louis Oosthuizen,43,33.33,72,24
49,T47,T48,Matt Wallace,31,33.33,57,19
50,51,34,Justin Thomas,49,33.04,112,37
51,52,58,Patrick Rodgers,44,33.0,100,33
52,53,71,Hank Lebioda,55,32.98,94,31
53,T54,30,Sepp Straka,48,32.97,91,30
54,T54,59,Vaughn Taylor,69,32.97,182,60
55,T56,66,Fabián Gómez,44,32.95,88,29
56,T56,44,Adam Schenk,80,32.95,173,57
57,58,T68,Ben Crane,41,32.91,79,26
58,59,62,Ernie Els,43,32.73,55,18
59,60,57,Hudson Swafford,59,32.65,147,48
60,61,64,Sung Kang,67,32.62,141,46
61,62,65,Ian Poulter,49,32.61,92,30
62,63,56,Sungjae Im,88,32.4,179,58
63,64,T68,Russell Knox,65,32.31,130,42
64,65,T48,Danny Willett,47,32.29,96,31
65,66,70,Jason Kokrak,68,32.24,152,49
66,67,T129,Webb Simpson,53,32.17,115,37
67,68,T48,Chris Thompson,34,32.14,56,18
68,69,67,Carlos Ortiz,60,32.12,137,44
69,70,102,Zach Johnson,50,32.11,109,35
70,71,93,Scott Stallings,63,32.09,134,43
71,T72,74,Tony Finau,61,31.96,97,31
72,T72,T48,Mackenzie Hughes,58,31.96,97,31
73,74,60,Seth Reeves,52,31.82,88,28
74,75,103,Adam Hadwin,66,31.71,123,39
75,76,75,Satoshi Kodaira,51,31.68,101,32
76,77,T94,Brandon Harkins,67,31.62,136,43
77,T78,72,Ryan Armour,66,31.58,152,48
78,T78,76,Tiger Woods,31,31.58,57,18
79,80,77,"Ted Potter, Jr.",56,31.53,111,35
80,81,T78,Keith Mitchell,64,31.48,108,34
81,82,81,Charley Hoffman,58,31.46,89,28
82,83,73,Ollie Schniederjans,63,31.43,105,33
83,84,85,Luke List,52,31.13,106,33
84,85,T86,Marc Leishman,52,31.11,90,28
85,86,88,Billy Horschel,73,31.09,119,37
86,87,89,Haotong Li,32,31.03,58,18
87,T88,T78,Bill Haas,58,30.97,113,35
88,T88,101,Nick Taylor,70,30.97,155,48
89,90,T86,Roberto Díaz,51,30.85,94,29
90,91,92,Chez Reavie,67,30.83,120,37
91,92,T94,Matt Kuchar,65,30.77,143,44
92,93,T94,Xander Schauffele,55,30.53,95,29
93,94,134,Wes Roach,45,30.49,82,25
94,95,T78,Dylan Frittelli,55,30.43,115,35
95,96,97,Chesson Hadley,58,30.37,135,41
96,T97,T99,Abraham Ancer,69,30.23,129,39
97,T97,T99,Rafa Cabrera Bello,57,30.23,86,26
98,T99,63,Ryan Palmer,56,30.09,113,34
99,T99,91,Martin Trainer,51,30.09,113,34
100,101,104,Max Homa,61,30.07,143,43
101,102,84,Talor Gooch,37,29.85,67,20
102,103,106,Charles Howell III,64,29.82,114,34
103,104,133,Roger Sloan,62,29.75,121,36
104,105,T142,Seamus Power,58,29.73,111,33
105,106,83,Russell Henley,56,29.7,101,30
106,107,108,Tommy Fleetwood,43,29.69,64,19
107,108,T48,D.J. Trahan,33,29.63,54,16
108,T109,132,Jonas Blixt,66,29.41,136,40
109,T109,112,Bronson Burgoon,37,29.41,85,25
110,T109,105,J.J. Spaun,68,29.41,119,35
111,T112,172,Sangmoon Bae,42,29.33,75,22
112,T112,114,Lucas Glover,62,29.33,150,44
113,114,115,Stewart Cink,33,29.31,58,17
