,Putts_Made_Per_Event_Over_20_RANK THIS WEEK,Putts_Made_Per_Event_Over_20_RANK LAST WEEK,Putts_Made_Per_Event_Over_20_PLAYER NAME,Putts_Made_Per_Event_Over_20_ROUNDS,Putts_Made_Per_Event_Over_20_PUTTS MADE
195,T193,T191,Michael Kim,51,0.6
196,T193,T191,Louis Oosthuizen,43,0.6
197,T193,T200,José de Jesús Rodríguez,51,0.6
198,T193,T191,Sam Saunders,53,0.6
199,T193,T191,Scott Stallings,63,0.6
200,T193,T191,Chris Thompson,34,0.6
201,T202,T204,Jonathan Byrd,43,0.5
202,T202,T191,Ben Crane,41,0.5
203,T202,T200,D.A. Points,33,0.5
204,T202,T204,Seth Reeves,52,0.5
205,T202,T200,Martin Trainer,51,0.5
206,T207,T206,Josh Teater,47,0.4
207,T207,999,Tyrone Van Aswegen,30,0.4
208,209,T206,Rod Pampling,40,0.2
