,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Jason Day,45,47.92,48,23
1,2,2,Alex Cejka,41,44.68,47,21
2,3,3,Si Woo Kim,65,43.86,57,25
3,4,6,Curtis Luck,51,41.51,53,22
4,5,30,José de Jesús Rodríguez,51,41.38,58,24
5,6,7,Kiradech Aphibarnrat,49,40.98,61,25
6,7,8,Satoshi Kodaira,51,40.68,59,24
7,8,4,Cameron Tringale,52,40.0,65,26
8,9,5,Jonathan Byrd,43,39.53,43,17
9,10,9,Peter Malnati,64,39.08,87,34
10,11,11,Johnson Wagner,45,38.98,59,23
11,12,13,Adam Scott,41,38.64,44,17
12,13,14,Rickie Fowler,54,38.57,70,27
13,14,15,Cameron Champ,58,38.55,83,32
14,T15,16,Patton Kizzire,58,38.46,65,25
15,T15,20,Scott Langley,60,38.46,78,30
16,17,12,Seth Reeves,52,38.33,60,23
17,18,17,Matthew Fitzpatrick,42,38.24,34,13
18,19,18,Chase Wright,53,38.16,76,29
19,20,19,Julián Etulain,55,38.1,63,24
20,21,29,Wyndham Clark,61,37.33,75,28
21,22,10,Graeme McDowell,61,37.18,78,29
22,23,23,Louis Oosthuizen,43,37.04,54,20
23,24,24,Tiger Woods,31,36.84,38,14
24,25,27,Justin Harding,31,36.36,22,8
25,26,31,Peter Uihlein,65,36.25,80,29
26,27,28,Francesco Molinari,41,36.17,47,17
27,T28,21,Brian Gay,79,36.05,86,31
28,T28,26,Brandt Snedeker,68,36.05,86,31
29,30,22,Kevin Tway,62,35.8,81,29
30,31,32,Rory Sabbatini,71,35.58,104,37
31,T32,34,Jordan Spieth,57,35.44,79,28
32,T32,25,Justin Thomas,49,35.44,79,28
33,34,999,Martin Piller,30,35.29,34,12
34,35,36,Ryan Blaum,67,35.23,88,31
35,T36,T39,Tony Finau,61,34.78,69,24
36,T36,T39,Matt Jones,67,34.78,69,24
37,T36,T39,Kevin Kisner,65,34.78,92,32
38,T36,T39,Patrick Rodgers,44,34.78,69,24
39,40,37,Martin Laird,60,34.62,78,27
40,41,44,Jason Kokrak,68,34.55,110,38
41,42,T48,Hank Lebioda,55,34.48,58,20
42,43,45,Sam Ryder,52,34.44,90,31
43,44,46,D.A. Points,33,34.38,32,11
44,45,43,Hudson Swafford,59,34.26,108,37
45,46,T55,Scott Stallings,63,34.02,97,33
46,T47,T48,Bronson Burgoon,37,34.0,50,17
47,T47,65,Nick Taylor,70,34.0,100,34
48,49,50,Martin Kaymer,38,33.96,53,18
49,50,88,Dustin Johnson,47,33.77,77,26
50,51,54,Abraham Ancer,69,33.73,83,28
51,T52,47,Harris English,72,33.33,96,32
52,T52,62,Matt Every,38,33.33,36,12
53,T52,T55,Andrew Putnam,57,33.33,69,23
54,T52,52,Danny Willett,47,33.33,66,22
55,56,77,Brandon Harkins,67,32.98,94,31
56,T57,53,Ollie Schniederjans,63,32.84,67,22
57,T57,38,Sepp Straka,48,32.84,67,22
58,59,57,Phil Mickelson,41,32.73,55,18
59,60,58,Dominic Bozzelli,53,32.61,46,15
60,61,33,Ryan Palmer,56,32.58,89,29
61,62,59,Aaron Baddeley,51,32.39,71,23
62,63,61,Ian Poulter,49,32.31,65,21
63,64,T80,Ben Silverman,54,32.29,96,31
64,T65,T63,Rafa Cabrera Bello,57,32.2,59,19
65,T65,72,Fabián Gómez,44,32.2,59,19
66,T65,T63,Charley Hoffman,58,32.2,59,19
67,68,66,Charles Howell III,64,32.14,84,27
68,69,142,Sangmoon Bae,42,32.0,50,16
69,70,68,Troy Merritt,42,31.88,69,22
70,71,122,Webb Simpson,53,31.87,91,29
71,72,51,Mackenzie Hughes,58,31.82,66,21
72,73,70,Vaughn Taylor,69,31.78,129,41
73,74,67,Richy Werenski,63,31.65,79,25
74,75,T80,Ben Crane,41,31.37,51,16
75,76,75,"Ted Potter, Jr.",56,31.33,83,26
76,77,73,Carlos Ortiz,60,31.25,96,30
77,T78,76,Bryson DeChambeau,45,31.17,77,24
78,T78,86,Brice Garnett,63,31.17,77,24
79,80,78,Luke List,52,31.08,74,23
80,81,79,Sam Burns,66,31.07,103,32
81,T82,91,Matt Kuchar,65,30.77,104,32
82,T82,T82,Justin Rose,42,30.77,52,16
83,84,60,Russell Henley,56,30.56,72,22
84,85,97,Martin Trainer,51,30.51,59,18
85,86,90,Freddie Jacobson,37,30.23,43,13
86,87,92,Keith Mitchell,64,30.14,73,22
87,88,93,Chez Reavie,67,30.12,83,25
88,T89,T82,Ryan Armour,66,30.0,110,33
89,T89,T94,Patrick Cantlay,49,30.0,70,21
90,T89,T94,Russell Knox,65,30.0,90,27
91,92,96,Sungjae Im,88,29.93,137,41
92,93,89,Adam Schenk,80,29.91,117,35
93,94,87,Chris Stroud,54,29.82,57,17
94,95,74,Corey Conners,62,29.67,91,27
95,96,T82,Dylan Frittelli,55,29.63,81,24
96,T97,103,Adam Hadwin,66,29.41,85,25
97,T97,T101,Denny McCarthy,63,29.41,85,25
98,99,T82,Shawn Stefani,57,29.31,58,17
99,100,T99,Bud Cauley,61,29.29,99,29
100,101,35,D.J. Trahan,33,29.27,41,12
101,102,98,Jim Herman,37,29.17,48,14
102,T103,113,Roberto Díaz,51,29.03,62,18
103,T103,104,Ernie Els,43,29.03,31,9
104,T103,69,Chris Thompson,34,29.03,31,9
105,106,71,Alex Noren,49,28.85,52,15
106,107,T105,Scott Piercy,70,28.7,108,31
107,T108,126,Jonas Blixt,66,28.57,98,28
108,T108,T107,Paul Casey,51,28.57,63,18
109,T108,T107,Billy Horschel,73,28.57,77,22
110,T108,T107,Sung Kang,67,28.57,91,26
