,2-Putts_per_Round_RANK THIS WEEK,2-Putts_per_Round_RANK LAST WEEK,2-Putts_per_Round_PLAYER NAME,2-Putts_per_Round_ROUNDS,2-Putts_per_Round_AVG,2-Putts_per_Round_TOTAL 2 PUTTS,2-Putts_per_Round_TOTAL ROUNDS
0,1,1,James Hahn,34,11.35,386,34
1,2,2,Brice Garnett,63,11.25,686,61
2,3,3,Alex Prugh,54,11.16,558,50
3,4,4,Corey Conners,62,10.98,637,58
4,5,5,Lucas Bjerregaard,37,10.97,329,30
5,6,7,J.J. Henry,42,10.92,415,38
6,7,6,Tyrrell Hatton,46,10.88,457,42
7,8,9,Brendan Steele,50,10.83,520,48
8,9,10,Jason Dufner,56,10.8,583,54
9,10,T11,Charles Howell III,64,10.79,658,61
10,T11,T18,John Chin,38,10.74,408,38
11,T11,21,Hudson Swafford,59,10.74,612,57
12,T13,T14,Emiliano Grillo,65,10.71,664,62
13,T13,20,Carlos Ortiz,60,10.71,621,58
14,T13,8,Rod Pampling,40,10.71,407,38
15,T16,16,Branden Grace,62,10.7,578,54
16,T16,T11,Alex Noren,49,10.7,492,46
17,18,17,John Senden,39,10.68,395,37
18,19,T18,Kyle Stanley,53,10.67,512,48
19,20,T25,Josh Teater,47,10.64,479,45
20,21,T14,Henrik Stenson,46,10.63,404,38
21,22,13,Chris Thompson,34,10.62,361,34
22,23,22,Michael Kim,51,10.61,520,49
23,T24,T30,Tyler Duncan,66,10.59,678,64
24,T24,T32,Kevin Tway,62,10.59,614,58
25,T26,T25,Billy Horschel,73,10.56,697,66
26,T26,T28,Joaquin Niemann,68,10.56,697,66
27,T26,T25,Kevin Streelman,63,10.56,644,61
28,29,T30,Hunter Mahan,45,10.53,474,45
29,30,T32,Jhonattan Vegas,60,10.52,610,58
30,T31,24,Jim Herman,37,10.49,388,37
31,T31,34,Jim Knous,55,10.49,535,51
32,33,T63,Jim Furyk,53,10.48,503,48
33,T34,T28,J.J. Spaun,68,10.47,670,64
34,T34,39,Gary Woodland,63,10.47,628,60
35,36,T41,Robert Streb,60,10.46,586,56
36,T37,40,Paul Casey,51,10.45,491,47
37,T37,T44,Aaron Wise,52,10.45,512,49
38,T39,T41,Adam Long,52,10.44,543,52
39,T39,T36,Johnson Wagner,45,10.44,449,43
40,41,T44,Bronson Burgoon,37,10.43,386,37
41,42,T86,D.J. Trahan,33,10.42,323,31
42,T43,T41,Keegan Bradley,65,10.41,604,58
43,T43,35,Rory McIlroy,50,10.41,479,46
44,T43,T47,Sepp Straka,48,10.41,479,46
45,T43,T44,Nick Watney,67,10.41,656,63
46,47,T47,Ian Poulter,49,10.4,437,42
47,T48,T49,Ernie Els,43,10.39,426,41
48,T48,T49,Kevin Na,54,10.39,509,49
49,50,T36,Danny Willett,47,10.38,488,47
50,51,T51,Max Homa,61,10.37,612,59
51,52,T51,Kramer Hickok,59,10.36,611,59
52,T53,T60,Bill Haas,58,10.35,559,54
53,T53,T54,Harold Varner III,62,10.35,621,60
54,55,53,Kyle Jones,49,10.34,486,47
55,T56,T65,Sergio Garcia,39,10.33,310,30
56,T56,T54,Russell Henley,56,10.33,537,52
57,T56,T57,Charley Hoffman,58,10.33,558,54
58,T56,T57,Louis Oosthuizen,43,10.33,372,36
59,60,T71,Seth Reeves,52,10.32,516,50
60,T61,T60,Russell Knox,65,10.31,598,58
61,T61,T60,Grayson Murray,36,10.31,371,36
62,63,T63,Chesson Hadley,58,10.3,577,56
63,T64,T54,Cody Gribble,52,10.29,494,48
64,T64,67,Tom Hoge,70,10.29,679,66
65,T64,T65,Sebastián Muñoz,58,10.29,576,56
66,67,T36,Wes Roach,45,10.28,442,43
67,T68,T74,Scott Brown,66,10.27,637,62
68,T68,T68,Jon Rahm,51,10.27,452,44
69,70,T71,Andrew Landry,56,10.25,533,52
70,71,T77,Fabián Gómez,44,10.23,450,44
71,T72,76,Tommy Fleetwood,43,10.22,368,36
72,T72,T57,Matt Kuchar,65,10.22,593,58
73,T72,T88,Adam Schenk,80,10.22,797,78
74,T72,T98,Ben Silverman,54,10.22,552,54
75,T76,T77,Stewart Cink,33,10.21,337,33
76,T76,T110,Dylan Frittelli,55,10.21,541,53
77,T76,T77,Lucas Glover,62,10.21,592,58
78,T76,T107,Martin Laird,60,10.21,572,56
79,T76,T77,Troy Merritt,42,10.21,388,38
80,T81,T88,Anders Albertson,48,10.2,469,46
81,T81,T82,Cameron Champ,58,10.2,571,56
82,T81,T82,"Ted Potter, Jr.",56,10.2,551,54
83,T81,T82,Patrick Rodgers,44,10.2,449,44
84,T81,106,Chase Wright,53,10.2,520,51
85,86,113,Alex Cejka,41,10.19,377,37
86,T87,T88,Joel Dahmen,78,10.18,753,74
87,T87,T88,Tony Finau,61,10.18,570,56
88,T87,T88,Chris Kirk,47,10.18,458,45
89,T87,T77,Hank Lebioda,55,10.18,519,51
90,T87,T88,Kyoung-Hoon Lee,72,10.18,692,68
91,T92,T68,J.B. Holmes,54,10.17,478,47
92,T92,T95,John Huh,35,10.17,356,35
93,T92,T95,Jason Kokrak,68,10.17,651,64
