,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
106,107,109,Patrick Cantlay,49,5.17,116,6
107,108,110,Rafa Cabrera Bello,57,5.16,155,8
108,109,T119,Matt Kuchar,65,5.14,214,11
109,T110,136,Dylan Frittelli,55,5.13,195,10
110,T110,103,Seamus Power,58,5.13,195,10
111,T110,85,Webb Simpson,53,5.13,195,10
112,113,114,Kevin Streelman,63,5.06,257,13
113,114,T117,Aaron Baddeley,51,5.03,159,8
114,115,111,Bud Cauley,61,5.02,219,11
115,T116,T119,Matthew Fitzpatrick,42,5.0,140,7
116,T116,T119,Justin Rose,42,5.0,120,6
117,T116,151,Ollie Schniederjans,63,5.0,200,10
118,119,T101,Cody Gribble,52,4.97,181,9
119,120,98,Jimmy Walker,61,4.93,203,10
120,121,T154,Sungjae Im,88,4.91,326,16
121,122,T106,Sergio Garcia,39,4.9,102,5
122,123,97,Alex Noren,49,4.88,164,8
123,124,127,Jon Rahm,51,4.86,144,7
124,T125,T112,Ryan Armour,66,4.85,206,10
125,T125,T106,Lucas Bjerregaard,37,4.85,103,5
126,T127,T128,Jason Dufner,56,4.84,186,9
127,T127,T128,Tony Finau,61,4.84,186,9
128,129,188,Graeme McDowell,61,4.82,166,8
129,T130,T112,J.B. Holmes,54,4.81,104,5
130,T130,T138,Peter Malnati,64,4.81,208,10
131,T132,133,Freddie Jacobson,37,4.76,105,5
132,T132,122,Kyle Jones,49,4.76,168,8
133,134,134,Charles Howell III,64,4.74,211,10
134,135,T115,Julián Etulain,55,4.73,148,7
135,136,137,Byeong Hun An,54,4.7,149,7
136,T137,T138,Hideki Matsuyama,59,4.69,192,9
137,T137,T138,J.T. Poston,76,4.69,277,13
138,139,126,Brice Garnett,63,4.66,193,9
139,140,131,Carlos Ortiz,60,4.6,239,11
140,141,T115,Dominic Bozzelli,53,4.58,131,6
141,T142,130,Wyndham Clark,61,4.57,197,9
142,T142,T143,Vaughn Taylor,69,4.57,219,10
143,T144,T117,Daniel Berger,48,4.55,176,8
144,T144,145,Charley Hoffman,58,4.55,132,6
145,T144,999,Martin Piller,30,4.55,66,3
146,T144,T123,Brady Schnell,38,4.55,110,5
147,148,146,Satoshi Kodaira,51,4.52,155,7
148,149,147,Russell Knox,65,4.45,247,11
149,150,149,Harris English,72,4.44,293,13
150,151,132,Brian Gay,79,4.42,249,11
151,152,T143,Aaron Wise,52,4.4,182,8
152,153,T181,Danny Willett,47,4.35,184,8
153,154,150,Jhonattan Vegas,60,4.31,209,9
154,T155,142,Brian Harman,67,4.27,211,9
155,T155,T168,Johnson Wagner,45,4.27,164,7
156,157,153,Bryson DeChambeau,45,4.26,141,6
157,158,T159,Robert Streb,60,4.23,213,9
158,159,157,Billy Horschel,73,4.21,214,9
159,160,T159,Kevin Kisner,65,4.15,193,8
160,T161,T161,Emiliano Grillo,65,4.14,169,7
161,T161,T161,Chris Kirk,47,4.14,145,6
162,163,152,Sam Saunders,53,4.08,196,8
163,164,T168,Roberto Castro,54,4.05,173,7
164,T165,165,Hunter Mahan,45,4.0,150,6
165,T165,183,Wes Roach,45,4.0,125,5
166,167,158,Ryan Palmer,56,3.98,176,7
167,168,166,Michael Kim,51,3.97,151,6
168,169,163,Hudson Swafford,59,3.94,203,8
169,170,T154,Martin Laird,60,3.86,233,9
170,T171,193,Joaquin Niemann,68,3.85,182,7
171,T171,T181,Bubba Watson,47,3.85,156,6
172,173,T154,Keegan Bradley,65,3.81,210,8
173,T174,164,Alex Prugh,54,3.8,184,7
174,T174,999,Tyrone Van Aswegen,30,3.8,79,3
175,T176,T173,Paul Casey,51,3.73,134,5
176,T176,T173,Ian Poulter,49,3.73,134,5
177,T176,T173,Kyle Stanley,53,3.73,134,5
178,179,171,Tom Hoge,70,3.72,188,7
179,180,167,Brooks Koepka,49,3.62,138,5
180,181,180,Adam Long,52,3.57,196,7
181,182,T176,Russell Henley,56,3.52,199,7
182,T183,T176,Brandon Harkins,67,3.49,172,6
183,T183,T184,Louis Oosthuizen,43,3.49,86,3
184,T183,T184,D.A. Points,33,3.49,86,3
185,186,T176,Scott Stallings,63,3.47,173,6
186,187,189,Max Homa,61,3.4,206,7
187,188,170,Ben Crane,41,3.39,118,4
188,189,186,Kramer Hickok,59,3.33,180,6
189,190,172,Sangmoon Bae,42,3.31,121,4
190,191,187,Chase Wright,53,3.28,183,6
191,T192,196,Bill Haas,58,3.11,225,7
192,T192,191,Patton Kizzire,58,3.11,161,5
193,194,192,Pat Perez,52,3.01,133,4
194,195,194,Sung Kang,67,2.97,236,7
195,196,179,Rod Pampling,40,2.94,102,3
196,197,200,Josh Teater,47,2.84,141,4
197,198,190,Chris Thompson,34,2.78,108,3
198,199,195,Martin Trainer,51,2.74,146,4
199,200,198,Tommy Fleetwood,43,2.68,112,3
200,201,203,Jim Herman,37,2.65,113,3
201,202,197,Nick Watney,67,2.63,228,6
202,203,204,Jonathan Byrd,43,2.5,120,3
203,204,199,Tyler Duncan,66,2.46,203,5
204,205,T201,Troy Merritt,42,2.26,133,3
205,206,T201,Jim Furyk,53,2.06,194,4
206,207,206,Seth Reeves,52,1.85,162,3
207,208,205,Grayson Murray,36,1.82,110,2
208,209,207,James Hahn,34,1.18,85,1
