,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Justin Harding,31,"12' 6""",475.75,38,,2
1,2,3,Stewart Cink,33,"12' 2""",791.9169999999999,65,,"6"""
2,3,4,Charl Schwartzel,34,"11' 11""",558.3330000000001,47,,2
3,4,5,Chris Stroud,54,"11' 10""",1407.75,119,,"5"""
4,5,T7,Curtis Luck,51,"11' 7""",1251.667,108,,"6"""
5,6,6,Jordan Spieth,57,"11' 6""",2003.6670000000001,174,,"8"""
6,7,T7,Andrew Putnam,57,"11' 4""",1607.5829999999999,142,,"5"""
7,8,2,Joey Garber,44,"11' 3""",788.4169999999999,70,,"3"""
8,T9,9,Peter Uihlein,65,"11' 2""",1658.5829999999999,149,,"4"""
9,T9,T12,Johnson Wagner,45,"11' 2""",1214.417,109,,"6"""
10,T11,T28,Roberto Díaz,51,"11' 1""",1261.083,114,,"2"""
11,T11,T12,Beau Hossler,66,"11' 1""",1936.8329999999999,175,,"7"""
12,T11,T10,Whee Kim,57,"11' 1""",1116.417,101,,1
13,T11,999,Shane Lowry,30,"11' 1""",788.1669999999999,71,,"8"""
14,T11,T12,D.A. Points,33,"11' 1""",510.0,46,,2
15,T11,T12,Patrick Rodgers,44,"11' 1""",1501.6670000000001,135,,"4"""
16,T11,T20,Ben Silverman,54,"11' 1""",1499.25,135,,"9"""
17,18,T10,Ryan Armour,66,"11' 0""",1607.5,146,,"3"""
18,T19,T20,Billy Horschel,73,"10' 11""",1485.5,136,,"1"""
19,T19,T20,"Ted Potter, Jr.",56,"10' 11""",1518.0,139,,"11"""
20,T19,T12,Shawn Stefani,57,"10' 11""",1387.25,127,,"7"""
21,22,T23,John Senden,39,"10' 10""",811.0830000000001,75,,"6"""
22,T23,T18,Lucas Bjerregaard,37,"10' 8""",693.8330000000001,65,,1
23,T23,T26,Freddie Jacobson,37,"10' 8""",747.4169999999999,70,,"2"""
24,T23,25,Denny McCarthy,63,"10' 8""",1854.6670000000001,174,,"2"""
25,T23,T26,Pat Perez,52,"10' 8""",893.5830000000001,84,,"4"""
26,T23,T23,Cameron Tringale,52,"10' 8""",1346.6670000000001,126,,"8"""
27,28,T28,Kelly Kraft,67,"10' 7""",1443.9170000000001,136,,"10"""
28,T29,T28,Kevin Na,54,"10' 6""",1211.0,115,,"1"""
29,T29,T18,Sepp Straka,48,"10' 6""",1239.833,118,,"7"""
30,T31,T12,Ben Crane,41,"10' 5""",853.4169999999999,82,,"6"""
31,T31,T44,Danny Lee,66,"10' 5""",2013.3329999999999,193,,"3"""
32,T31,T32,C.T. Pan,64,"10' 5""",1235.833,119,,"4"""
33,T31,T32,Brian Stuard,76,"10' 5""",1800.5,173,,"4"""
34,T31,T32,Vaughn Taylor,69,"10' 5""",2238.667,215,,"6"""
35,T36,T32,Jim Knous,55,"10' 4""",1233.833,119,,"4"""
36,T36,T39,Kyoung-Hoon Lee,72,"10' 4""",1626.9170000000001,157,,"7"""
37,T36,T39,Cameron Smith,55,"10' 4""",1190.333,115,,"5"""
38,T36,T39,Richy Werenski,63,"10' 4""",1690.0829999999999,164,,"5"""
39,T40,T44,Sangmoon Bae,42,"10' 3""",808.75,79,,"7"""
40,T40,T66,Roberto Castro,54,"10' 3""",1298.25,127,,"6"""
41,T40,T39,John Chin,38,"10' 3""",727.4169999999999,71,,1
42,T40,T28,Austin Cook,50,"10' 3""",1239.667,121,,"2"""
43,T40,T44,Joel Dahmen,78,"10' 3""",2052.167,200,,"5"""
44,T40,T44,Ernie Els,43,"10' 3""",730.25,71,,"9"""
45,T40,T52,Brice Garnett,63,"10' 3""",1278.833,125,,"5"""
46,T40,T39,Brian Gay,79,"10' 3""",1850.25,181,,"5"""
47,T40,T44,Charley Hoffman,58,"10' 3""",1292.5,126,,"3"""
48,T40,T44,Charles Howell III,64,"10' 3""",1655.4170000000001,162,,"6"""
49,T50,T44,Jonas Blixt,66,"10' 2""",1773.25,175,,"7"""
50,T50,T32,Scott Langley,60,"10' 2""",1482.0,146,,"2"""
51,T50,T32,Graeme McDowell,61,"10' 2""",1314.0,129,,"5"""
52,T50,T44,Scott Piercy,70,"10' 2""",1813.9170000000001,179,,"8"""
53,T50,T32,J.J. Spaun,68,"10' 2""",1590.0,156,,"3"""
54,T55,T56,Hunter Mahan,45,"10' 1""",1122.833,111,,"7"""
55,T55,999,Martin Piller,30,"10' 1""",516.3330000000001,51,,"3"""
56,T55,T56,Rory Sabbatini,71,"10' 1""",1987.3329999999999,197,,"4"""
57,T55,T56,Michael Thompson,56,"10' 1""",1783.4170000000001,177,,"2"""
58,T59,T62,Bronson Burgoon,37,"10' 0""",861.75,86,,"6"""
59,T59,T62,Tyrrell Hatton,46,"10' 0""",1021.75,102,,"7"""
60,T59,T62,J.T. Poston,76,"10' 0""",2057.75,205,,"1"""
61,T59,T52,Adam Svensson,51,"10' 0""",1219.667,122,,"4"""
62,T59,T56,Nick Taylor,70,"10' 0""",2072.75,207,,"3"""
63,T64,T66,Aaron Baddeley,51,"9' 11""",1334.0829999999999,134,,1
64,T64,T52,Alex Cejka,41,"9' 11""",736.1669999999999,74,,"8"""
65,T64,T66,Rickie Fowler,54,"9' 11""",1733.0,175,,"4"""
66,T64,T52,Talor Gooch,37,"9' 11""",1156.417,117,,"3"""
67,T64,T66,Chesson Hadley,58,"9' 11""",1328.1670000000001,134,,"4"""
68,T64,T146,J.J. Henry,42,"9' 11""",593.6669999999999,60,,2
69,T64,T66,Anirban Lahiri,54,"9' 11""",1237.417,125,,"5"""
70,T64,T66,Sam Ryder,52,"9' 11""",1489.0,150,,"4"""
71,T72,T74,Jason Dufner,56,"9' 10""",1186.083,121,,"6"""
72,T72,T74,John Huh,35,"9' 10""",727.5830000000001,74,,"7"""
73,T72,T62,Dustin Johnson,47,"9' 10""",1426.0829999999999,145,,"2"""
74,T72,T66,Kyle Jones,49,"9' 10""",954.0,97,,"10"""
75,T72,T74,Patton Kizzire,58,"9' 10""",1188.417,121,,"3"""
76,T72,T74,Nate Lashley,44,"9' 10""",1131.5,115,,"4"""
77,T72,T74,Xander Schauffele,55,"9' 10""",1280.75,130,,"6"""
78,T72,T56,D.J. Trahan,33,"9' 10""",617.4169999999999,63,,"8"""
79,T72,T66,Harold Varner III,62,"9' 10""",1607.1670000000001,163,,"2"""
80,T81,T82,Lucas Glover,62,"9' 9""",1790.3329999999999,183,,"3"""
81,T81,T82,Matt Jones,67,"9' 9""",1598.5829999999999,164,,"4"""
82,T81,T82,Haotong Li,32,"9' 9""",594.0830000000001,61,,1
83,T81,T74,Adam Schenk,80,"9' 9""",2075.917,213,,"3"""
84,T81,T82,Tiger Woods,31,"9' 9""",836.25,86,,"6"""
85,T86,T96,Scott Brown,66,"9' 8""",1502.3329999999999,156,,"6"""
86,T86,T87,Cameron Champ,58,"9' 8""",1848.5,192,,"2"""
87,T86,T74,Mackenzie Hughes,58,"9' 8""",1235.75,128,,"2"""
88,T86,T87,Kevin Kisner,65,"9' 8""",1400.75,145,,"4"""
89,T86,T105,Hank Lebioda,55,"9' 8""",1402.6670000000001,145,,"3"""
90,T86,T96,Carlos Ortiz,60,"9' 8""",1408.0829999999999,146,,"2"""
91,T86,T87,Chez Reavie,67,"9' 8""",1299.75,134,,"2"""
