,Average_Putting_Distance_-_GIR_2_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_2_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_2_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_2_Putts_ROUNDS,Average_Putting_Distance_-_GIR_2_Putts_AVG,Average_Putting_Distance_-_GIR_2_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_2_Putts_TOTAL PUTTS
0,1,1,Justin Harding,31,"29' 2""",2771.5,95
1,T2,T4,Sangmoon Bae,42,"27' 8""",5725.0830000000005,207
2,T2,T2,Harris English,72,"27' 8""",13409.75,485
3,T4,T4,Kyle Jones,49,"27' 7""",7807.0,283
4,T4,7,Patton Kizzire,58,"27' 7""",7857.1669999999995,285
5,6,T8,Cameron Champ,58,"27' 6""",10926.333,397
6,7,T8,Johnson Wagner,45,"27' 4""",7276.0830000000005,266
7,T8,T4,Curtis Luck,51,"27' 3""",5867.5830000000005,215
8,T8,T2,Alex Noren,49,"27' 3""",7284.25,267
9,T8,T10,Brandt Snedeker,68,"27' 3""",9989.667,367
10,T11,T12,Bill Haas,58,"27' 2""",10130.25,373
11,T11,14,Martin Kaymer,38,"27' 2""",7139.5,263
12,13,T15,Matt Wallace,31,"27' 1""",4599.083,170
13,T14,T10,John Chin,38,"27' 0""",4890.917,181
14,T14,T15,Graeme McDowell,61,"27' 0""",8309.333,308
15,16,T19,Denny McCarthy,63,"26' 11""",10044.833,373
16,T17,T15,Dominic Bozzelli,53,"26' 10""",6510.5830000000005,243
17,T17,21,Pat Perez,52,"26' 10""",5934.3330000000005,221
18,T17,T19,José de Jesús Rodríguez,51,"26' 10""",6619.0,247
19,T17,T22,J.J. Spaun,68,"26' 10""",10256.833,382
20,T17,T12,Chase Wright,53,"26' 10""",8706.167,324
21,T22,T22,Freddie Jacobson,37,"26' 9""",4625.0,173
22,T22,T22,Matt Jones,67,"26' 9""",9964.5,373
23,T24,T25,Stewart Cink,33,"26' 8""",4376.167,164
24,T24,T25,Rickie Fowler,54,"26' 8""",9788.167,367
25,T24,T25,Sung Kang,67,"26' 8""",11088.083,416
26,T27,T30,Wyndham Clark,61,"26' 7""",9353.417,352
27,T27,T28,Matthew Fitzpatrick,42,"26' 7""",6378.9169999999995,240
28,T27,T30,Seth Reeves,52,"26' 7""",7307.25,275
29,T27,T30,Ollie Schniederjans,63,"26' 7""",9741.833,367
30,T31,T30,Ian Poulter,49,"26' 6""",6385.1669999999995,241
31,T31,T30,Adam Schenk,80,"26' 6""",12910.75,487
32,T33,T37,Kiradech Aphibarnrat,49,"26' 5""",6418.4169999999995,243
33,T33,T37,Aaron Baddeley,51,"26' 5""",7578.25,287
34,T33,T30,Daniel Berger,48,"26' 5""",8717.5,330
35,T33,T37,Sam Burns,66,"26' 5""",11213.75,424
36,T33,18,Cody Gribble,52,"26' 5""",7920.5830000000005,300
