,Putting_from_3-5_RANK THIS WEEK,Putting_from_3-5_RANK LAST WEEK,Putting_from_3-5_PLAYER NAME,Putting_from_3-5_ROUNDS,Putting_from_3-5_% MADE,Putting_from_3-5_ATTEMPTS,Putting_from_3-5_PUTTS MADE
0,1,3,Justin Thomas,49,95.79,95,91
1,2,2,José de Jesús Rodríguez,51,95.2,125,119
2,3,1,Graeme McDowell,61,94.81,135,128
3,4,4,Justin Rose,42,94.62,93,88
4,5,5,Peter Malnati,64,94.35,177,167
5,6,6,Julián Etulain,55,93.69,111,104
6,7,8,Adam Hadwin,66,93.62,141,132
7,8,7,Dominic Bozzelli,53,93.52,108,101
8,9,9,Andrew Putnam,57,93.02,129,120
9,10,11,Denny McCarthy,63,92.86,154,143
10,11,15,Sebastián Muñoz,58,92.81,139,129
11,12,20,Harris English,72,92.57,175,162
12,13,13,Jon Rahm,51,92.56,121,112
13,14,14,Rickie Fowler,54,92.37,131,121
14,15,10,Sam Saunders,53,92.35,170,157
15,16,16,Beau Hossler,66,92.17,166,153
16,17,24,Daniel Berger,48,91.78,146,134
17,T18,19,Sam Burns,66,91.76,182,167
18,T18,T25,Webb Simpson,53,91.76,170,156
19,20,18,Carlos Ortiz,60,91.43,140,128
20,21,29,Roger Sloan,62,91.4,186,170
21,22,21,Kyle Jones,49,91.34,127,116
22,23,12,Chase Wright,53,91.3,115,105
23,24,23,Wyndham Clark,61,91.19,159,145
24,25,T25,Brian Harman,67,91.08,157,143
25,26,27,Bryson DeChambeau,45,90.83,120,109
26,27,17,Scott Langley,60,90.67,150,136
27,T28,22,Ollie Schniederjans,63,90.48,147,133
28,T28,30,Kyle Stanley,53,90.48,105,95
29,30,31,Stewart Cink,33,90.36,83,75
30,31,32,Cameron Smith,55,90.32,93,84
31,32,42,Harold Varner III,62,90.3,165,149
32,33,T40,Brian Gay,79,90.29,175,158
33,34,39,Danny Lee,66,90.21,194,175
34,35,33,Patrick Cantlay,49,90.1,101,91
35,36,36,C.T. Pan,64,89.92,119,107
36,37,37,Brendan Steele,50,89.91,109,98
37,38,T40,Max Homa,61,89.87,158,142
38,39,34,Seth Reeves,52,89.86,148,133
39,40,44,Sam Ryder,52,89.58,144,129
40,41,45,Charles Howell III,64,89.55,134,120
41,42,46,John Huh,35,89.52,105,94
42,43,47,Brian Stuard,76,89.5,181,162
