,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
107,T108,T94,Brady Schnell,38,5.05,99,5
108,T108,113,Vaughn Taylor,69,5.05,198,10
109,T110,92,Cody Gribble,52,5.03,159,8
110,T110,115,Charles Howell III,64,5.03,199,10
111,112,100,Wyndham Clark,61,4.97,181,9
112,113,T116,Byeong Hun An,54,4.96,141,7
113,114,118,Hideki Matsuyama,59,4.95,182,9
114,T115,102,Julián Etulain,55,4.93,142,7
115,T115,122,Matt Kuchar,65,4.93,203,10
116,117,119,Adam Schenk,80,4.89,266,13
117,T118,T152,Sungjae Im,88,4.84,310,15
118,T118,89,Webb Simpson,53,4.84,186,9
119,120,155,Ollie Schniederjans,63,4.81,187,9
120,121,120,Luke List,52,4.79,188,9
121,122,121,Jason Kokrak,68,4.76,210,10
122,123,T123,Brendan Steele,50,4.73,169,8
123,124,T111,Brian Harman,67,4.71,191,9
124,T125,125,Aaron Baddeley,51,4.7,149,7
125,T125,107,Zach Johnson,50,4.7,149,7
126,127,136,Scott Brown,66,4.69,192,9
127,T128,127,Jhonattan Vegas,60,4.66,193,9
128,T128,109,Jimmy Walker,61,4.66,193,9
129,130,T130,Russell Knox,65,4.64,237,11
130,131,T133,Jason Dufner,56,4.6,174,8
131,132,143,Peter Malnati,64,4.57,197,9
132,133,T148,José de Jesús Rodríguez,51,4.55,132,6
133,134,T137,Patrick Cantlay,49,4.5,111,5
134,T135,139,Bryson DeChambeau,45,4.48,134,6
135,T135,126,Carlos Ortiz,60,4.48,223,10
136,T137,140,Marc Leishman,52,4.46,157,7
137,T137,T156,Johnson Wagner,45,4.46,157,7
138,T139,150,Roberto Castro,54,4.43,158,7
139,T139,T130,Kyle Jones,49,4.43,158,7
140,T141,T144,Michael Kim,51,4.41,136,6
141,T141,T144,Chris Kirk,47,4.41,136,6
142,T143,T133,Brice Garnett,63,4.4,182,8
143,T143,132,Sam Saunders,53,4.4,182,8
144,T145,T128,David Hearn,41,4.35,92,4
145,T145,T146,Satoshi Kodaira,51,4.35,138,6
146,147,135,Harris English,72,4.32,278,12
147,148,168,Wes Roach,45,4.31,116,5
148,149,T128,Brian Gay,79,4.29,233,10
149,150,T123,Daniel Berger,48,4.27,164,7
150,151,T141,Aaron Wise,52,4.24,165,7
151,T152,T141,Ryan Palmer,56,4.22,166,7
152,T152,183,Danny Willett,47,4.22,166,7
153,T154,T137,Dominic Bozzelli,53,4.17,120,5
154,T154,151,Charley Hoffman,58,4.17,120,5
155,T156,T146,Alex Prugh,54,4.07,172,7
156,T156,154,Kyle Stanley,53,4.07,123,5
157,158,999,Tyrone Van Aswegen,30,4.05,74,3
158,159,159,Billy Horschel,73,4.0,200,8
159,160,170,Graeme McDowell,61,3.97,151,6
160,T161,T161,Paul Casey,51,3.88,129,5
161,T161,T148,Brooks Koepka,49,3.88,129,5
162,163,163,Emiliano Grillo,65,3.87,155,6
163,164,160,Bud Cauley,61,3.85,208,8
164,T165,T165,Adam Long,52,3.83,183,7
165,T165,T165,J.T. Poston,76,3.83,261,10
166,T167,T171,Matthew Fitzpatrick,42,3.7,135,5
167,T167,T171,Louis Oosthuizen,43,3.7,81,3
168,T169,167,Kramer Hickok,59,3.66,164,6
169,T169,173,D.A. Points,33,3.66,82,3
170,171,174,Max Homa,61,3.65,192,7
171,T172,T152,Ben Crane,41,3.64,110,4
172,T172,164,Scott Stallings,63,3.64,165,6
173,174,158,Keegan Bradley,65,3.63,193,7
174,T175,195,Joaquin Niemann,68,3.61,166,6
175,T175,169,Chase Wright,53,3.61,166,6
176,177,T175,Hunter Mahan,45,3.57,140,5
177,178,T180,Robert Streb,60,3.5,200,7
178,179,T161,Sangmoon Bae,42,3.42,117,4
179,180,178,Tom Hoge,70,3.41,176,6
180,181,999,Martin Piller,30,3.39,59,2
181,182,179,Kevin Kisner,65,3.35,179,6
182,T183,189,Bill Haas,58,3.33,210,7
183,T183,190,Bubba Watson,47,3.33,150,5
184,T185,T186,Pat Perez,52,3.2,125,4
185,T185,T186,Ian Poulter,49,3.2,125,4
186,T187,177,Martin Laird,60,3.17,221,7
187,T187,T180,Hudson Swafford,59,3.17,189,6
188,T189,T180,Brandon Harkins,67,3.14,159,5
189,T189,T184,Russell Henley,56,3.14,191,6
190,191,188,Jon Rahm,51,3.13,128,4
191,192,T184,J.B. Holmes,54,3.06,98,3
192,193,203,Jim Herman,37,2.94,102,3
193,194,T175,Chris Thompson,34,2.91,103,3
194,195,T191,Tommy Fleetwood,43,2.78,108,3
195,196,193,Sung Kang,67,2.74,219,6
196,197,194,Patton Kizzire,58,2.67,150,4
