,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
0,T1,T2,Cameron Champ,58,0.86,48,56
1,T1,T2,Haotong Li,32,0.86,24,28
2,T3,1,Sangmoon Bae,42,0.85,34,40
3,T3,T2,Bubba Watson,47,0.85,34,40
4,5,7,John Chin,38,0.82,31,38
5,T6,T5,Jason Dufner,56,0.81,44,54
6,T6,T5,John Senden,39,0.81,30,37
7,8,8,Marc Leishman,52,0.77,37,48
8,9,9,Satoshi Kodaira,51,0.75,36,48
9,T10,T10,Bryson DeChambeau,45,0.74,31,42
10,T10,T10,Emiliano Grillo,65,0.74,46,62
11,T12,T21,Talor Gooch,37,0.73,27,37
12,T12,T21,Hank Lebioda,55,0.73,37,51
13,T12,T12,Hideki Matsuyama,59,0.73,41,56
14,T12,T21,Adam Svensson,51,0.73,36,49
15,T12,999,Tyrone Van Aswegen,30,0.73,22,30
16,T12,T12,Tiger Woods,31,0.73,19,26
17,T18,T28,Anders Albertson,48,0.72,33,46
18,T18,T16,J.B. Holmes,54,0.72,34,47
19,T18,T14,Keith Mitchell,64,0.72,44,61
20,T18,T14,Danny Willett,47,0.72,34,47
21,T22,T31,Keegan Bradley,65,0.71,41,58
22,T22,T16,Kyoung-Hoon Lee,72,0.71,48,68
23,T22,T16,Rod Pampling,40,0.71,27,38
24,T25,T16,Lucas Bjerregaard,37,0.7,21,30
25,T25,T21,D.A. Points,33,0.7,23,33
26,T25,T16,Sepp Straka,48,0.7,32,46
27,T28,T25,Branden Grace,62,0.69,37,54
28,T28,T25,Luke List,52,0.69,34,49
29,T28,T25,Adam Scott,41,0.69,27,39
30,31,T31,Chris Thompson,34,0.68,23,34
31,T32,T31,Stewart Cink,33,0.67,22,33
32,T32,T28,Brooks Koepka,49,0.67,28,42
33,T32,T28,Danny Lee,66,0.67,43,64
34,T32,T31,Brendan Steele,50,0.67,32,48
35,T36,T37,John Huh,35,0.66,23,35
36,T36,T31,Whee Kim,57,0.66,35,53
37,T36,T40,Shawn Stefani,57,0.66,35,53
38,T39,T46,Ryan Armour,66,0.65,43,66
39,T39,T40,Rafa Cabrera Bello,57,0.65,35,54
40,T39,T31,Adam Hadwin,66,0.65,40,62
41,T42,T43,Grayson Murray,36,0.64,23,36
42,T42,T43,Pat Perez,52,0.64,32,50
43,T42,T40,Seth Reeves,52,0.64,32,50
44,T45,T43,Brandon Harkins,67,0.63,40,63
45,T45,T49,Russell Henley,56,0.63,33,52
46,T45,T37,Jim Knous,55,0.63,32,51
47,T45,T46,Adam Long,52,0.63,33,52
48,T49,T49,Bronson Burgoon,37,0.62,23,37
49,T49,T49,Chris Kirk,47,0.62,28,45
50,T51,T54,Tommy Fleetwood,43,0.61,22,36
51,T51,T49,Fabián Gómez,44,0.61,27,44
52,T51,T57,Kramer Hickok,59,0.61,36,59
53,T51,T46,Seamus Power,58,0.61,33,54
54,T51,T37,Roger Sloan,62,0.61,38,62
55,T56,T49,Cameron Davis,54,0.6,31,52
56,T56,T57,Sung Kang,67,0.6,39,65
57,T56,T57,Ryan Palmer,56,0.6,31,52
58,T56,T57,J.T. Poston,76,0.6,43,72
59,T56,T54,Peter Uihlein,65,0.6,38,63
60,T61,T65,Corey Conners,62,0.59,34,58
61,T61,T65,Russell Knox,65,0.59,34,58
62,T61,T54,Trey Mullinax,67,0.59,37,63
63,T61,T65,"Ted Potter, Jr.",56,0.59,32,54
64,T65,T89,Roberto Castro,54,0.58,29,50
65,T65,T68,Jason Kokrak,68,0.58,37,64
66,T65,T68,Gary Woodland,63,0.58,35,60
67,T68,T70,Byeong Hun An,54,0.57,29,51
68,T68,T57,Roberto Díaz,51,0.57,27,47
69,T68,T70,Dylan Frittelli,55,0.57,30,53
70,T68,T57,Sungjae Im,88,0.57,48,84
71,T68,T70,Michael Kim,51,0.57,28,49
72,T68,T77,Curtis Luck,51,0.57,27,47
73,T68,999,Martin Piller,30,0.57,17,30
74,T68,T57,Ben Silverman,54,0.57,31,54
75,T68,T84,Justin Thomas,49,0.57,26,46
76,T68,T57,Jimmy Walker,61,0.57,35,61
77,T78,T77,Andrew Landry,56,0.56,29,52
78,T78,999,Shane Lowry,30,0.56,14,25
79,T78,T77,Kyle Stanley,53,0.56,27,48
80,T78,T77,Johnson Wagner,45,0.56,24,43
81,T82,T84,Abraham Ancer,69,0.55,35,64
82,T82,T84,Paul Casey,51,0.55,26,47
83,T82,T70,Tyler Duncan,66,0.55,35,64
84,T82,T77,Tom Hoge,70,0.55,36,66
85,T82,T89,Martin Laird,60,0.55,31,56
86,T87,T89,Jonathan Byrd,43,0.54,22,41
87,T87,T70,Alex Cejka,41,0.54,20,37
88,T87,T96,Austin Cook,50,0.54,25,46
89,T87,T89,Jim Herman,37,0.54,20,37
90,T87,T84,Alex Noren,49,0.54,25,46
91,T87,T89,Rory Sabbatini,71,0.54,36,67
92,T87,T89,Scott Stallings,63,0.54,32,59
93,T87,T70,Cameron Tringale,52,0.54,26,48
94,T95,T84,Scott Brown,66,0.53,33,62
95,T95,95,J.J. Henry,42,0.53,20,38
96,T95,T77,Kyle Jones,49,0.53,25,47
97,T95,T70,Matt Kuchar,65,0.53,31,58
98,T95,T77,Henrik Stenson,46,0.53,20,38
99,T95,T105,Chase Wright,53,0.53,27,51
100,T101,T96,Lucas Glover,62,0.52,30,58
101,T101,T96,Ian Poulter,49,0.52,22,42
102,T101,T96,Sam Ryder,52,0.52,27,52
103,T101,T96,Jordan Spieth,57,0.52,28,54
104,T105,T105,Joel Dahmen,78,0.51,38,74
105,T105,T105,Matthew Fitzpatrick,42,0.51,20,39
106,T107,T109,Joey Garber,44,0.5,20,40
107,T107,T109,Justin Harding,31,0.5,12,24
108,T107,T109,Beau Hossler,66,0.5,33,66
109,T107,T109,Ryan Moore,54,0.5,27,54
110,T107,T109,Scott Piercy,70,0.5,33,66
111,T107,T96,Alex Prugh,54,0.5,25,50
112,T107,T109,Chez Reavie,67,0.5,30,60
113,T107,T109,Patrick Reed,53,0.5,24,48
114,T107,T109,Xander Schauffele,55,0.5,26,52
115,T107,T128,J.J. Spaun,68,0.5,32,64
116,T107,T109,Brian Stuard,76,0.5,36,72
117,T107,T109,Jhonattan Vegas,60,0.5,29,58
118,T107,T109,Matt Wallace,31,0.5,14,28
119,T120,T135,Julián Etulain,55,0.49,25,51
120,T120,T163,David Hearn,41,0.49,18,37
121,T120,T123,Charles Howell III,64,0.49,30,61
122,T120,T105,Martin Trainer,51,0.49,25,51
123,T120,T123,Nick Watney,67,0.49,31,63
124,T120,T123,Aaron Wise,52,0.49,24,49
125,T126,T128,Ryan Blaum,67,0.48,30,63
126,T126,T128,Jason Day,45,0.48,19,40
127,T126,T96,Mackenzie Hughes,58,0.48,26,54
128,T126,T109,Zach Johnson,50,0.48,24,50
129,T126,T123,Kelly Kraft,67,0.48,30,63
130,T126,T128,Anirban Lahiri,54,0.48,24,50
131,T126,T149,Nate Lashley,44,0.48,20,42
132,T126,T128,Michael Thompson,56,0.48,27,56
133,T126,T96,D.J. Trahan,33,0.48,15,31
134,T126,T109,Kevin Tway,62,0.48,28,58
135,T136,T135,James Hahn,34,0.47,16,34
136,T136,T123,Stephan Jaeger,59,0.47,26,55
137,T136,T135,Troy Merritt,42,0.47,18,38
138,T136,T109,Joaquin Niemann,68,0.47,31,66
139,T136,T135,C.T. Pan,64,0.47,29,62
140,T136,T135,Adam Schenk,80,0.47,37,78
141,T136,T128,Harold Varner III,62,0.47,28,60
142,T143,T141,Kiradech Aphibarnrat,49,0.46,21,46
143,T143,T141,Ernie Els,43,0.46,19,41
144,T143,T128,Jim Furyk,53,0.46,22,48
145,T143,T141,Chesson Hadley,58,0.46,26,56
146,T143,T141,Charley Hoffman,58,0.46,25,54
147,T143,T135,Graeme McDowell,61,0.46,26,57
148,T143,T141,Andrew Putnam,57,0.46,24,52
149,T143,T141,Kevin Streelman,63,0.46,28,61
150,T151,T149,Billy Horschel,73,0.45,30,66
151,T151,T149,Kevin Na,54,0.45,22,49
152,T151,T149,Jon Rahm,51,0.45,20,44
153,T151,T153,Robert Streb,60,0.45,25,56
154,T155,T153,Bud Cauley,61,0.44,27,61
155,T155,T168,Bill Haas,58,0.44,24,54
156,T155,T153,Max Homa,61,0.44,26,59
157,T155,T153,Matt Jones,67,0.44,28,63
158,T155,T153,Francesco Molinari,41,0.44,15,34
159,T155,T153,Louis Oosthuizen,43,0.44,16,36
160,T155,T153,Cameron Smith,55,0.44,22,50
161,T155,T153,Chris Stroud,54,0.44,22,50
162,T155,T141,Josh Teater,47,0.44,20,45
163,T164,T163,Brian Harman,67,0.43,28,65
164,T164,T163,Freddie Jacobson,37,0.43,15,35
165,T164,T163,Sam Saunders,53,0.43,23,53
166,T164,T153,Brandt Snedeker,68,0.43,28,65
167,T168,T168,Martin Kaymer,38,0.42,16,38
168,T168,T177,Denny McCarthy,63,0.42,25,59
169,T168,T168,Phil Mickelson,41,0.42,16,38
170,T168,T172,Wes Roach,45,0.42,18,43
171,T168,T153,Brady Schnell,38,0.42,16,38
172,T168,T141,Webb Simpson,53,0.42,21,50
173,T168,T168,Nick Taylor,70,0.42,28,66
174,T175,T172,Matt Every,38,0.41,14,34
175,T175,T172,Carlos Ortiz,60,0.41,24,58
176,T175,T172,Patrick Rodgers,44,0.41,18,44
177,T175,T163,José de Jesús Rodríguez,51,0.41,21,51
178,T175,T191,Richy Werenski,63,0.41,25,61
179,180,T177,Hunter Mahan,45,0.4,18,45
180,T181,T172,Ben Crane,41,0.39,16,41
181,T181,T179,Kevin Kisner,65,0.39,21,54
182,T183,T185,Brice Garnett,63,0.38,23,61
183,T183,T179,Cody Gribble,52,0.38,18,48
184,T183,T181,Si Woo Kim,65,0.38,23,60
185,T183,T181,Patton Kizzire,58,0.38,21,56
186,T183,T185,Sebastián Muñoz,58,0.38,21,56
187,T188,T185,Rickie Fowler,54,0.37,20,54
188,T188,T181,Brian Gay,79,0.37,28,75
189,T188,T181,Rory McIlroy,50,0.37,17,46
