,Total_1_Putts_-_20-25_RANK THIS WEEK,Total_1_Putts_-_20-25_RANK LAST WEEK,Total_1_Putts_-_20-25_PLAYER NAME,Total_1_Putts_-_20-25_ROUNDS,Total_1_Putts_-_20-25_TOTAL,Total_1_Putts_-_20-25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_20-25_PCT OF ALL 1-PUTTS
0,T1,T1,Beau Hossler,66,17,387,4.4
1,T1,T1,J.T. Poston,76,17,474,3.6
2,T1,T1,Nick Watney,67,17,340,5.0
3,T4,T4,Abraham Ancer,69,16,355,4.5
4,T4,T4,Joel Dahmen,78,16,392,4.1
5,T4,T4,Sung Kang,67,16,381,4.2
6,T7,T8,Brian Gay,79,15,436,3.4
7,T7,7,Billy Horschel,73,15,320,4.7
8,T9,T8,Bryson DeChambeau,45,14,289,4.8
9,T9,T8,Vaughn Taylor,69,14,473,3.0
10,T9,T8,Harold Varner III,62,14,350,4.0
11,T12,T12,Lucas Glover,62,13,376,3.5
12,T12,T12,Jason Kokrak,68,13,387,3.4
13,T12,T15,Graeme McDowell,61,13,311,4.2
14,T12,T12,Patrick Rodgers,44,13,268,4.9
15,T16,T17,Bud Cauley,61,12,416,2.9
16,T16,T17,Martin Laird,60,12,346,3.5
17,T16,T17,Peter Malnati,64,12,421,2.9
18,T16,T17,Rory McIlroy,50,12,258,4.7
19,T16,T15,Brian Stuard,76,12,414,2.9
20,T21,T53,Roberto Castro,54,11,283,3.9
21,T21,T28,Sungjae Im,88,11,495,2.2
22,T21,T17,Matt Jones,67,11,324,3.4
23,T21,T17,Martin Kaymer,38,11,251,4.4
24,T21,T17,Patton Kizzire,58,11,274,4.0
25,T21,999,Shane Lowry,30,11,156,7.1
26,T21,T17,Curtis Luck,51,11,247,4.5
27,T21,T17,Denny McCarthy,63,11,352,3.1
28,T21,T17,Scott Piercy,70,11,353,3.1
29,T21,T17,Peter Uihlein,65,11,330,3.3
30,T31,T28,Anders Albertson,48,10,233,4.3
31,T31,T28,Tony Finau,61,10,286,3.5
32,T31,T28,Charley Hoffman,58,10,258,3.9
33,T31,T28,Kevin Kisner,65,10,309,3.2
34,T31,T28,Sebastián Muñoz,58,10,277,3.6
35,T31,T28,Andrew Putnam,57,10,284,3.5
36,T31,T28,Ollie Schniederjans,63,10,345,2.9
37,T31,T28,Jordan Spieth,57,10,354,2.8
38,T31,T37,Nick Taylor,70,10,440,2.3
39,T40,T37,Daniel Berger,48,9,293,3.1
40,T40,T37,Sam Burns,66,9,400,2.3
41,T40,T37,Harris English,72,9,423,2.1
42,T40,T53,Dylan Frittelli,55,9,299,3.0
43,T40,T37,Emiliano Grillo,65,9,259,3.5
44,T40,T37,Brian Harman,67,9,349,2.6
45,T40,T37,Anirban Lahiri,54,9,312,2.9
46,T40,T53,Hank Lebioda,55,9,262,3.4
47,T40,T37,Danny Lee,66,9,405,2.2
48,T40,T37,Pat Perez,52,9,214,4.2
49,T40,T37,Rory Sabbatini,71,9,411,2.2
50,T40,T37,Adam Schenk,80,9,427,2.1
51,T40,T78,Ben Silverman,54,9,296,3.0
52,T40,T37,Webb Simpson,53,9,336,2.7
53,T40,T37,Kevin Streelman,63,9,363,2.5
54,T40,T37,Chris Stroud,54,9,291,3.1
55,T40,T37,Michael Thompson,56,9,383,2.3
56,T40,T106,Cameron Tringale,52,9,253,3.6
57,T40,T37,Gary Woodland,63,9,293,3.1
58,T59,T53,Aaron Baddeley,51,8,308,2.6
59,T59,T78,Jonas Blixt,66,8,375,2.1
60,T59,T53,Cameron Champ,58,8,327,2.4
61,T59,T53,Stewart Cink,33,8,154,5.2
62,T59,T53,Corey Conners,62,8,276,2.9
63,T59,T53,Austin Cook,50,8,256,3.1
64,T59,T53,Chesson Hadley,58,8,308,2.6
65,T59,T53,Adam Hadwin,66,8,337,2.4
66,T59,T53,Brandon Harkins,67,8,366,2.2
67,T59,T78,Kramer Hickok,59,8,260,3.1
68,T59,T53,Max Homa,61,8,336,2.4
69,T59,T53,Charles Howell III,64,8,304,2.6
70,T59,T53,Luke List,52,8,296,2.7
71,T59,T53,Adam Long,52,8,292,2.7
72,T59,T53,Hunter Mahan,45,8,230,3.5
73,T59,T53,Troy Merritt,42,8,237,3.4
74,T59,T53,Ryan Moore,54,8,320,2.5
75,T59,T53,"Ted Potter, Jr.",56,8,299,2.7
76,T59,T53,Jon Rahm,51,8,231,3.5
77,T59,T53,Patrick Reed,53,8,272,2.9
78,T59,T53,Sam Ryder,52,8,305,2.6
79,T59,T53,Cameron Smith,55,8,255,3.1
80,T59,T78,J.J. Spaun,68,8,315,2.5
81,T59,T106,Kevin Tway,62,8,309,2.6
