,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Brian Stuard,51.85,140,270
1,T2,T3,Anirban Lahiri,50.0,72,144
2,T2,2,Webb Simpson,50.0,108,216
3,T2,T3,Martin Trainer,50.0,54,108
4,5,5,Kiradech Aphibarnrat,49.38,80,162
5,T6,T6,Si Woo Kim,49.07,106,216
6,T6,T6,Matt Wallace,49.07,53,108
7,8,T6,Jonas Blixt,48.72,114,234
8,9,9,Charl Schwartzel,48.61,35,72
9,10,10,Patrick Cantlay,47.78,86,180
10,T11,T11,Adam Long,47.22,51,108
11,T11,T11,Hunter Mahan,47.22,51,108
12,T11,T11,Francesco Molinari,47.22,68,144
13,14,14,Bud Cauley,46.97,93,198
14,T15,T32,Zach Johnson,46.67,84,180
15,T15,T15,Patton Kizzire,46.67,84,180
16,17,17,Charley Hoffman,46.3,75,162
17,18,20,Adam Schenk,45.49,131,288
18,19,18,Brandt Snedeker,45.19,122,270
19,20,21,Troy Merritt,45.14,65,144
20,21,22,Justin Rose,45.06,73,162
21,22,T32,Ryan Palmer,45.0,81,180
22,23,23,Ryan Blaum,44.95,89,198
23,T24,T24,Jonathan Byrd,44.44,64,144
24,T24,T24,Sergio Garcia,44.44,48,108
25,T24,T24,Whee Kim,44.44,48,108
26,T24,T24,Kelly Kraft,44.44,72,162
27,T24,T68,Rod Pampling,44.44,24,54
28,T24,T24,Xander Schauffele,44.44,96,216
29,T30,T29,Wyndham Clark,43.94,87,198
30,T30,T29,Marc Leishman,43.94,87,198
31,T30,T15,Peter Malnati,43.94,87,198
32,T30,T29,Ryan Moore,43.94,87,198
33,34,T43,Cameron Tringale,43.89,79,180
34,35,T32,Cameron Davis,43.83,71,162
35,36,42,Harris English,43.7,118,270
36,T37,T37,Rafa Cabrera Bello,43.59,102,234
37,T37,T37,Rickie Fowler,43.59,102,234
38,39,40,Ryan Armour,43.43,86,198
39,T40,T68,Joey Garber,43.33,39,90
40,T40,41,Denny McCarthy,43.33,78,180
41,T42,45,John Chin,43.06,31,72
42,T42,999,Shane Lowry,43.06,31,72
43,44,46,Rory Sabbatini,42.96,116,270
44,T45,T47,Phil Mickelson,42.86,54,126
45,T45,39,Sepp Straka,42.86,54,126
46,T45,T47,Chris Stroud,42.86,54,126
47,T48,T32,Jim Furyk,42.78,77,180
48,T48,50,Ollie Schniederjans,42.78,77,180
49,50,76,Brian Gay,42.71,123,288
50,T51,T51,Corey Conners,42.59,69,162
51,T51,T51,Satoshi Kodaira,42.59,69,162
52,T51,T51,Haotong Li,42.59,46,108
53,T51,T51,Carlos Ortiz,42.59,69,162
54,T51,T58,Josh Teater,42.59,46,108
55,T51,999,Tyrone Van Aswegen,42.59,23,54
56,T57,T55,Sam Burns,42.42,84,198
57,T57,T55,Max Homa,42.42,84,198
58,T57,T55,Sam Ryder,42.42,84,198
59,T60,T84,Sungjae Im,42.36,122,288
60,T60,T47,José de Jesús Rodríguez,42.36,61,144
61,62,T60,Graeme McDowell,42.31,99,234
62,63,T58,Justin Harding,42.22,38,90
63,T64,T60,Beau Hossler,42.13,91,216
64,T64,T60,Vaughn Taylor,42.13,91,216
65,66,T102,Wes Roach,42.06,53,126
66,T67,T113,Dominic Bozzelli,41.98,68,162
67,T67,T63,Bryson DeChambeau,41.98,68,162
68,T67,T63,Tyrrell Hatton,41.98,68,162
69,70,65,Byeong Hun An,41.92,83,198
70,T71,T66,Sung Kang,41.88,98,234
71,T71,T66,Gary Woodland,41.88,98,234
72,T73,T68,Roberto Díaz,41.67,60,144
73,T73,19,Talor Gooch,41.67,45,108
74,T73,T68,Bill Haas,41.67,75,180
75,T73,T68,J.J. Henry,41.67,30,72
76,T73,T68,Trey Mullinax,41.67,90,216
77,T73,T43,Roger Sloan,41.67,75,180
78,T73,T68,Kyle Stanley,41.67,60,144
79,T73,T91,Nick Taylor,41.67,105,252
80,81,111,Jimmy Walker,41.45,97,234
81,82,77,Cameron Smith,41.41,82,198
82,T83,T78,Jason Day,41.36,67,162
83,T83,T78,Andrew Landry,41.36,67,162
84,T83,T78,Luke List,41.36,67,162
85,T83,36,Ben Silverman,41.36,67,162
86,87,82,J.B. Holmes,41.27,52,126
87,88,83,Keith Mitchell,41.2,89,216
88,T89,T84,Aaron Baddeley,41.11,74,180
89,T89,T113,Daniel Berger,41.11,74,180
90,T91,T86,Chesson Hadley,40.97,59,144
91,T91,T94,Mackenzie Hughes,40.97,59,144
92,T91,T86,Sam Saunders,40.97,59,144
93,T94,T89,D.A. Points,40.74,22,54
94,T94,T89,Hudson Swafford,40.74,66,162
95,T94,T113,D.J. Trahan,40.74,44,108
96,97,T91,C.T. Pan,40.6,95,234
97,98,T113,Sebastián Muñoz,40.56,73,180
98,T99,T94,Curtis Luck,40.48,51,126
99,T99,T94,Hideki Matsuyama,40.48,102,252
100,T101,T68,Brian Harman,40.4,80,198
101,T101,T151,Rory McIlroy,40.4,80,198
102,T101,93,Peter Uihlein,40.4,80,198
103,104,97,J.T. Poston,40.37,109,270
104,T105,98,David Hearn,40.28,29,72
105,T105,T166,Chris Thompson,40.28,29,72
106,T105,144,Danny Willett,40.28,58,144
107,108,99,Charles Howell III,40.17,94,234
108,109,T86,Bubba Watson,40.12,65,162
109,110,100,Billy Horschel,39.93,115,288
110,T111,101,Brandon Harkins,39.9,79,198
111,T111,T113,Harold Varner III,39.9,79,198
112,T113,T102,Kevin Kisner,39.81,86,216
113,T113,T102,Tiger Woods,39.81,43,108
114,T115,T105,Jason Dufner,39.68,50,126
115,T115,T133,Adam Hadwin,39.68,100,252
116,T115,T105,Adam Svensson,39.68,50,126
