,One-Putt_Percentage_-_Round_2_RANK THIS WEEK,One-Putt_Percentage_-_Round_2_RANK LAST WEEK,One-Putt_Percentage_-_Round_2_PLAYER NAME,One-Putt_Percentage_-_Round_2_%,One-Putt_Percentage_-_Round_2_# OF 1 PUTTS,One-Putt_Percentage_-_Round_2_# OF HOLES
0,1,1,Jordan Spieth,51.11,138,270
1,2,5,Peter Malnati,47.84,155,324
2,3,2,Wyndham Clark,47.53,154,324
3,4,3,Vaughn Taylor,47.5,171,360
4,5,4,Michael Thompson,47.39,145,306
5,6,T8,José de Jesús Rodríguez,47.06,144,306
6,7,6,Justin Rose,46.11,83,180
7,8,7,Justin Harding,46.03,58,126
8,9,10,Francesco Molinari,45.68,74,162
9,10,20,Matt Every,45.45,90,198
10,11,16,Brian Harman,45.24,171,378
11,12,14,Curtis Luck,45.14,130,288
12,13,12,Jason Day,44.95,89,198
13,14,13,Cameron Smith,44.84,113,252
14,15,T8,Martin Laird,44.77,137,306
15,16,15,Abraham Ancer,44.75,145,324
16,17,11,Nick Taylor,44.74,153,342
17,T18,T17,Matthew Fitzpatrick,44.44,80,180
18,T18,T17,Sam Ryder,44.44,120,270
19,20,T40,Ben Crane,44.02,103,234
20,21,19,Ernie Els,43.98,95,216
21,22,26,Martin Trainer,43.83,142,324
22,23,T21,Adam Hadwin,43.79,134,306
23,24,23,Freddie Jacobson,43.59,102,234
24,25,T32,Brandt Snedeker,43.46,133,306
25,T26,T27,Ryan Blaum,43.33,156,360
26,T26,T27,Tony Finau,43.33,117,270
27,T26,34,Brian Gay,43.33,156,360
28,T26,T27,Louis Oosthuizen,43.33,78,180
29,T30,T30,Hideki Matsuyama,43.25,109,252
30,T30,T30,Pat Perez,43.25,109,252
31,32,51,Cody Gribble,43.14,132,306
32,T33,T40,Dominic Bozzelli,43.06,124,288
33,T33,T32,Anirban Lahiri,43.06,124,288
34,T33,T47,Roger Sloan,43.06,155,360
35,36,T40,Scott Langley,42.98,147,342
36,T37,T36,Sangmoon Bae,42.96,116,270
37,T37,T36,Graeme McDowell,42.96,116,270
38,39,38,Kevin Tway,42.9,139,324
39,40,39,Daniel Berger,42.86,108,252
40,41,T21,Sam Saunders,42.81,131,306
41,42,T24,Richy Werenski,42.69,146,342
42,T43,53,Jonathan Byrd,42.59,92,216
43,T43,T40,Stewart Cink,42.59,92,216
44,T43,T77,Matt Kuchar,42.59,115,270
45,46,T44,Rickie Fowler,42.46,107,252
46,47,T47,Sam Burns,42.4,145,342
47,T48,T55,Mackenzie Hughes,42.28,137,324
48,T48,T49,Si Woo Kim,42.28,137,324
49,50,T44,Julián Etulain,42.22,114,270
50,T51,46,Talor Gooch,42.13,91,216
51,T51,35,Rory McIlroy,42.13,91,216
52,53,T24,Denny McCarthy,42.11,144,342
53,54,62,Stephan Jaeger,41.98,136,324
54,55,52,Beau Hossler,41.94,151,360
55,T56,54,Marc Leishman,41.88,98,234
56,T56,T71,Webb Simpson,41.88,98,234
57,T58,T55,Patton Kizzire,41.83,128,306
58,T58,T87,Ben Silverman,41.83,128,306
59,60,T49,Bud Cauley,41.81,143,342
60,T61,T58,Matt Jones,41.67,135,324
61,T61,61,Kelly Kraft,41.67,165,396
62,T61,T58,Haotong Li,41.67,60,144
63,T61,999,Martin Piller,41.67,75,180
64,T65,T63,Aaron Baddeley,41.48,112,270
65,T65,T63,Kevin Kisner,41.48,112,270
66,T65,T63,Satoshi Kodaira,41.48,112,270
67,T68,67,Charl Schwartzel,41.41,82,198
68,T68,999,Tyrone Van Aswegen,41.41,82,198
69,70,69,Chris Kirk,41.32,119,288
70,71,74,Tyler Duncan,41.27,156,378
71,T72,68,Whee Kim,41.23,141,342
72,T72,T58,Scott Stallings,41.23,141,342
73,T74,T71,Bryson DeChambeau,41.2,89,216
74,T74,76,Justin Thomas,41.2,89,216
75,76,73,Cameron Champ,41.18,126,306
76,T77,66,Sungjae Im,41.11,185,450
77,T77,T77,Hank Lebioda,41.11,111,270
78,T77,57,Ollie Schniederjans,41.11,148,360
79,80,T80,J.J. Spaun,41.05,133,324
80,81,T84,Austin Cook,40.97,118,288
81,82,75,Danny Lee,40.94,140,342
82,83,89,Cameron Tringale,40.87,103,252
83,84,T80,"Ted Potter, Jr.",40.85,125,306
84,T85,115,J.B. Holmes,40.74,110,270
85,T85,T80,Kyle Jones,40.74,132,324
86,T85,T80,Scott Piercy,40.74,132,324
87,88,T87,Jason Kokrak,40.63,117,288
88,89,T84,Johnson Wagner,40.6,95,234
89,T90,T95,Anders Albertson,40.52,124,306
90,T90,T90,Andrew Landry,40.52,124,306
91,92,92,Xander Schauffele,40.48,102,252
92,T93,93,C.T. Pan,40.43,131,324
93,T93,T90,Chase Wright,40.43,131,324
94,T95,133,Brooks Koepka,40.4,80,198
95,T95,94,Adam Scott,40.4,80,198
96,97,70,Ryan Palmer,40.37,109,270
97,98,T84,Jonas Blixt,40.35,138,342
98,T99,99,Rory Sabbatini,40.12,130,324
99,T99,97,Shawn Stefani,40.12,130,324
100,T101,100,Bronson Burgoon,40.08,101,252
101,T101,98,Joey Garber,40.08,101,252
102,T101,T103,Fabián Gómez,40.08,101,252
103,T101,T113,Brady Schnell,40.08,101,252
104,T105,T77,Zach Johnson,40.0,108,270
105,T105,101,Andrew Putnam,40.0,108,270
106,107,102,J.T. Poston,39.95,151,378
107,108,T108,Cameron Davis,39.87,122,306
108,T109,T95,David Hearn,39.74,93,234
109,T109,T103,John Huh,39.74,93,234
110,T109,T103,Patrick Reed,39.74,93,234
111,112,T103,Alex Cejka,39.68,100,252
112,T113,112,Kevin Streelman,39.47,135,342
113,T113,T110,Nick Watney,39.47,135,342
114,115,T117,Seamus Power,39.44,142,360
115,116,T117,Dustin Johnson,39.39,78,198
116,117,T139,Wes Roach,39.32,92,234
117,118,107,Danny Willett,39.26,106,270
118,T119,T117,Kiradech Aphibarnrat,38.89,98,252
119,T119,T117,Paul Casey,38.89,91,234
120,T119,T117,Tommy Fleetwood,38.89,63,162
121,T119,T117,Martin Kaymer,38.89,77,198
122,T119,T117,Phil Mickelson,38.89,84,216
123,T119,T117,Ryan Moore,38.89,112,288
124,T119,T110,Joaquin Niemann,38.89,133,342
125,T119,T117,Brian Stuard,38.89,147,378
126,T119,T117,Jhonattan Vegas,38.89,119,306
127,T119,116,Jimmy Walker,38.89,119,306
128,129,135,Harold Varner III,38.6,132,342
129,130,127,Chez Reavie,38.56,118,306
130,T131,137,Keegan Bradley,38.54,111,288
131,T131,128,Lucas Glover,38.54,111,288
132,133,129,Hunter Mahan,38.52,104,270
133,134,T130,Byeong Hun An,38.49,97,252
134,135,132,Joel Dahmen,38.36,145,378
135,T136,134,Brandon Harkins,38.33,138,360
136,T136,T142,Robert Streb,38.33,138,360
137,138,146,Peter Uihlein,38.3,131,342
138,139,136,Lucas Bjerregaard,38.27,62,162
139,140,T108,Sebastián Muñoz,38.24,117,306
140,141,999,Shane Lowry,38.19,55,144
141,T142,T113,Jim Furyk,38.1,96,252
142,T142,138,Tiger Woods,38.1,48,126
143,144,T139,Max Homa,37.96,123,324
144,145,141,Grayson Murray,37.88,75,198
145,146,T157,Henrik Stenson,37.78,68,180
146,147,T142,Chesson Hadley,37.72,129,342
147,T148,165,Harris English,37.5,135,360
148,T148,T147,Michael Kim,37.5,135,360
149,T148,T147,Kyoung-Hoon Lee,37.5,135,360
150,T148,T147,Jon Rahm,37.5,81,216
151,T148,T147,John Senden,37.5,81,216
152,T153,T144,Roberto Castro,37.41,101,270
153,T153,T130,Roberto Díaz,37.41,101,270
154,T153,159,Aaron Wise,37.41,101,270
155,156,156,Rafa Cabrera Bello,37.3,94,252
156,157,T147,Chris Stroud,37.25,114,306
157,T158,T144,Dylan Frittelli,37.04,100,270
158,T158,T147,Sergio Garcia,37.04,60,162
159,T158,T157,Luke List,37.04,100,270
160,T158,T166,Sepp Straka,37.04,100,270
161,162,160,Ian Poulter,36.87,73,198
162,163,155,Trey Mullinax,36.84,126,342
163,164,T170,Scott Brown,36.67,132,360
164,T165,T147,Russell Henley,36.6,112,306
165,T165,162,Charley Hoffman,36.6,112,306
166,T167,163,D.A. Points,36.57,79,216
167,T167,173,Chris Thompson,36.57,79,216
168,169,164,Sung Kang,36.55,125,342
169,170,T166,Alex Noren,36.32,85,234
170,171,161,Adam Svensson,36.27,111,306
171,T172,T187,Jim Herman,36.11,104,288
172,T172,T178,Jim Knous,36.11,104,288
173,T172,T166,Keith Mitchell,36.11,117,324
174,T172,T170,Carlos Ortiz,36.11,130,360
175,T172,T166,Gary Woodland,36.11,104,288
176,177,T176,Adam Schenk,35.99,149,414
177,178,172,Billy Horschel,35.95,110,306
178,T179,175,Kyle Stanley,35.76,103,288
179,T179,T178,Josh Teater,35.76,103,288
180,181,T176,Tom Hoge,35.75,148,414
181,182,174,Ryan Armour,35.71,135,378
182,183,T185,Nate Lashley,35.65,77,216
183,184,T180,Seth Reeves,35.62,109,306
184,185,182,Patrick Cantlay,35.19,76,216
185,186,183,Kevin Na,34.92,88,252
186,187,T185,Troy Merritt,34.85,69,198
187,188,T191,Kramer Hickok,34.8,119,342
188,T189,T189,Brendan Steele,34.72,100,288
189,T189,T189,Matt Wallace,34.72,50,144
190,T191,T191,Jason Dufner,34.57,112,324
191,T191,T180,D.J. Trahan,34.57,56,162
192,193,193,James Hahn,34.44,62,180
193,194,194,Branden Grace,34.38,99,288
194,195,184,Hudson Swafford,34.21,117,342
195,196,195,Russell Knox,34.03,98,288
196,197,196,Charles Howell III,33.99,104,306
197,198,202,Bubba Watson,33.84,67,198
198,199,197,Tyrrell Hatton,33.8,73,216
199,200,198,Patrick Rodgers,33.73,85,252
200,201,T187,Bill Haas,33.68,97,288
201,202,199,Alex Prugh,33.33,102,306
202,203,203,Brice Garnett,33.06,119,360
203,204,200,Adam Long,33.04,113,342
204,205,205,Rod Pampling,32.22,87,270
205,206,204,Corey Conners,32.16,110,342
206,207,201,John Chin,32.14,81,252
207,208,206,J.J. Henry,30.16,76,252
208,209,207,Emiliano Grillo,28.47,82,288
