,Putting_from_9_RANK THIS WEEK,Putting_from_9_RANK LAST WEEK,Putting_from_9_PLAYER NAME,Putting_from_9_ROUNDS,Putting_from_9_% MADE,Putting_from_9_ATTEMPTS,Putting_from_9_PUTTS MADE
0,1,2,Ian Poulter,49,68.75,16,11
1,2,3,Jim Furyk,53,68.0,25,17
2,T3,1,Dominic Bozzelli,53,66.67,30,20
3,T3,T4,Ernie Els,43,66.67,15,10
4,T3,T4,Graeme McDowell,61,66.67,21,14
5,6,6,Rickie Fowler,54,64.52,31,20
6,7,T20,Wyndham Clark,61,62.5,32,20
7,8,T9,Patrick Cantlay,49,61.9,21,13
8,9,T12,Sepp Straka,48,61.54,26,16
9,10,T16,Ben Crane,41,61.11,18,11
10,T11,T12,Rafa Cabrera Bello,57,60.87,23,14
11,T11,T12,Si Woo Kim,65,60.87,23,14
12,13,15,Sam Burns,66,60.38,53,32
13,T14,8,Jonathan Byrd,43,60.0,30,18
14,T14,7,Roberto Castro,54,60.0,30,18
15,T14,T16,Adam Scott,41,60.0,15,9
16,17,18,Chase Wright,53,59.26,27,16
17,18,27,Danny Lee,66,59.18,49,29
18,19,T9,Denny McCarthy,63,59.09,44,26
19,20,19,Ryan Blaum,67,58.97,39,23
20,21,T20,Aaron Baddeley,51,58.62,29,17
21,T22,T23,Marc Leishman,52,58.33,24,14
22,T22,T23,Andrew Putnam,57,58.33,24,14
23,24,25,Ryan Armour,66,58.06,31,18
24,25,11,Brady Schnell,38,57.89,19,11
25,T26,T32,Fabián Gómez,44,57.69,26,15
26,T26,39,Scott Langley,60,57.69,26,15
27,T26,T32,Brandt Snedeker,68,57.69,26,15
28,T26,28,Vaughn Taylor,69,57.69,52,30
29,T30,T29,Matt Jones,67,57.14,35,20
30,T30,T29,Henrik Stenson,46,57.14,28,16
31,T32,T34,Hideki Matsuyama,59,56.25,32,18
32,T32,T34,Kevin Streelman,63,56.25,32,18
33,T32,T34,Michael Thompson,56,56.25,32,18
34,35,38,Sung Kang,67,56.1,41,23
35,36,40,Patrick Reed,53,55.56,27,15
36,37,T46,Sungjae Im,88,55.32,47,26
37,38,41,Bryson DeChambeau,45,55.26,38,21
38,39,42,Jason Dufner,56,55.17,29,16
39,T40,T44,Beau Hossler,66,54.84,31,17
40,T40,T44,C.T. Pan,64,54.84,31,17
41,T42,T46,Kiradech Aphibarnrat,49,54.55,22,12
42,T42,T64,Sangmoon Bae,42,54.55,22,12
43,T42,26,Talor Gooch,37,54.55,22,12
44,T42,T20,Zach Johnson,50,54.55,33,18
45,46,48,Kevin Na,54,54.17,24,13
46,47,T49,Cameron Champ,58,53.85,39,21
47,T48,T49,Chris Stroud,54,53.33,30,16
48,T48,T29,Martin Trainer,51,53.33,30,16
49,50,T64,Wes Roach,45,52.94,17,9
50,T51,999,Shane Lowry,30,52.63,19,10
51,T51,T34,Josh Teater,47,52.63,19,10
52,T51,T53,Jhonattan Vegas,60,52.63,38,20
53,54,43,Whee Kim,57,52.38,21,11
54,55,56,Keith Mitchell,64,52.17,23,12
55,T56,T57,Emiliano Grillo,65,52.0,25,13
56,T56,T57,Billy Horschel,73,52.0,25,13
57,58,59,J.J. Spaun,68,51.85,27,14
