,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
0,1,1,Sam Burns,0.43,1,234
1,T2,3,Andrew Putnam,0.51,1,198
2,T2,T4,Harold Varner III,0.51,1,198
3,T4,T7,Dominic Bozzelli,0.56,1,180
4,T4,T4,Patrick Cantlay,0.56,1,180
5,T4,T4,Hudson Swafford,0.56,1,180
6,T7,T7,Kiradech Aphibarnrat,0.62,1,162
7,T7,,Henrik Stenson,0.62,1,162
8,9,9,Vaughn Taylor,0.74,2,270
9,10,2,Jonas Blixt,0.85,2,234
10,T11,T10,Matt Every,0.93,1,108
11,T11,T10,Brady Schnell,0.93,1,108
12,T11,T10,Matt Wallace,0.93,1,108
13,14,14,Cameron Smith,1.01,2,198
14,T15,T17,Scott Langley,1.11,2,180
15,T15,999,Shane Lowry,1.11,1,90
16,T15,15,Ollie Schniederjans,1.11,2,180
17,18,16,Sung Kang,1.19,3,252
18,T19,T17,Tyrrell Hatton,1.23,2,162
19,T19,T17,Nate Lashley,1.23,2,162
20,T19,T17,Alex Prugh,1.23,2,162
21,T19,T17,Seth Reeves,1.23,2,162
22,23,23,C.T. Pan,1.28,3,234
23,24,T26,Peter Uihlein,1.39,3,216
24,25,T30,Harris English,1.48,4,270
25,T26,T26,Brice Garnett,1.52,3,198
26,T26,T26,Kramer Hickok,1.52,3,198
27,T26,T32,Stephan Jaeger,1.52,3,198
28,T26,T26,Ryan Moore,1.52,3,198
29,30,T30,Grayson Murray,1.59,2,126
30,T31,T38,Daniel Berger,1.67,3,180
31,T31,T38,Roberto Castro,1.67,3,180
32,T31,T38,Kelly Kraft,1.67,3,180
33,T31,T32,Jon Rahm,1.67,3,180
34,T31,T17,Wes Roach,1.67,3,180
35,T36,T36,Tony Finau,1.71,4,234
36,T36,T36,Russell Knox,1.71,4,234
37,38,25,Brandt Snedeker,1.74,5,288
38,T39,T38,Byeong Hun An,1.85,4,216
39,T39,T38,Bud Cauley,1.85,4,216
40,T39,T38,John Chin,1.85,2,108
41,T39,T55,Ben Crane,1.85,3,162
42,T39,T38,Cameron Davis,1.85,3,162
43,T39,T38,J.J. Henry,1.85,2,108
44,T39,T38,Hunter Mahan,1.85,3,162
45,T39,T38,Patrick Rodgers,1.85,3,162
46,T39,T38,Justin Rose,1.85,3,162
47,T39,24,Danny Willett,1.85,3,162
48,49,53,Beau Hossler,1.98,5,252
49,T50,T32,Dustin Johnson,2.02,4,198
50,T50,T32,Justin Thomas,2.02,4,198
51,T52,T55,Austin Cook,2.08,3,144
52,T52,T60,Adam Schenk,2.08,6,288
53,T52,T55,Brendan Steele,2.08,3,144
54,T52,T55,Martin Trainer,2.08,3,144
55,T56,T38,Danny Lee,2.14,5,234
56,T56,T68,Peter Malnati,2.14,5,234
57,T56,59,Richy Werenski,2.14,5,234
58,T59,T60,Julián Etulain,2.22,4,180
59,T59,T60,Matthew Fitzpatrick,2.22,4,180
60,T59,T60,Freddie Jacobson,2.22,2,90
61,T59,T38,Zach Johnson,2.22,4,180
62,T59,T60,Michael Kim,2.22,2,90
63,T59,T76,Alex Noren,2.22,4,180
64,T59,T89,Rod Pampling,2.22,2,90
65,T59,T60,J.T. Poston,2.22,6,270
66,T59,T60,Charl Schwartzel,2.22,2,90
67,T59,T76,Cameron Tringale,2.22,4,180
68,T59,T60,Gary Woodland,2.22,6,270
69,T70,T68,Wyndham Clark,2.31,5,216
70,T70,54,Tyler Duncan,2.31,5,216
71,T70,T68,Si Woo Kim,2.31,5,216
72,T70,T68,Patton Kizzire,2.31,5,216
73,T70,T80,Martin Laird,2.31,5,216
74,T70,T80,Webb Simpson,2.31,5,216
75,T70,T68,Kevin Streelman,2.31,5,216
76,T77,T89,Talor Gooch,2.38,3,126
77,T77,T38,Cody Gribble,2.38,3,126
78,T77,T85,Adam Hadwin,2.38,6,252
79,T77,T74,David Hearn,2.38,3,126
80,T77,T74,Chris Kirk,2.38,3,126
81,T77,T85,Nick Taylor,2.38,6,252
82,T77,T89,Josh Teater,2.38,3,126
83,T77,T89,D.J. Trahan,2.38,3,126
84,T85,T89,Jonathan Byrd,2.47,4,162
85,T85,T76,Shawn Stefani,2.47,4,162
86,T87,T80,Charley Hoffman,2.53,5,198
87,T87,T80,Tom Hoge,2.53,5,198
88,T87,T80,Scott Stallings,2.53,5,198
89,T90,T68,Keegan Bradley,2.56,6,234
90,T90,T85,Rickie Fowler,2.56,6,234
91,92,88,Brian Stuard,2.59,7,270
92,T93,T89,Abraham Ancer,2.78,7,252
93,T93,T89,Paul Casey,2.78,5,180
94,T93,T76,Jim Furyk,2.78,5,180
95,T93,T89,Sergio Garcia,2.78,3,108
96,T93,T89,Chesson Hadley,2.78,5,180
97,T93,T89,James Hahn,2.78,4,144
98,T93,T89,Max Homa,2.78,6,216
99,T93,T121,Mackenzie Hughes,2.78,5,180
100,T93,T89,Matt Jones,2.78,7,252
101,T93,T89,Kevin Kisner,2.78,6,216
102,T93,T89,Adam Long,2.78,4,144
103,T93,T89,Curtis Luck,2.78,4,144
104,T93,T89,Francesco Molinari,2.78,4,144
105,T93,T89,Louis Oosthuizen,2.78,4,144
106,T93,999,Martin Piller,2.78,3,108
107,T93,T89,Seamus Power,2.78,4,144
108,T93,T89,Kyle Stanley,2.78,4,144
109,T93,T126,Robert Streb,2.78,4,144
110,T93,T89,Aaron Wise,2.78,5,180
111,T112,T126,Joaquin Niemann,2.96,8,270
112,T112,110,Scott Piercy,2.96,8,270
113,T114,T111,Lucas Glover,2.99,7,234
114,T114,T111,Chez Reavie,2.99,7,234
115,T116,T113,Aaron Baddeley,3.03,6,198
116,T116,T113,Bill Haas,3.03,6,198
117,T116,T113,Marc Leishman,3.03,6,198
118,T116,T133,Rory McIlroy,3.03,6,198
119,T116,T113,Kevin Na,3.03,6,198
120,T116,T113,Pat Perez,3.03,6,198
121,T116,T113,"Ted Potter, Jr.",3.03,6,198
122,T116,T113,Sam Ryder,3.03,6,198
123,T124,T121,Jason Day,3.09,5,162
124,T124,132,Brian Gay,3.09,10,324
125,T124,T121,Chase Wright,3.09,5,162
126,T127,T124,Billy Horschel,3.13,9,288
127,T127,T124,Jason Kokrak,3.13,9,288
128,T129,T38,Joey Garber,3.17,4,126
129,T129,T126,Hideki Matsuyama,3.17,8,252
130,T129,T141,Graeme McDowell,3.17,8,252
131,T129,T126,Phil Mickelson,3.17,4,126
132,T133,T130,Brandon Harkins,3.24,7,216
133,T133,T113,Brian Harman,3.24,7,216
134,T133,T130,Xander Schauffele,3.24,7,216
135,T136,T133,Russell Henley,3.33,6,180
136,T136,T133,John Huh,3.33,3,90
137,T136,T133,Anirban Lahiri,3.33,6,180
138,T136,T133,Sam Saunders,3.33,6,180
139,T140,T141,Keith Mitchell,3.42,8,234
140,T140,T141,Nick Watney,3.42,8,234
141,T142,T144,Joel Dahmen,3.47,10,288
142,T142,T144,Troy Merritt,3.47,5,144
