,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,1,Joey Garber,44,2.5,20,5.0
1,2,2,Kevin Na,54,1.92,26,5.0
2,3,4,Matthew Fitzpatrick,42,1.72,29,5.0
3,T4,3,Sergio Garcia,39,1.67,18,3.0
4,T4,5,Phil Mickelson,41,1.67,18,3.0
5,6,7,Julián Etulain,55,1.58,19,3.0
6,7,8,D.J. Trahan,33,1.54,13,2.0
7,8,9,Hideki Matsuyama,59,1.52,33,5.0
8,T9,T10,Adam Scott,41,1.5,20,3.0
9,T9,T10,Cameron Smith,55,1.5,20,3.0
10,T11,13,Jason Day,45,1.43,14,2.0
11,T11,17,Jim Knous,55,1.43,42,6.0
12,13,15,Matt Wallace,31,1.36,22,3.0
13,T14,6,Stephan Jaeger,59,1.35,37,5.0
14,T14,14,Harold Varner III,62,1.35,37,5.0
15,16,16,"Ted Potter, Jr.",56,1.33,30,4.0
16,T17,T18,David Hearn,41,1.3,23,3.0
17,T17,T18,Freddie Jacobson,37,1.3,23,3.0
18,T19,T20,Stewart Cink,33,1.25,16,2.0
19,T19,T20,Xander Schauffele,55,1.25,32,4.0
20,21,T10,Talor Gooch,37,1.2,25,3.0
21,T22,999,Shane Lowry,30,1.18,17,2.0
22,T22,T31,Sebastián Muñoz,58,1.18,34,4.0
23,24,T24,Richy Werenski,63,1.11,45,5.0
24,25,T24,Adam Hadwin,66,1.08,37,4.0
25,26,28,Billy Horschel,73,1.05,38,4.0
26,T27,T29,Cameron Davis,54,1.03,29,3.0
27,T27,T29,Whee Kim,57,1.03,29,3.0
28,T27,23,Cameron Tringale,52,1.03,29,3.0
29,T30,T31,Aaron Baddeley,51,1.0,30,3.0
30,T30,26,Alex Cejka,41,1.0,20,2.0
31,T30,T31,Justin Harding,31,1.0,10,1.0
32,T30,T31,Anirban Lahiri,54,1.0,30,3.0
33,T30,T31,Brian Stuard,76,1.0,40,4.0
34,T30,T20,Justin Thomas,49,1.0,30,3.0
35,T30,T76,Danny Willett,47,1.0,30,3.0
36,T37,27,Roger Sloan,62,0.98,41,4.0
37,T37,T54,Adam Svensson,51,0.98,41,4.0
38,T39,T39,Branden Grace,62,0.97,31,3.0
39,T39,T39,Si Woo Kim,65,0.97,31,3.0
40,41,T117,Roberto Díaz,51,0.95,21,2.0
41,T42,T44,Tyrrell Hatton,46,0.91,33,3.0
42,T42,T127,Wes Roach,45,0.91,22,2.0
43,T44,T31,Kelly Kraft,67,0.88,34,3.0
44,T44,T44,Chris Stroud,54,0.88,34,3.0
45,T44,T86,Johnson Wagner,45,0.88,34,3.0
46,47,T48,Lucas Glover,62,0.87,46,4.0
47,T48,T39,Nate Lashley,44,0.86,35,3.0
48,T48,T50,Patrick Reed,53,0.86,35,3.0
49,T48,T50,Patrick Rodgers,44,0.86,35,3.0
50,51,38,Nick Taylor,70,0.85,47,4.0
51,T52,T54,Paul Casey,51,0.83,24,2.0
52,T52,T50,Mackenzie Hughes,58,0.83,36,3.0
53,T52,T54,Dustin Johnson,47,0.83,24,2.0
54,T52,T54,Michael Kim,51,0.83,36,3.0
55,T52,T54,Andrew Landry,56,0.83,24,2.0
56,T52,T42,Alex Noren,49,0.83,36,3.0
57,58,T81,Sungjae Im,88,0.82,61,5.0
58,T59,T62,Chesson Hadley,58,0.81,37,3.0
59,T59,T62,Marc Leishman,52,0.81,37,3.0
60,T59,T62,Michael Thompson,56,0.81,37,3.0
61,62,T48,Dominic Bozzelli,53,0.8,25,2.0
62,T63,65,Sam Burns,66,0.79,38,3.0
63,T63,T46,Hank Lebioda,55,0.79,38,3.0
64,T63,T31,Rory McIlroy,50,0.79,38,3.0
65,T63,T46,Ben Silverman,54,0.79,38,3.0
66,T67,T50,Scott Brown,66,0.77,39,3.0
67,T67,T66,Rafa Cabrera Bello,57,0.77,39,3.0
68,T67,T42,Brandt Snedeker,68,0.77,39,3.0
69,T70,T70,Ryan Blaum,67,0.75,53,4.0
70,T70,T70,J.T. Poston,76,0.75,53,4.0
71,T70,T66,Sam Saunders,53,0.75,40,3.0
72,T73,T54,Daniel Berger,48,0.74,27,2.0
73,T73,T54,Keegan Bradley,65,0.74,27,2.0
74,T73,74,Adam Long,52,0.74,27,2.0
75,76,T70,Denny McCarthy,63,0.73,41,3.0
76,T77,T54,Roberto Castro,54,0.71,28,2.0
77,T77,T76,Cameron Champ,58,0.71,42,3.0
78,T77,T66,Martin Trainer,51,0.71,28,2.0
79,80,T79,Matt Jones,67,0.7,43,3.0
80,T81,T81,Matt Every,38,0.69,29,2.0
81,T81,T81,Kyle Stanley,53,0.69,29,2.0
82,83,75,Brian Harman,67,0.68,44,3.0
83,T84,T84,Tony Finau,61,0.67,30,2.0
84,T84,999,Martin Piller,30,0.67,15,1.0
