,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
151,152,146,Tom Hoge,70,-0.21899999999999997,-10.532,48
152,153,152,Luke List,52,-0.223,-9.58,43
153,154,153,John Huh,35,-0.225,-6.065,27
154,155,154,Keith Mitchell,64,-0.22899999999999998,-9.371,41
155,156,143,Austin Cook,50,-0.235,-8.237,35
156,157,175,Jonathan Byrd,43,-0.23800000000000002,-6.662999999999999,28
157,T158,126,Lucas Bjerregaard,37,-0.24100000000000002,-5.307,22
158,T158,169,Chris Thompson,34,-0.24100000000000002,-5.308,22
159,160,T160,Danny Willett,47,-0.243,-9.221,38
160,161,T157,Robert Streb,60,-0.245,-10.798,44
161,162,130,David Hearn,41,-0.248,-5.96,24
162,163,155,Matthew Fitzpatrick,42,-0.256,-7.422999999999999,29
163,164,156,Kevin Streelman,63,-0.259,-13.722000000000001,53
164,T165,T157,Paul Casey,51,-0.26,-8.06,31
165,T165,T157,John Senden,39,-0.26,-6.237,24
166,167,164,Russell Henley,56,-0.26899999999999996,-11.549000000000001,43
167,168,162,Adam Long,52,-0.271,-11.925999999999998,44
168,169,T179,Roberto Castro,54,-0.27899999999999997,-11.154000000000002,40
169,170,135,Alex Noren,49,-0.29100000000000004,-9.611,33
170,171,168,Brice Garnett,63,-0.301,-12.339,41
171,172,171,Jim Knous,55,-0.32,-11.829,37
172,173,170,Cameron Davis,54,-0.325,-12.038,37
173,T174,174,Andrew Landry,56,-0.34700000000000003,-14.914000000000001,43
174,T174,187,Hank Lebioda,55,-0.34700000000000003,-13.546,39
175,176,172,Aaron Wise,52,-0.36,-13.685,38
176,177,181,Jim Herman,37,-0.363,-9.79,27
177,178,166,D.J. Trahan,33,-0.382,-7.247999999999999,19
178,179,173,Scott Stallings,63,-0.39899999999999997,-19.537,49
179,180,178,Kyle Stanley,53,-0.40399999999999997,-12.515,31
180,181,190,Bubba Watson,47,-0.406,-14.623,36
181,182,167,John Chin,38,-0.41,-9.02,22
182,183,165,Anders Albertson,48,-0.418,-14.21,34
183,184,183,Seth Reeves,52,-0.44,-15.845,36
