,Putting_from_4_RANK THIS WEEK,Putting_from_4_RANK LAST WEEK,Putting_from_4_PLAYER NAME,Putting_from_4_ROUNDS,Putting_from_4_% MADE,Putting_from_4_ATTEMPTS,Putting_from_4_PUTTS MADE
0,T1,T1,Brady Schnell,38,100.0,41,41
1,T1,T1,Justin Thomas,49,100.0,53,53
2,3,5,John Chin,38,98.28,58,57
3,4,6,Justin Rose,42,98.18,55,54
4,5,7,Stewart Cink,33,98.15,54,53
5,6,10,Roger Sloan,62,98.02,101,99
6,7,9,Max Homa,61,97.83,92,90
7,8,11,Adam Schenk,80,97.5,120,117
8,9,12,Adam Hadwin,66,97.47,79,77
9,10,14,Jonas Blixt,66,97.2,107,104
10,11,15,Chesson Hadley,58,96.92,65,63
11,12,T17,Wyndham Clark,61,96.77,93,90
12,13,16,Brendan Steele,50,96.67,60,58
13,14,T17,Russell Henley,56,96.63,89,86
14,15,8,Alex Cejka,41,96.49,57,55
15,16,20,José de Jesús Rodríguez,51,96.47,85,82
16,17,19,Martin Trainer,51,96.3,81,78
17,18,23,Peter Malnati,64,96.23,106,102
18,19,13,Kyle Jones,49,96.15,78,75
19,20,21,Sam Saunders,53,96.12,103,99
20,21,22,Andrew Putnam,57,96.0,75,72
21,22,26,Wes Roach,45,95.92,49,47
22,23,24,C.T. Pan,64,95.77,71,68
23,24,25,Bryson DeChambeau,45,95.71,70,67
24,T25,32,Harris English,72,95.45,88,84
25,T25,T30,Jim Knous,55,95.45,88,84
26,T25,3,Chase Wright,53,95.45,66,63
27,28,28,Billy Horschel,73,95.4,87,83
28,29,4,Adam Svensson,51,95.38,65,62
29,T30,29,Sam Ryder,52,95.24,84,80
30,T30,T35,Robert Streb,60,95.24,84,80
31,32,33,J.J. Henry,42,95.08,61,58
32,33,34,Brandt Snedeker,68,94.95,99,94
33,34,27,J.J. Spaun,68,94.87,78,74
34,T35,T35,Sam Burns,66,94.74,114,108
35,T35,T39,Nate Lashley,44,94.74,38,36
36,37,38,Jon Rahm,51,94.67,75,71
37,38,T39,Denny McCarthy,63,94.57,92,87
38,39,T55,Cameron Tringale,52,94.55,55,52
39,T40,T53,Brian Harman,67,94.51,91,86
40,T40,T53,Sebastián Muñoz,58,94.51,91,86
41,T42,T39,Justin Harding,31,94.44,18,17
42,T42,T39,Haotong Li,32,94.44,36,34
43,44,43,"Ted Potter, Jr.",56,94.38,89,84
44,45,44,Tony Finau,61,94.37,71,67
45,T46,57,Austin Cook,50,94.29,70,66
46,T46,67,Henrik Stenson,46,94.29,70,66
47,T48,T46,Michael Kim,51,94.2,69,65
48,T48,T46,Kyle Stanley,53,94.2,69,65
49,T50,T48,Troy Merritt,42,94.12,68,64
50,T50,T48,Ryan Moore,54,94.12,68,64
51,52,T61,Webb Simpson,53,94.06,101,95
52,53,50,Hunter Mahan,45,94.0,50,47
53,54,51,Chez Reavie,67,93.98,83,78
54,55,52,Kevin Kisner,65,93.94,99,93
55,56,T70,Daniel Berger,48,93.9,82,77
56,57,T55,Adam Scott,41,93.88,49,46
