,GIR_Putting_-_5-10_RANK THIS WEEK,GIR_Putting_-_5-10_RANK LAST WEEK,GIR_Putting_-_5-10_PLAYER NAME,GIR_Putting_-_5-10_ROUNDS,GIR_Putting_-_5-10_%,GIR_Putting_-_5-10_ATTEMPTS,GIR_Putting_-_5-10_PUTTS MADE
0,1,2,Sungjae Im,88,67.24,116,78
1,T2,3,Dominic Bozzelli,53,65.15,66,43
2,T2,5,Michael Thompson,56,65.15,66,43
3,4,6,Kiradech Aphibarnrat,49,64.41,59,38
4,5,7,Harris English,72,64.29,84,54
5,6,10,Ben Crane,41,63.83,47,30
6,7,4,Scott Brown,66,63.75,80,51
7,8,T8,Brandt Snedeker,68,62.96,81,51
8,T9,14,Sangmoon Bae,42,62.5,40,25
9,T9,T8,Charl Schwartzel,34,62.5,24,15
10,11,13,Jim Furyk,53,62.34,77,48
11,12,1,José de Jesús Rodríguez,51,62.3,61,38
12,13,16,Wyndham Clark,61,61.25,80,49
13,14,15,Martin Trainer,51,60.56,71,43
14,15,21,Andrew Putnam,57,60.27,73,44
15,T16,T50,John Chin,38,60.0,30,18
16,T16,T22,Justin Harding,31,60.0,15,9
17,T16,42,Scott Langley,60,60.0,70,42
18,T16,999,Shane Lowry,30,60.0,40,24
19,T16,T36,Graeme McDowell,61,60.0,50,30
20,T16,T22,Ian Poulter,49,60.0,55,33
21,22,26,Joel Dahmen,78,59.78,92,55
22,23,27,Jordan Spieth,57,59.77,87,52
23,24,T22,Whee Kim,57,59.62,52,31
24,25,18,Denny McCarthy,63,59.21,76,45
25,26,T29,Beau Hossler,66,59.14,93,55
26,T27,T22,Cody Gribble,52,59.09,66,39
27,T27,12,Jim Herman,37,59.09,44,26
28,T29,T61,Jonathan Byrd,43,59.02,61,36
29,T29,T65,Wes Roach,45,59.02,61,36
30,31,20,Roberto Díaz,51,58.93,56,33
31,32,58,Peter Uihlein,65,58.67,75,44
32,33,32,Tiger Woods,31,58.54,41,24
33,34,17,Nate Lashley,44,58.46,65,38
34,35,35,Rory Sabbatini,71,58.43,89,52
35,36,31,Brian Gay,79,58.42,101,59
36,37,T36,Pat Perez,52,58.14,43,25
37,38,19,Scott Stallings,63,58.06,93,54
38,39,39,Vaughn Taylor,69,58.04,112,65
39,40,34,Jonas Blixt,66,58.02,81,47
40,41,40,Kevin Streelman,63,58.0,100,58
41,T42,41,Rickie Fowler,54,57.89,95,55
42,T42,28,Sepp Straka,48,57.89,57,33
43,T44,44,Patton Kizzire,58,57.69,52,30
44,T44,76,J.J. Spaun,68,57.69,78,45
45,T46,T47,John Huh,35,57.45,47,27
46,T46,T47,Kyle Stanley,53,57.45,47,27
47,48,33,Chase Wright,53,57.35,68,39
48,49,49,Ryan Blaum,67,57.3,89,51
49,T50,T50,Emiliano Grillo,65,57.14,84,48
50,T50,56,Nick Taylor,70,57.14,91,52
51,T50,T50,Matt Wallace,31,57.14,28,16
52,53,T50,Adam Hadwin,66,56.98,86,49
53,54,T29,Adam Schenk,80,56.86,102,58
54,55,55,Ryan Moore,54,56.84,95,54
55,56,57,Kevin Na,54,56.72,67,38
56,57,88,Danny Lee,66,56.6,106,60
57,58,45,Roger Sloan,62,56.52,92,52
58,59,T59,John Senden,39,56.41,39,22
59,60,T86,Matt Kuchar,65,56.31,103,58
60,61,T89,Brian Harman,67,56.16,73,41
61,62,46,Brandon Harkins,67,56.04,91,51
62,T63,T65,Jason Dufner,56,56.0,50,28
63,T63,T65,Ernie Els,43,56.0,50,28
64,T63,T65,Haotong Li,32,56.0,50,28
65,66,69,Cameron Champ,58,55.95,84,47
66,67,70,Martin Kaymer,38,55.81,43,24
67,68,T73,Rory McIlroy,50,55.71,70,39
68,69,72,Sung Kang,67,55.67,97,54
69,70,T73,Hideki Matsuyama,59,55.56,90,50
70,71,78,Trey Mullinax,67,55.45,110,61
71,72,64,Scott Piercy,70,55.32,94,52
72,73,77,Grayson Murray,36,55.26,38,21
73,74,T50,Harold Varner III,62,55.06,89,49
74,75,79,Sam Burns,66,55.0,100,55
75,76,80,Justin Rose,42,54.93,71,39
76,77,43,Brady Schnell,38,54.9,51,28
77,78,82,Marc Leishman,52,54.84,62,34
78,79,T59,Tom Hoge,70,54.76,84,46
79,T80,T84,Rafa Cabrera Bello,57,54.69,64,35
80,T80,T84,C.T. Pan,64,54.69,64,35
81,T82,T91,Kelly Kraft,67,54.67,75,41
82,T82,T89,Sebastián Muñoz,58,54.67,75,41
83,84,T86,Brian Stuard,76,54.64,97,53
84,T85,107,Stephan Jaeger,59,54.29,70,38
85,T85,71,Hank Lebioda,55,54.29,70,38
86,87,81,Richy Werenski,63,54.22,83,45
87,88,93,Patrick Reed,53,54.17,72,39
88,89,T97,Webb Simpson,53,54.12,85,46
89,90,T91,Shawn Stefani,57,54.05,74,40
90,91,95,Jon Rahm,51,53.97,63,34
91,92,96,Kevin Kisner,65,53.95,76,41
92,93,83,Martin Laird,60,53.76,93,50
93,94,99,Kyoung-Hoon Lee,72,53.68,95,51
94,95,100,Patrick Cantlay,49,53.57,84,45
95,96,T61,Bud Cauley,61,53.47,101,54
96,97,38,Jimmy Walker,61,53.42,73,39
97,98,T101,Andrew Landry,56,53.33,75,40
98,99,103,Adam Long,52,53.01,83,44
99,T100,63,Zach Johnson,50,52.94,68,36
100,T100,104,Chez Reavie,67,52.94,68,36
101,T102,105,Tyrrell Hatton,46,52.73,55,29
102,T102,T97,Seamus Power,58,52.73,55,29
103,104,120,Nick Watney,67,52.63,95,50
104,105,106,Hunter Mahan,45,52.54,59,31
105,106,T117,Bubba Watson,47,52.46,61,32
106,107,108,J.T. Poston,76,52.43,103,54
107,T108,T109,Aaron Baddeley,51,52.24,67,35
108,T108,T109,Anirban Lahiri,54,52.24,67,35
109,110,122,Daniel Berger,48,52.17,69,36
110,111,T141,Fabián Gómez,44,52.0,50,26
111,112,114,Lucas Glover,62,51.95,77,40
112,113,116,Stewart Cink,33,51.85,27,14
113,114,T117,Chris Kirk,47,51.72,58,30
114,115,94,Hudson Swafford,59,51.65,91,47
115,116,121,Freddie Jacobson,37,51.61,31,16
116,117,124,Ryan Armour,66,51.43,70,36
117,118,126,Matt Jones,67,51.19,84,43
118,119,127,Charley Hoffman,58,51.16,86,44
119,T120,T129,Tommy Fleetwood,43,51.06,47,24
