,Putting_from_5-15_RANK THIS WEEK,Putting_from_5-15_RANK LAST WEEK,Putting_from_5-15_PLAYER NAME,Putting_from_5-15_ROUNDS,Putting_from_5-15_% MADE,Putting_from_5-15_ATTEMPTS,Putting_from_5-15_PUTTS MADE
0,1,1,Justin Harding,31,57.5,80,46
1,2,2,Wyndham Clark,61,56.05,314,176
2,3,4,Graeme McDowell,61,54.31,267,145
3,4,3,Dominic Bozzelli,53,53.78,225,121
4,5,6,Jason Day,45,53.07,179,95
5,6,11,Brandt Snedeker,68,52.62,325,171
6,7,5,José de Jesús Rodríguez,51,52.61,230,121
7,8,7,Kiradech Aphibarnrat,49,52.51,219,115
8,9,8,Aaron Baddeley,51,52.36,254,133
9,10,9,Si Woo Kim,65,52.12,236,123
10,11,10,Jordan Spieth,57,52.09,311,162
11,12,999,Martin Piller,30,51.85,135,70
12,13,13,Rickie Fowler,54,51.53,295,152
13,14,14,Harris English,72,51.45,344,177
14,15,17,Ben Crane,41,51.31,191,98
15,16,16,Pat Perez,52,51.1,182,93
16,17,15,Brian Gay,79,51.04,386,197
17,18,12,Chase Wright,53,50.55,273,138
18,19,T20,Jonathan Byrd,43,50.51,196,99
19,20,19,Kevin Kisner,65,50.34,292,147
20,T21,18,Martin Laird,60,50.0,330,165
21,T21,27,Seamus Power,58,50.0,292,146
22,T21,T20,Vaughn Taylor,69,50.0,420,210
23,24,22,Rafa Cabrera Bello,57,49.8,245,122
24,25,25,Rory Sabbatini,71,49.73,366,182
25,26,26,Sam Ryder,52,49.68,308,153
26,27,28,Justin Rose,42,49.3,215,106
27,28,30,Martin Kaymer,38,49.24,197,97
28,29,31,Sam Burns,66,49.08,381,187
29,30,23,Jim Furyk,53,49.03,259,127
30,31,38,Peter Uihlein,65,48.94,284,139
31,32,24,Dustin Johnson,47,48.93,233,114
32,33,35,Cameron Champ,58,48.55,311,151
33,34,36,Patton Kizzire,58,48.54,239,116
34,35,32,Peter Malnati,64,48.45,355,172
35,36,34,Sungjae Im,88,48.43,446,216
36,37,40,Ryan Blaum,67,48.34,362,175
37,38,41,Charley Hoffman,58,48.28,261,126
38,39,42,Sung Kang,67,48.25,371,179
39,40,44,Marc Leishman,52,48.21,224,108
40,T41,33,Denny McCarthy,63,48.19,332,160
41,T41,T45,Adam Scott,41,48.19,166,80
42,43,48,Xander Schauffele,55,48.07,233,112
43,44,49,Patrick Cantlay,49,48.03,229,110
44,45,39,Brady Schnell,38,48.0,175,84
45,46,60,Scott Langley,60,47.99,298,143
46,47,29,Johnson Wagner,45,47.91,215,103
47,48,47,Martin Trainer,51,47.9,286,137
48,49,51,Keith Mitchell,64,47.88,307,147
49,50,107,Josh Teater,47,47.76,201,96
50,51,53,Ian Poulter,49,47.75,222,106
51,52,55,Billy Horschel,73,47.59,290,138
52,53,T57,Nick Taylor,70,47.51,381,181
53,54,43,Richy Werenski,63,47.5,320,152
54,55,999,Shane Lowry,30,47.48,139,66
55,T56,59,Ernie Els,43,47.44,156,74
56,T56,61,Curtis Luck,51,47.44,234,111
57,58,56,Scott Brown,66,47.38,325,154
58,59,100,Sangmoon Bae,42,47.22,180,85
59,60,63,Russell Knox,65,47.14,350,165
60,T61,65,Tommy Fleetwood,43,47.09,172,81
61,T61,52,Cameron Tringale,52,47.09,223,105
62,63,66,Matt Jones,67,47.08,291,137
63,64,T57,Ollie Schniederjans,63,47.06,306,144
64,65,67,Michael Thompson,56,46.96,345,162
65,T66,50,Julián Etulain,55,46.82,267,125
66,T66,68,C.T. Pan,64,46.82,267,125
67,68,69,D.A. Points,33,46.81,141,66
68,69,83,Fabián Gómez,44,46.77,201,94
69,70,62,Nate Lashley,44,46.75,231,108
70,71,T70,Troy Merritt,42,46.72,229,107
71,72,72,Anirban Lahiri,54,46.71,289,135
72,73,143,Webb Simpson,53,46.58,307,143
73,T74,74,Roberto Díaz,51,46.43,224,104
74,T74,75,Beau Hossler,66,46.43,364,169
75,76,64,Scott Piercy,70,46.38,345,160
76,77,77,Patrick Rodgers,44,46.37,248,115
77,78,T96,Wes Roach,45,46.32,190,88
78,T79,104,Danny Lee,66,46.31,393,182
79,T79,79,Kevin Streelman,63,46.31,352,163
80,81,81,Patrick Reed,53,46.28,242,112
81,82,101,Stephan Jaeger,59,46.27,255,118
82,83,T45,Sepp Straka,48,46.26,227,105
83,T84,80,Sergio Garcia,39,46.15,182,84
84,T84,84,Matt Wallace,31,46.15,130,60
85,86,76,Ben Silverman,54,46.13,310,143
86,87,82,Shawn Stefani,57,46.1,269,124
87,88,85,Francesco Molinari,41,46.07,191,88
88,89,86,Ryan Palmer,56,45.96,272,125
89,T90,92,Whee Kim,57,45.93,209,96
90,T90,87,Ryan Moore,54,45.93,307,141
91,T92,99,Zach Johnson,50,45.85,277,127
